bonus_value_id	building_set	effect
#effect_bonus_value_building_set_junctions_tables;0;db/effect_bonus_value_building_set_junctions_tables/data__		
mod_cost	wh2_dlc09_set_tomb_kings_military_support	wh2_dlc09_effect_building_construction_cost_mod_advanced_military
mod_cost	wh2_dlc09_set_tomb_kings_constructs	wh2_dlc09_effect_building_construction_cost_mod_constructs
mod_cost	wh2_dlc09_set_tomb_kings_garrison	wh2_dlc09_effect_building_construction_cost_mod_garrison
mod_cost	wh2_main_set_landmark	wh2_dlc09_effect_building_construction_cost_mod_monument
mod_cost	wh2_dlc09_set_tomb_kings_recruitment	wh2_dlc09_effect_building_construction_cost_mod_recruitment
mod_cost	wh2_dlc09_set_tomb_kings_cavalry	wh2_dlc09_effect_building_construction_cost_mod_tmb_cavalry
mod_cost	wh2_dlc09_set_tomb_kings_estate_citadel	wh2_dlc09_effect_building_construction_cost_mod_tmb_defence_estate_citadel
mod_cost	wh2_dlc09_set_tomb_kings_garrison	wh2_dlc09_effect_building_construction_cost_mod_tmb_defence_estate_citadel
mod_cost	wh2_dlc09_set_tomb_kings_basic_infra	wh2_dlc09_effect_building_construction_cost_mod_tmb_income_growth_public_order
mod_cost	wh2_dlc09_set_tomb_kings_chariots	wh2_dlc09_effect_building_construction_cost_mod_tmb_infantry_chariot
mod_cost	wh2_dlc09_set_tomb_kings_infantry	wh2_dlc09_effect_building_construction_cost_mod_tmb_infantry_chariot
mod_cost	wh2_dlc11_set_vampire_coast_defence	wh2_dlc11_effect_building_construction_cost_mod_all_settlement
mod_cost	wh2_dlc11_set_vampire_coast_infrastructure	wh2_dlc11_effect_building_construction_cost_mod_all_settlement
mod_cost	wh2_dlc11_set_vampire_coast_military_recruitment	wh2_dlc11_effect_building_construction_cost_mod_all_settlement
mod_cost	wh2_dlc11_set_vampire_coast_military_support	wh2_dlc11_effect_building_construction_cost_mod_all_settlement
mod_cost	wh2_main_set_landmark	wh2_dlc11_effect_building_construction_cost_mod_all_settlement
mod_cost	wh_main_set_port	wh2_dlc11_effect_building_construction_cost_mod_all_settlement
mod_cost	wh_main_set_settlement_major	wh2_dlc11_effect_building_construction_cost_mod_all_settlement
mod_cost	wh_main_set_settlement_minor	wh2_dlc11_effect_building_construction_cost_mod_all_settlement
mod_cost	wh2_dlc11_set_dwarf_slayer	wh2_dlc11_effect_building_construction_mod_slayer
add_build_time	wh2_dlc11_set_greenskin_settlement	wh2_dlc11_effect_building_construction_time_mod_grn_settlements
mod_build_time	wh2_dlc11_set_hef_shrine_of_khaine	wh2_dlc11_effect_building_construction_time_mod_shrine_of_khaine
mod_gdp	wh2_dlc11_set_vampire_coast_foreign_1	wh2_dlc11_effect_cove_income_gdp_mod
mod_gdp	wh2_dlc11_set_vampire_coast_foreign_2	wh2_dlc11_effect_cove_income_gdp_mod
mod_gdp	wh2_dlc11_set_vampire_coast_noncoastal_gdp_buildings	wh2_dlc11_effect_faction_trait_increase_noncoastal_settlement_income
num_buildings_to_spawn_for_new_horde_army	wh2_dlc11_set_newhorde_cst	wh2_dlc11_effect_force_newhorde_buildings_vampire_coast
mod_cost	wh2_dlc11_set_vmp_binding_circle	wh2_dlc11_vmp_skill_special_blood_dragon_construction_cost_binding_circle_buildings
add_build_time	wh2_dlc11_set_vmp_binding_circle	wh2_dlc11_vmp_skill_special_blood_dragon_construction_time_binding_circle_buildings
