character_trait_level	building_level
#building_level_character_traits_junctions_tables;0;db/building_level_character_traits_junctions_tables/data__	
wh3_main_vmp_trait_legacy_lucky	wh3_dlc29_vmp_lair_secondary_legacy_1
wh3_main_vmp_trait_legacy_undefeated	wh3_dlc29_vmp_lair_secondary_legacy_2
wh3_main_vmp_trait_legacy_corrupted	wh3_dlc29_vmp_lair_secondary_legacy_3
wh3_main_vmp_trait_legacy_silent	wh3_dlc29_vmp_lair_secondary_legacy_4
wh3_main_vmp_trait_legacy_inflamed	wh3_dlc29_vmp_lair_secondary_legacy_5
wh3_main_vmp_trait_legacy_command	wh3_dlc29_vmp_lair_secondary_legacy_6
wh3_main_vmp_trait_power_stalker	wh3_dlc29_vmp_lair_secondary_power_1
wh3_main_vmp_trait_power_death	wh3_dlc29_vmp_lair_secondary_power_2
wh3_main_vmp_trait_power_fixation	wh3_dlc29_vmp_lair_secondary_power_3
wh3_main_vmp_trait_power_magic	wh3_dlc29_vmp_lair_secondary_power_4
wh3_main_vmp_trait_power_battle	wh3_dlc29_vmp_lair_secondary_power_5
wh3_main_vmp_trait_power_health	wh3_dlc29_vmp_lair_secondary_power_6
