character	ritual	amount
#ritual_performing_character_junctions_tables;0;db/ritual_performing_character_junctions_tables/data__		
eshin_actions_tier_2	wh2_dlc14_eshin_actions_ambush_camp	1
eshin_actions_tier_2	wh2_dlc14_eshin_actions_assassination	1
eshin_actions_tier_3	wh2_dlc14_eshin_actions_big_robbery	1
eshin_actions_tier_2	wh2_dlc14_eshin_actions_cause_disorder	1
eshin_actions_tier_1	wh2_dlc14_eshin_actions_cause_trouble	1
eshin_actions_tier_3	wh2_dlc14_eshin_actions_coup	1
eshin_actions_tier_4_snikch	wh2_dlc14_eshin_actions_decapitation	1
eshin_actions_tier_1	wh2_dlc14_eshin_actions_extra_rations	1
eshin_actions_tier_4_snikch	wh2_dlc14_eshin_actions_fleet_bombing	1
eshin_actions_tier_4_snikch	wh2_dlc14_eshin_actions_great_fire	1
eshin_actions_mortal_empires_1	wh2_dlc14_eshin_actions_mortal_empires_mission_1	1
eshin_actions_mortal_empires_2	wh2_dlc14_eshin_actions_mortal_empires_mission_2	1
eshin_actions_mortal_empires_3	wh2_dlc14_eshin_actions_mortal_empires_mission_3	1
eshin_actions_mortal_empires_4	wh2_dlc14_eshin_actions_mortal_empires_mission_4	1
eshin_actions_tier_3	wh2_dlc14_eshin_actions_mutiny	1
eshin_actions_tier_2	wh2_dlc14_eshin_actions_plant_agent	1
eshin_actions_tier_2	wh2_dlc14_eshin_actions_sabotage	1
eshin_actions_tier_1	wh2_dlc14_eshin_actions_scout_province	1
eshin_actions_tier_4_snikch	wh2_dlc14_eshin_actions_sewer_pestilence	1
eshin_actions_tier_1	wh2_dlc14_eshin_actions_steal_ancillary	1
eshin_actions_tier_1	wh2_dlc14_eshin_actions_steal_food	1
eshin_actions_tier_1	wh2_dlc14_eshin_actions_steal_money	1
eshin_actions_tier_1	wh2_dlc14_eshin_actions_steal_technology	1
eshin_actions_tier_3	wh2_dlc14_eshin_actions_take_under_empire	1
eshin_contracts_tier_1	wh2_dlc14_eshin_contracts_mors_moulder_1	1
eshin_contracts_tier_2	wh2_dlc14_eshin_contracts_mors_moulder_2	1
eshin_contracts_tier_3	wh2_dlc14_eshin_contracts_mors_moulder_3	1
eshin_contracts_tier_1	wh2_dlc14_eshin_contracts_mors_pestilens_1	1
eshin_contracts_tier_2	wh2_dlc14_eshin_contracts_mors_pestilens_2	1
eshin_contracts_tier_3	wh2_dlc14_eshin_contracts_mors_pestilens_3	1
eshin_contracts_tier_1	wh2_dlc14_eshin_contracts_mors_skryre_1	1
eshin_contracts_tier_2	wh2_dlc14_eshin_contracts_mors_skryre_2	1
eshin_contracts_tier_3	wh2_dlc14_eshin_contracts_mors_skryre_3	1
eshin_contracts_tier_1	wh2_dlc14_eshin_contracts_moulder_mors_1	1
eshin_contracts_tier_2	wh2_dlc14_eshin_contracts_moulder_mors_2	1
eshin_contracts_tier_3	wh2_dlc14_eshin_contracts_moulder_mors_3	1
eshin_contracts_tier_1	wh2_dlc14_eshin_contracts_moulder_pestilens_1	1
eshin_contracts_tier_2	wh2_dlc14_eshin_contracts_moulder_pestilens_2	1
eshin_contracts_tier_3	wh2_dlc14_eshin_contracts_moulder_pestilens_3	1
eshin_contracts_tier_1	wh2_dlc14_eshin_contracts_moulder_skryre_1	1
eshin_contracts_tier_2	wh2_dlc14_eshin_contracts_moulder_skryre_2	1
eshin_contracts_tier_3	wh2_dlc14_eshin_contracts_moulder_skryre_3	1
eshin_contracts_tier_1	wh2_dlc14_eshin_contracts_pestilens_mors_1	1
eshin_contracts_tier_2	wh2_dlc14_eshin_contracts_pestilens_mors_2	1
eshin_contracts_tier_3	wh2_dlc14_eshin_contracts_pestilens_mors_3	1
eshin_contracts_tier_1	wh2_dlc14_eshin_contracts_pestilens_moulder_1	1
eshin_contracts_tier_2	wh2_dlc14_eshin_contracts_pestilens_moulder_2	1
eshin_contracts_tier_3	wh2_dlc14_eshin_contracts_pestilens_moulder_3	1
eshin_contracts_tier_1	wh2_dlc14_eshin_contracts_pestilens_skryre_1	1
eshin_contracts_tier_2	wh2_dlc14_eshin_contracts_pestilens_skryre_2	1
eshin_contracts_tier_3	wh2_dlc14_eshin_contracts_pestilens_skryre_3	1
eshin_contracts_tier_1	wh2_dlc14_eshin_contracts_skryre_mors_1	1
eshin_contracts_tier_2	wh2_dlc14_eshin_contracts_skryre_mors_2	1
eshin_contracts_tier_3	wh2_dlc14_eshin_contracts_skryre_mors_3	1
eshin_contracts_tier_1	wh2_dlc14_eshin_contracts_skryre_moulder_1	1
eshin_contracts_tier_2	wh2_dlc14_eshin_contracts_skryre_moulder_2	1
eshin_contracts_tier_3	wh2_dlc14_eshin_contracts_skryre_moulder_3	1
eshin_contracts_tier_1	wh2_dlc14_eshin_contracts_skryre_pestilens_1	1
eshin_contracts_tier_2	wh2_dlc14_eshin_contracts_skryre_pestilens_2	1
eshin_contracts_tier_3	wh2_dlc14_eshin_contracts_skryre_pestilens_3	1
oxyotl_teleport	wh3_dlc17_lzd_ritual_oxyotl_teleport	1
elspeth_teleport	wh3_dlc25_emp_ritual_elspeth_teleport	1
