context	priority	profile
#cai_personalities_decision_profile_context_overrides_junctions_tables;0;db/cai_personalities_decision_profile_context_overrides_junctions_tables/data__		
cai_difficulty_context_type_easy	1	changing_of_the_ways_actions_profile
cai_difficulty_context_type_hard	2	changing_of_the_ways_actions_profile
cai_difficulty_context_type_legendary	2	changing_of_the_ways_actions_profile
cai_difficulty_context_type_very_hard	2	changing_of_the_ways_actions_profile
cai_difficulty_context_type_easy	1	manipulate_diplomacy_profile
cai_difficulty_context_type_hard	2	manipulate_diplomacy_profile
cai_difficulty_context_type_legendary	2	manipulate_diplomacy_profile
cai_difficulty_context_type_very_hard	2	manipulate_diplomacy_profile
cai_difficulty_context_type_easy	1	promise_of_perfection_profile
cai_difficulty_context_type_hard	2	promise_of_perfection_profile
cai_difficulty_context_type_legendary	2	promise_of_perfection_profile
cai_difficulty_context_type_very_hard	2	promise_of_perfection_profile
cai_faction_script_context_alpha	1	wh3_ritual_skv_workshop_profile
cai_faction_script_context_beta	2	wh3_ritual_skv_workshop_profile
cai_faction_script_context_alpha	1	wh3_ritual_vmp_bloodlines_profile
cai_faction_script_context_beta	2	wh3_ritual_vmp_bloodlines_profile
cai_faction_script_context_gamma	3	wh3_ritual_vmp_bloodlines_profile
cai_faction_script_context_alpha	1	wh3_ritual_wef_forge_profile
cai_faction_script_context_beta	2	wh3_ritual_wef_forge_profile
cai_faction_script_context_gamma	3	wh3_ritual_wef_forge_profile
cai_faction_script_context_delta	4	wh3_ritual_wef_forge_profile
