difficulty_level	faction	budget	group
#campaign_rogue_army_setups_tables;0;db/campaign_rogue_army_setups_tables/data__			
0	wh2_dlc09_rogue_black_creek_raiders	2000	wh2_dlc09_rogue_black_creek_raiders
1	wh2_dlc09_rogue_black_creek_raiders	2000	wh2_dlc09_rogue_black_creek_raiders
2	wh2_dlc09_rogue_black_creek_raiders	2000	wh2_dlc09_rogue_black_creek_raiders
3	wh2_dlc09_rogue_black_creek_raiders	2000	wh2_dlc09_rogue_black_creek_raiders
4	wh2_dlc09_rogue_black_creek_raiders	2000	wh2_dlc09_rogue_black_creek_raiders
0	wh2_dlc09_rogue_dwellers_of_zardok	2000	wh2_dlc09_rogue_dwellers_of_zardok
1	wh2_dlc09_rogue_dwellers_of_zardok	2000	wh2_dlc09_rogue_dwellers_of_zardok
2	wh2_dlc09_rogue_dwellers_of_zardok	2000	wh2_dlc09_rogue_dwellers_of_zardok
3	wh2_dlc09_rogue_dwellers_of_zardok	2000	wh2_dlc09_rogue_dwellers_of_zardok
4	wh2_dlc09_rogue_dwellers_of_zardok	2000	wh2_dlc09_rogue_dwellers_of_zardok
0	wh2_dlc09_rogue_eyes_of_the_jungle	2000	wh2_dlc09_rogue_eyes_of_the_jungle
1	wh2_dlc09_rogue_eyes_of_the_jungle	2000	wh2_dlc09_rogue_eyes_of_the_jungle
2	wh2_dlc09_rogue_eyes_of_the_jungle	2000	wh2_dlc09_rogue_eyes_of_the_jungle
3	wh2_dlc09_rogue_eyes_of_the_jungle	2000	wh2_dlc09_rogue_eyes_of_the_jungle
4	wh2_dlc09_rogue_eyes_of_the_jungle	2000	wh2_dlc09_rogue_eyes_of_the_jungle
0	wh2_dlc09_rogue_pilgrims_of_myrmidia	2000	wh2_dlc09_rogue_pilgrims_of_myrmidia
1	wh2_dlc09_rogue_pilgrims_of_myrmidia	2000	wh2_dlc09_rogue_pilgrims_of_myrmidia
2	wh2_dlc09_rogue_pilgrims_of_myrmidia	2000	wh2_dlc09_rogue_pilgrims_of_myrmidia
3	wh2_dlc09_rogue_pilgrims_of_myrmidia	2000	wh2_dlc09_rogue_pilgrims_of_myrmidia
4	wh2_dlc09_rogue_pilgrims_of_myrmidia	2000	wh2_dlc09_rogue_pilgrims_of_myrmidia
0	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	0	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
1	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	0	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
2	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	0	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
3	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	0	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
4	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	0	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
0	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	0	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
1	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	0	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
2	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	0	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
3	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	0	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
4	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	0	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
0	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	0	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
1	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	0	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
2	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	0	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
3	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	0	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
4	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	0	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
0	wh2_dlc11_cst_rogue_freebooters_of_port_royale	0	wh2_dlc11_cst_rogue_freebooters_of_port_royale
1	wh2_dlc11_cst_rogue_freebooters_of_port_royale	0	wh2_dlc11_cst_rogue_freebooters_of_port_royale
2	wh2_dlc11_cst_rogue_freebooters_of_port_royale	0	wh2_dlc11_cst_rogue_freebooters_of_port_royale
3	wh2_dlc11_cst_rogue_freebooters_of_port_royale	0	wh2_dlc11_cst_rogue_freebooters_of_port_royale
4	wh2_dlc11_cst_rogue_freebooters_of_port_royale	0	wh2_dlc11_cst_rogue_freebooters_of_port_royale
0	wh2_dlc11_cst_rogue_grey_point_scuttlers	0	wh2_dlc11_cst_rogue_grey_point_scuttlers
1	wh2_dlc11_cst_rogue_grey_point_scuttlers	0	wh2_dlc11_cst_rogue_grey_point_scuttlers
2	wh2_dlc11_cst_rogue_grey_point_scuttlers	0	wh2_dlc11_cst_rogue_grey_point_scuttlers
3	wh2_dlc11_cst_rogue_grey_point_scuttlers	0	wh2_dlc11_cst_rogue_grey_point_scuttlers
4	wh2_dlc11_cst_rogue_grey_point_scuttlers	0	wh2_dlc11_cst_rogue_grey_point_scuttlers
0	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	0	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
1	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	0	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
2	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	0	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
3	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	0	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
4	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	0	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
0	wh2_dlc11_cst_rogue_the_churning_gulf_raiders	0	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
1	wh2_dlc11_cst_rogue_the_churning_gulf_raiders	0	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
2	wh2_dlc11_cst_rogue_the_churning_gulf_raiders	0	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
3	wh2_dlc11_cst_rogue_the_churning_gulf_raiders	0	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
4	wh2_dlc11_cst_rogue_the_churning_gulf_raiders	0	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
0	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	0	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
1	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	0	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
2	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	0	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
3	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	0	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
4	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	0	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
0	wh2_dlc11_cst_shanty_dragon_spine_privateers	0	wh2_dlc11_cst_shanty_dragon_spine_privateers
1	wh2_dlc11_cst_shanty_dragon_spine_privateers	0	wh2_dlc11_cst_shanty_dragon_spine_privateers
2	wh2_dlc11_cst_shanty_dragon_spine_privateers	0	wh2_dlc11_cst_shanty_dragon_spine_privateers
3	wh2_dlc11_cst_shanty_dragon_spine_privateers	0	wh2_dlc11_cst_shanty_dragon_spine_privateers
4	wh2_dlc11_cst_shanty_dragon_spine_privateers	0	wh2_dlc11_cst_shanty_dragon_spine_privateers
0	wh2_dlc11_cst_shanty_middle_sea_brigands	0	wh2_dlc11_cst_shanty_middle_sea_brigands
1	wh2_dlc11_cst_shanty_middle_sea_brigands	0	wh2_dlc11_cst_shanty_middle_sea_brigands
2	wh2_dlc11_cst_shanty_middle_sea_brigands	0	wh2_dlc11_cst_shanty_middle_sea_brigands
3	wh2_dlc11_cst_shanty_middle_sea_brigands	0	wh2_dlc11_cst_shanty_middle_sea_brigands
4	wh2_dlc11_cst_shanty_middle_sea_brigands	0	wh2_dlc11_cst_shanty_middle_sea_brigands
0	wh2_dlc11_cst_shanty_shark_straight_seadogs	0	wh2_dlc11_cst_shanty_shark_straight_seadogs
