bonus_value_id	effect	unit_set_ability
#effect_bonus_value_unit_set_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_set_unit_ability_junctions_tables/data__		
enable	wh2_dlc09_effect_ability_enable_deathblow_for_skeleton	wh2_dlc09_effect_ability_deathblow_for_skeleton_units
enable	wh2_dlc09_effect_ability_enable_frenzy_for_ushabti	wh2_dlc09_effect_ability_frenzy_to_ushabti_units
enable	wh2_dlc09_effect_ability_enable_hawkish_precision_for_tmb_ranged	wh2_dlc09_effect_ability_hawkish_precision_to_archer_units
enable	wh2_dlc10_effect_ability_enable_hawkish_precision_for_hef_ranged	wh2_dlc10_effect_ability_hawkish_precision_to_archer_units
enable	wh2_dlc11_effect_ability_enable_the_ravenous_dead_vmp_zombies	wh2_dlc11_effect_ability_the_ravenous_dead_for_zombie_units
enable	wh2_dlc12_effect_ability_enable_blade_swirl_for_doomflayers	wh2_dlc12_passive_enable_skaven_doomflayer_blade_swirl
enable	wh2_dlc12_effect_ability_enable_endless_drum_for_ratling	wh2_dlc12_skaven_ratling_passive_ability_endless_drum
enable	wh2_dlc12_effect_ability_enable_hawkish_precision_for_jezzails	wh2_dlc12_skv_jezzail_hawkish_precision
enable	wh2_dlc12_effect_ability_enable_overload_for_doomflayer_mounts	wh2_dlc12_skv_passive_enable_doomflayer_character_overload
enable	wh2_dlc12_effect_ability_enable_storm_daemon_quest	wh2_dlc12_skv_ikit_claw_storm_daemon
enable	wh2_dlc12_effect_ability_enable_warpstone_detonation_for_doomflayer_mounts	wh2_dlc12_lord_passive_warpstone_detonation
enable	wh2_dlc12_effect_faction_effect_tiktaqto_upgraded_terradon_ability_dummy	wh2_dlc12_lzd_tiktaqto_enable_terradon_drop_rocks_0
enable	wh2_dlc12_effect_faction_effect_tiktaqto_upgraded_terradon_ability_dummy	wh2_dlc12_lzd_tiktaqto_enable_terradon_drop_rocks_1
uses_mod	wh2_dlc12_lzd_tiktaqto_enable_terradon_drop_rocks_0_ror_uses_mod	wh2_dlc12_lzd_tiktaqto_enable_terradon_drop_rocks_0_ror_uses_mod
enable	wh2_dlc13_ability_enable_refuse_to_die_saurus	wh2_dlc13_ability_enable_refuse_to_die_saurus
enable	wh2_dlc13_effect_ability_enable_frenzy_kroxigors	wh2_dlc13_ability_enable_frenzy_kroxigors
enable	wh2_dlc13_hunter_final_battle_effect_jorek_dummy	wh2_dlc13_hunter_final_battle_effect_jorek_dummy
enable	wh2_dlc13_hunter_final_battle_effect_rodrik_dummy	wh2_dlc13_final_battle_character_abilities_rodrik_ward_save_reduction
disable	wh2_dlc14_effect_ability_disable_tzarkan	wh2_dlc14_def_malus_tzarkan
disable	wh2_dlc14_effect_ability_disable_tzarkan	wh2_dlc14_def_malus_tzarkan_spite
enable	wh2_dlc14_effect_ability_enable_tzarkan_snikch	wh2_dlc14_skv_snikch_tzarkan
enable	wh2_dlc14_effect_ability_enable_tzarkan	wh2_dlc14_def_malus_tzarkan
enable	wh2_dlc14_effect_ability_enable_tzarkan	wh2_dlc14_def_malus_tzarkan_spite
enable	wh2_dlc14_effect_dummy_enable_tzarkan_spite	wh2_dlc14_lord_abilities_tzarkan_spite
enable	wh2_dlc14_effect_dummy_enable_tzarkan	wh2_dlc14_lord_abilities_tzarkan
enable	wh2_dlc14_effect_general_ability_enable_concealment_bombs	wh2_dlc14_enable_ability_gutterrunners
enable	wh2_dlc14_effect_general_ability_enable_concealment_bombs	wh2_dlc14_enable_ability_nightrunners
enable	wh2_dlc14_skv_ability_enable_witness_me_warp_grinder	wh2_dlc14_skv_warp_grinder_witness_me
enable	wh2_dlc14_skv_regeneration_warp_grinder	wh2_dlc14_skv_warp_grinder_regeneration
enable	wh2_dlc15_berserk_orc_infantry	wh2_dlc15_berserk_non_savage_orc_infantry
enable	wh2_dlc15_berserk_orc_infantry	wh2_dlc15_berserk_savage_orc_infantry
disable	wh2_dlc15_effect_ability_disable_hef_passives	wh2_dlc15_effect_ability_disable_hef_passives_1
disable	wh2_dlc15_effect_ability_disable_hef_passives	wh2_dlc15_effect_ability_disable_hef_passives_2
enable	wh2_dlc15_effect_ability_enable_grim_discipline	wh2_dlc15_effect_ability_enable_grim_discipline
enable	wh2_dlc15_effect_ability_enable_mimic_berserk	wh2_dlc15_effect_ability_enable_mimic_berserk
enable	wh2_dlc15_effect_ability_enable_mimic_blessing_of_the_lady	wh2_dlc15_effect_ability_enable_mimic_blessing_of_the_lady
enable	wh2_dlc15_effect_ability_enable_mimic_bloodgreed	wh2_dlc15_effect_ability_enable_mimic_bloodgreed
enable	wh2_dlc15_effect_ability_enable_mimic_cold_blooded	wh2_dlc15_effect_ability_enable_mimic_cold_blooded
enable	wh2_dlc15_effect_ability_enable_mimic_ethereal	wh2_dlc15_effect_ability_enable_mimic_ethereal
enable	wh2_dlc15_effect_ability_enable_mimic_extra_powder	wh2_dlc15_effect_ability_enable_mimic_extra_powder
enable	wh2_dlc15_effect_ability_enable_mimic_feint_and_riposte	wh2_dlc15_effect_ability_enable_mimic_feint_and_riposte
enable	wh2_dlc15_effect_ability_enable_mimic_forest_walker	wh2_dlc15_effect_ability_enable_mimic_forest_walker
enable	wh2_dlc15_effect_ability_enable_mimic_grand_hammer_of_faith	wh2_dlc15_effect_ability_enable_mimic_grand_hammer_of_faith
enable	wh2_dlc15_effect_ability_enable_mimic_grom_waaagh	wh2_dlc15_effect_ability_enable_mimic_grom_waaagh
enable	wh2_dlc15_effect_ability_enable_mimic_liquid_fortification	wh2_dlc15_effect_ability_enable_mimic_liquid_fortification
enable	wh2_dlc15_effect_ability_enable_mimic_loecs_shroud	wh2_dlc15_effect_ability_enable_mimic_loecs_shroud
enable	wh2_dlc15_effect_ability_enable_mimic_murderous_prowess	wh2_dlc15_effect_ability_enable_mimic_murderous_prowess
enable	wh2_dlc15_effect_ability_enable_mimic_primal_fury	wh2_dlc15_effect_ability_enable_mimic_primal_fury
enable	wh2_dlc15_effect_ability_enable_mimic_realm_of_souls_1	wh2_dlc15_effect_ability_enable_mimic_realm_of_souls_1
enable	wh2_dlc15_effect_ability_enable_mimic_realm_of_souls_2	wh2_dlc15_effect_ability_enable_mimic_realm_of_souls_2
enable	wh2_dlc15_effect_ability_enable_mimic_realm_of_souls_3	wh2_dlc15_effect_ability_enable_mimic_realm_of_souls_3
enable	wh2_dlc15_effect_ability_enable_mimic_ruinshelter	wh2_dlc15_effect_ability_enable_mimic_ruinshelter
enable	wh2_dlc15_effect_ability_enable_mimic_scurry_away	wh2_dlc15_effect_ability_enable_mimic_scurry_away
enable	wh2_dlc15_effect_ability_enable_mimic_strength_in_numbers	wh2_dlc15_effect_ability_enable_mimic_strength_in_numbers
