battle_set_piece	bmd	environment
#battle_set_piece_campaign_battle_scenes_tables;0;db/battle_set_piece_campaign_battle_scenes_tables/data__		
wh2_dlc11_qb_cst_final_battle	prefabs/campaign/underwater_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/prebattle_underwater.environment
wh2_dlc11_qb_cst_final_battle_aranessa	prefabs/campaign/underwater_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/prebattle_underwater.environment
wh2_dlc11_qb_cst_final_battle_cylostra	prefabs/campaign/underwater_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/prebattle_underwater.environment
wh2_dlc11_qb_cst_final_battle_noctilus	prefabs/campaign/underwater_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/prebattle_underwater.environment
wh2_dlc12_great_vortex_kroqgar_lord_kroak_stage_3	prefabs/campaign/kroak_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/lizardmen.environment
wh2_dlc12_great_vortex_mazdamundi_lord_kroak_stage_3	prefabs/campaign/kroak_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/lizardmen.environment
wh2_dlc12_great_vortex_tehenhauin_lord_kroak_stage_3	prefabs/campaign/kroak_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/lizardmen.environment
wh2_dlc12_great_vortex_tiktaqto_lord_kroak_stage_3	prefabs/campaign/kroak_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/lizardmen.environment
wh2_dlc12_vor_gorrok_lord_kroak_stage_3	prefabs/campaign/kroak_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/lizardmen.environment
wh2_dlc12_vor_nakai_lord_kroak_stage_3	prefabs/campaign/kroak_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/lizardmen.environment
