video_name	campaign_locked	culture	sort	still_path
#campaign_videos_tables;2;db/campaign_videos_tables/data__				
gam_int	false	*	2	ui/movies/gam_intro.png
warhammer3/adv_int	false	*	3	ui/movies/adv_intro.png
warhammer3/belakor_1	true	*	4	ui/movies/belakor_1.png
warhammer3/belakor_2	true	*	5	ui/movies/belakor_2.png
warhammer3/belakor_3	true	*	6	ui/movies/belakor_3.png
warhammer3/belakor_4	true	*	7	ui/movies/belakor_4.png
warhammer3/champions/dlc20_azazel_intro	false	wh_main_chs_chaos	30	ui/movies/dlc20_azazel_intro.png
warhammer3/champions/dlc20_azazel_win	true	wh_main_chs_chaos	34	ui/movies/dlc20_azazel_win.png
warhammer3/champions/dlc20_festus_intro	false	wh_main_chs_chaos	31	ui/movies/dlc20_festus_intro.png
warhammer3/champions/dlc20_festus_win	true	wh_main_chs_chaos	35	ui/movies/dlc20_festus_win.png
warhammer3/champions/dlc20_valkia_intro	false	wh_main_chs_chaos	32	ui/movies/dlc20_valkia_intro.png
warhammer3/champions/dlc20_valkia_win	true	wh_main_chs_chaos	36	ui/movies/dlc20_valkia_win.png
warhammer3/champions/dlc20_vilitch_intro	false	wh_main_chs_chaos	33	ui/movies/dlc20_vilitch_intro.png
warhammer3/champions/dlc20_vilitch_win	true	wh_main_chs_chaos	37	ui/movies/dlc20_vilitch_win.png
warhammer3/cth/cth_intro	false	wh3_main_cth_cathay	28	ui/movies/cth_intro.png
warhammer3/cth/cth_win	true	wh3_main_cth_cathay	29	ui/movies/cth_win.png
warhammer3/dae/dae_intro	false	wh3_main_dae_daemons	9	ui/movies/dae_intro.png
warhammer3/dae/dae_win	true	wh3_main_dae_daemons	10	ui/movies/dae_win.png
warhammer3/journey_to_forge	true	*	8	ui/movies/journey_to_forge.png
warhammer3/kho/kho_intro_ska	false	wh3_main_kho_khorne	11	ui/movies/kho_intro_ska.png
warhammer3/kho/kho_win_ska	true	wh3_main_kho_khorne	12	ui/movies/kho_win_ska.png
warhammer3/ksl/ksl_intro_bor	true	wh3_main_ksl_kislev	21	ui/movies/ksl_intro_bor.png
warhammer3/ksl/ksl_intro_kat	false	wh3_main_ksl_kislev	19	ui/movies/ksl_intro_kat.png
warhammer3/ksl/ksl_intro_kot	false	wh3_main_ksl_kislev	20	ui/movies/ksl_intro_kot.png
warhammer3/ksl/ksl_win_bor	true	wh3_main_ksl_kislev	24	ui/movies/ksl_win_bor.png
warhammer3/ksl/ksl_win_kat	true	wh3_main_ksl_kislev	22	ui/movies/ksl_win_kat.png
warhammer3/ksl/ksl_win_kot	true	wh3_main_ksl_kislev	23	ui/movies/ksl_win_kot.png
warhammer3/nur/nur_intro_plg	false	wh3_main_nur_nurgle	13	ui/movies/nur_intro_plg.png
warhammer3/nur/nur_win_plg	true	wh3_main_nur_nurgle	14	ui/movies/nur_win_plg.png
warhammer3/ogr/ogr_intro	false	wh3_main_ogr_ogre_kingdoms	25	ui/movies/ogr_intro.png
warhammer3/ogr/ogr_win_gre	true	wh3_main_ogr_ogre_kingdoms	26	ui/movies/ogr_win_gre.png
warhammer3/ogr/ogr_win_skg	true	wh3_main_ogr_ogre_kingdoms	27	ui/movies/ogr_win_skg.png
warhammer3/prologue/pro_int	false	*	0	ui/movies/pro_intro.png
warhammer3/prologue/pro_win	true	*	1	ui/movies/pro_win.png
warhammer3/sla/sla_intro_nka	false	wh3_main_sla_slaanesh	15	ui/movies/sla_intro_nka.png
warhammer3/sla/sla_win_nka	true	wh3_main_sla_slaanesh	16	ui/movies/sla_win_nka.png
warhammer3/tze/tze_intro_fat	false	wh3_main_tze_tzeentch	17	ui/movies/tze_intro_fat.png
warhammer3/tze/tze_win_fat	true	wh3_main_tze_tzeentch	18	ui/movies/tze_win_fat.png
