component	set	effects
#plague_component_setups_tables;0;db/plague_component_setups_tables/data__		
wh3_nur_plague_component_10	festus	wh3_nur_plague_component_6
wh3_nur_plague_component_10	nurgle_test	wh3_nur_plague_component_6
wh3_nur_plague_component_11	festus	wh3_nur_plague_component_12
wh3_nur_plague_component_11	nurgle_test	wh3_nur_plague_component_12
wh3_nur_plague_component_12	festus	wh3_nur_plague_component_13
wh3_nur_plague_component_12	nurgle_test	wh3_nur_plague_component_13
wh3_nur_plague_component_13	festus	wh3_nur_plague_component_15
wh3_nur_plague_component_13	nurgle_test	wh3_nur_plague_component_15
wh3_nur_plague_component_14	festus	wh3_nur_plague_component_14
wh3_nur_plague_component_14	nurgle_test	wh3_nur_plague_component_14
wh3_nur_plague_component_15	festus	wh3_nur_plague_component_11
wh3_nur_plague_component_15	nurgle_test	wh3_nur_plague_component_11
wh3_nur_plague_component_16	nurgle_test	wh3_nur_plague_component_16
wh3_nur_plague_component_17	nurgle_test	wh3_nur_plague_component_17
wh3_nur_plague_component_18	nurgle_test	wh3_nur_plague_component_18
wh3_nur_plague_component_19	nurgle_test	wh3_nur_plague_component_19
wh3_nur_plague_component_1	festus	wh3_nur_plague_component_2
wh3_nur_plague_component_1	nurgle_test	wh3_nur_plague_component_2
wh3_nur_plague_component_20	nurgle_test	wh3_nur_plague_component_20
wh3_nur_plague_component_2	festus	wh3_nur_plague_component_3
wh3_nur_plague_component_2	nurgle_test	wh3_nur_plague_component_3
wh3_nur_plague_component_3	festus	wh3_nur_plague_component_5
wh3_nur_plague_component_3	nurgle_test	wh3_nur_plague_component_5
wh3_nur_plague_component_4	festus	wh3_nur_plague_component_4
wh3_nur_plague_component_4	nurgle_test	wh3_nur_plague_component_4
wh3_nur_plague_component_5	festus	wh3_nur_plague_component_1
wh3_nur_plague_component_5	nurgle_test	wh3_nur_plague_component_1
wh3_nur_plague_component_6	festus	wh3_nur_plague_component_7_festus
wh3_nur_plague_component_6	nurgle_test	wh3_nur_plague_component_7
wh3_nur_plague_component_7	festus	wh3_nur_plague_component_8
wh3_nur_plague_component_7	nurgle_test	wh3_nur_plague_component_8
wh3_nur_plague_component_8	festus	wh3_nur_plague_component_10
wh3_nur_plague_component_8	nurgle_test	wh3_nur_plague_component_10
wh3_nur_plague_component_9	festus	wh3_nur_plague_component_9
wh3_nur_plague_component_9	nurgle_test	wh3_nur_plague_component_9
