unit_class	unit_stat	unit_stat_threshold	bullet_point_enum	should_display	text_override
#ui_unit_bullet_points_generations_tables;0;db/ui_unit_bullet_points_generations_tables/data__					
art_fld	scalar_missile_damage_base	0.49	att_very_poor	false	
art_fld	scalar_missile_damage_base	0.5	att_poor	false	
art_fld	scalar_missile_damage_base	0.75	att_average_negative	false	
art_fld	scalar_missile_damage_base	1.25	att_good	false	
art_fld	scalar_missile_damage_base	1.5	att_excellent	false	
art_fld	scalar_speed	0.49	att_very_poor	false	
art_fld	scalar_speed	0.5	att_poor	false	
art_fld	scalar_speed	0.75	att_average_negative	false	
art_fld	scalar_speed	1.25	att_good	false	
art_fld	scalar_speed	1.5	att_excellent	false	
art_fld	stat_ammo	0.49	att_low	false	
art_fld	stat_ammo	0.5	att_low	false	
art_fld	stat_ammo	0.75	att_average_negative	false	
art_fld	stat_ammo	1.25	att_high	false	
art_fld	stat_ammo	1.5	att_high	false	
art_fld	stat_morale	0.49	att_very_poor	false	
art_fld	stat_morale	0.5	att_poor	false	
art_fld	stat_morale	0.75	att_average_negative	false	
art_fld	stat_morale	1.25	att_good	false	
art_fld	stat_morale	1.5	att_excellent	false	
art_fld	stat_reloading	0.49	att_very_poor	false	
art_fld	stat_reloading	0.5	att_poor	false	
art_fld	stat_reloading	0.75	att_average_negative	false	
art_fld	stat_reloading	1.25	att_good	false	
art_fld	stat_reloading	1.5	att_excellent	false	
art_fld	stat_spotting_forest	0.49	att_very_poor	false	
art_fld	stat_spotting_forest	0.5	att_poor	false	
art_fld	stat_spotting_forest	0.75	att_average_negative	false	
art_fld	stat_spotting_forest	1.25	att_good	false	
art_fld	stat_spotting_forest	1.5	att_excellent	false	
cav_mel	scalar_speed	0.49	att_very_poor	false	
cav_mel	scalar_speed	0.5	att_poor	false	
cav_mel	scalar_speed	0.75	att_average_negative	false	
cav_mel	scalar_speed	1.25	att_good	false	
cav_mel	scalar_speed	1.5	att_excellent	false	
cav_mel	stat_ammo	0.0	att_average_positive	false	ranged_attack
cav_mel	stat_armour	0.49	att_very_poor	false	
cav_mel	stat_armour	0.5	att_poor	false	
cav_mel	stat_armour	0.75	att_average_negative	false	
cav_mel	stat_armour	1.25	att_good	false	
cav_mel	stat_armour	1.5	att_excellent	false	
cav_mel	stat_bonus_vs_cavalry	0.49	att_very_poor	false	
cav_mel	stat_bonus_vs_cavalry	0.5	att_poor	false	
cav_mel	stat_bonus_vs_cavalry	0.75	att_average_negative	false	
cav_mel	stat_bonus_vs_cavalry	1.25	att_good	false	
cav_mel	stat_bonus_vs_cavalry	1.5	att_excellent	false	
cav_mel	stat_charge_bonus	0.49	att_very_poor	false	
cav_mel	stat_charge_bonus	0.5	att_poor	false	
cav_mel	stat_charge_bonus	0.75	att_average_positive	false	
cav_mel	stat_charge_bonus	1.25	att_good	false	
cav_mel	stat_charge_bonus	1.5	att_excellent	false	
cav_mel	stat_missile_block_chance	0.49	att_very_poor	false	
cav_mel	stat_missile_block_chance	0.5	att_poor	false	
cav_mel	stat_missile_block_chance	0.75	att_average_positive	false	
cav_mel	stat_missile_block_chance	1.5	att_good	false	
cav_mel	stat_missile_block_chance	2.0	att_excellent	false	
cav_mel	stat_morale	0.49	att_very_poor	false	
cav_mel	stat_morale	0.5	att_poor	false	
cav_mel	stat_morale	0.75	att_average_negative	false	
cav_mel	stat_morale	1.25	att_good	false	
cav_mel	stat_morale	1.5	att_excellent	false	
cav_mel	stat_spotting_forest	0.49	att_very_poor	false	
cav_mel	stat_spotting_forest	0.5	att_poor	false	
cav_mel	stat_spotting_forest	0.75	att_average_negative	false	
cav_mel	stat_spotting_forest	1.25	att_good	false	
cav_mel	stat_spotting_forest	1.5	att_excellent	false	
cav_mis	scalar_missile_damage_ap	0.49	att_very_poor	false	
cav_mis	scalar_missile_damage_ap	0.5	att_poor	false	
cav_mis	scalar_missile_damage_ap	0.75	att_average_negative	false	
cav_mis	scalar_missile_damage_ap	1.25	att_good	false	
cav_mis	scalar_missile_damage_ap	1.5	att_excellent	false	
cav_mis	scalar_missile_range	0.49	att_very_poor	false	
cav_mis	scalar_missile_range	0.5	att_poor	false	
cav_mis	scalar_missile_range	0.75	att_average_negative	false	
cav_mis	scalar_missile_range	1.25	att_good	false	
cav_mis	scalar_missile_range	1.5	att_excellent	false	
cav_mis	scalar_speed	0.49	att_very_poor	false	
cav_mis	scalar_speed	0.5	att_poor	false	
cav_mis	scalar_speed	0.75	att_average_negative	false	
cav_mis	scalar_speed	1.25	att_good	false	
cav_mis	scalar_speed	1.5	att_excellent	false	
cav_mis	stat_ammo	0.49	att_low	false	
cav_mis	stat_ammo	0.5	att_low	false	
cav_mis	stat_ammo	0.75	att_average_negative	false	
cav_mis	stat_ammo	1.25	att_high	false	
cav_mis	stat_ammo	1.5	att_high	false	
cav_mis	stat_armour	0.49	att_very_poor	false	
cav_mis	stat_armour	0.5	att_poor	false	
cav_mis	stat_armour	0.75	att_average_negative	false	
cav_mis	stat_armour	1.25	att_good	false	
cav_mis	stat_armour	1.5	att_excellent	false	
cav_mis	stat_charge_bonus	0.49	att_very_poor	false	
cav_mis	stat_charge_bonus	0.5	att_poor	false	
cav_mis	stat_charge_bonus	0.75	att_average_positive	false	
cav_mis	stat_charge_bonus	1.25	att_good	false	
cav_mis	stat_charge_bonus	1.5	att_excellent	false	
cav_mis	stat_missile_block_chance	0.49	att_very_poor	false	
cav_mis	stat_missile_block_chance	0.5	att_poor	false	
cav_mis	stat_missile_block_chance	0.75	att_average_positive	false	
cav_mis	stat_missile_block_chance	1.5	att_good	false	
cav_mis	stat_missile_block_chance	2.0	att_excellent	false	
cav_mis	stat_morale	0.49	att_very_poor	false	
cav_mis	stat_morale	0.5	att_poor	false	
cav_mis	stat_morale	0.75	att_average_negative	false	
cav_mis	stat_morale	1.25	att_good	false	
cav_mis	stat_morale	1.5	att_excellent	false	
cav_mis	stat_reloading	0.49	att_very_poor	false	
cav_mis	stat_reloading	0.5	att_poor	false	
cav_mis	stat_reloading	0.75	att_average_negative	false	
cav_mis	stat_reloading	1.25	att_good	false	
cav_mis	stat_reloading	1.5	att_excellent	false	
cav_mis	stat_spotting_forest	0.49	att_very_poor	false	
cav_mis	stat_spotting_forest	0.5	att_poor	false	
cav_mis	stat_spotting_forest	0.75	att_average_negative	false	
cav_mis	stat_spotting_forest	1.25	att_good	false	
cav_mis	stat_spotting_forest	1.5	att_excellent	false	
cav_shk	scalar_speed	0.49	att_very_poor	false	
cav_shk	scalar_speed	0.5	att_poor	false	
cav_shk	scalar_speed	0.75	att_average_negative	false	
cav_shk	scalar_speed	1.25	att_good	false	
cav_shk	scalar_speed	1.5	att_excellent	false	
cav_shk	stat_ammo	0.0	att_average_positive	false	ranged_attack
cav_shk	stat_armour	0.49	att_very_poor	false	
cav_shk	stat_armour	0.5	att_poor	false	
cav_shk	stat_armour	0.75	att_average_negative	false	
cav_shk	stat_armour	1.25	att_good	false	
cav_shk	stat_armour	1.5	att_excellent	false	
cav_shk	stat_charge_bonus	0.49	att_very_poor	false	
cav_shk	stat_charge_bonus	0.5	att_poor	false	
cav_shk	stat_charge_bonus	0.75	att_average_negative	false	
cav_shk	stat_charge_bonus	1.25	att_good	false	
cav_shk	stat_charge_bonus	1.5	att_excellent	false	
cav_shk	stat_missile_block_chance	0.49	att_very_poor	false	
cav_shk	stat_missile_block_chance	0.5	att_poor	false	
cav_shk	stat_missile_block_chance	0.75	att_average_positive	false	
cav_shk	stat_missile_block_chance	1.5	att_good	false	
cav_shk	stat_missile_block_chance	2.0	att_excellent	false	
cav_shk	stat_morale	0.49	att_very_poor	false	
cav_shk	stat_morale	0.5	att_poor	false	
cav_shk	stat_morale	0.75	att_average_negative	false	
cav_shk	stat_morale	1.25	att_good	false	
cav_shk	stat_morale	1.5	att_excellent	false	
cav_shk	stat_spotting_forest	0.49	att_very_poor	false	
cav_shk	stat_spotting_forest	0.5	att_poor	false	
cav_shk	stat_spotting_forest	0.75	att_average_negative	false	
cav_shk	stat_spotting_forest	1.25	att_good	false	
cav_shk	stat_spotting_forest	1.5	att_excellent	false	
elph	stat_ammo	0.0	att_average_positive	false	ranged_attack
elph	stat_armour	0.49	att_very_poor	false	
elph	stat_armour	0.5	att_poor	false	
elph	stat_armour	0.75	att_average_negative	false	
elph	stat_armour	1.25	att_good	false	
elph	stat_armour	1.5	att_excellent	false	
elph	stat_charge_bonus	0.0	att_average_positive	false	att_charge_strong
inf_mel	stat_ammo	0.0	att_average_positive	false	ranged_attack
inf_mel	stat_armour	0.49	att_very_poor	false	
inf_mel	stat_armour	0.5	att_poor	false	
inf_mel	stat_armour	0.75	att_average_negative	false	
inf_mel	stat_armour	1.25	att_good	false	
inf_mel	stat_armour	1.5	att_excellent	false	
inf_mel	stat_bonus_vs_cavalry	0.49	att_very_poor	false	
inf_mel	stat_bonus_vs_cavalry	0.5	att_poor	false	
inf_mel	stat_bonus_vs_cavalry	0.75	att_average_negative	false	
inf_mel	stat_bonus_vs_cavalry	2.0	att_good	false	
inf_mel	stat_bonus_vs_cavalry	3.0	att_excellent	false	
inf_mel	stat_bonus_vs_infantry	0.49	att_very_poor	false	
inf_mel	stat_bonus_vs_infantry	0.5	att_poor	false	
inf_mel	stat_bonus_vs_infantry	0.75	att_average_negative	false	
inf_mel	stat_bonus_vs_infantry	2.0	att_good	false	
inf_mel	stat_bonus_vs_infantry	3.0	att_excellent	false	
inf_mel	stat_charge_bonus	0.49	att_very_poor	false	
inf_mel	stat_charge_bonus	0.5	att_poor	false	
inf_mel	stat_charge_bonus	0.75	att_average_positive	false	
inf_mel	stat_charge_bonus	1.25	att_good	false	
inf_mel	stat_charge_bonus	1.5	att_excellent	false	
inf_mel	stat_melee_damage_ap	0.49	att_very_poor	false	
inf_mel	stat_melee_damage_ap	0.5	att_poor	false	
inf_mel	stat_melee_damage_ap	0.75	att_average_negative	false	
inf_mel	stat_melee_damage_ap	1.25	att_good	false	
inf_mel	stat_melee_damage_ap	1.5	att_excellent	false	
inf_mel	stat_missile_block_chance	0.49	att_very_poor	false	
inf_mel	stat_missile_block_chance	0.5	att_poor	false	
inf_mel	stat_missile_block_chance	0.75	att_average_positive	false	
inf_mel	stat_missile_block_chance	1.5	att_good	false	
inf_mel	stat_missile_block_chance	2.0	att_excellent	false	
inf_mel	stat_morale	0.49	att_very_poor	false	
inf_mel	stat_morale	0.5	att_poor	false	
inf_mel	stat_morale	0.75	att_average_negative	false	
inf_mel	stat_morale	1.25	att_good	false	
inf_mel	stat_morale	1.5	att_excellent	false	
inf_mel	stat_spotting_forest	0.49	att_very_poor	false	
inf_mel	stat_spotting_forest	0.5	att_poor	false	
inf_mel	stat_spotting_forest	0.75	att_average_negative	false	
inf_mel	stat_spotting_forest	1.25	att_good	false	
inf_mel	stat_spotting_forest	1.5	att_excellent	false	
inf_mis	scalar_missile_damage_ap	0.49	att_very_poor	false	
inf_mis	scalar_missile_damage_ap	0.5	att_poor	false	
inf_mis	scalar_missile_damage_ap	0.75	att_average_negative	false	
inf_mis	scalar_missile_damage_ap	1.25	att_good	false	
inf_mis	scalar_missile_damage_ap	1.5	att_excellent	false	
inf_mis	scalar_missile_range	0.49	att_very_poor	false	
