victory_type	tree_y	tree_x	icon	length_type	should_show_end_game_ui
#victory_types_tables;3;db/victory_types_tables/data__					
wh3_combi_victory_type_domination	3	0	domination	long	true
wh3_combi_victory_type_faction	1	0	short	short	false
wh3_combi_victory_type_multiplayer	0	0	short	short	true
wh3_combi_victory_type_subculture	2	0	long	long	false
wh3_combi_victory_type_ultimate	4	0	ultimate	long	true
wh3_main_victory_type_chaos_domination	3	0	long	long	true
wh3_main_victory_type_chaos_forge_of_souls	2	0	short	SHORT	true
wh3_main_victory_type_mp	1	0	short	short	true
wh3_main_victory_type_mp_tol	0	0	long	short	true
wh3_main_victory_type_prologue	0	0	long	long	true
wh_dlc03_victory_type_major	2	0	long	long	true
wh_dlc03_victory_type_minor	0	0	short	short	true
wh_dlc03_victory_type_ultimate	2	0	ultimate	long	true
wh_dlc05_victory_type_major	1	0	long	long	true
wh_dlc05_victory_type_minor	0	0	short	short	true
wh_dlc05_victory_type_ultimate	2	0	ultimate	long	true
wh_main_victory_type_long	1	0	long	long	true
wh_main_victory_type_short	0	0	short	short	true
