id	component_type	payload	value
#campaign_payload_basic_value_components_tables;0;db/campaign_payload_basic_value_components_tables/data__			
1200240576	halt_faction	wh3_main_ritual_tze_cotw_halt_faction	1.0
1340694692	action_points_percentage_change	wh3_main_ritual_gg_remove_action_points	-100.0
1455410698	treasury_change	wh3_main_mis_gen_declare_war	500.0
1497005411	treasury_change	wh3_main_mis_gen_raze_sack_settlement	1200.0
1614446293	treasury_change	wh3_main_mis_gen_engage_force_army_invading	1000.0
1620993292	treasury_change	wh3_dlc20_payload_eye_of_the_gods_favour	10000.0
1737681908	treasury_change	wh3_main_mis_gen_capture_regions	500.0
175060995	treasury_change	wh3_main_mis_gen_make_alliance	500.0
1868051350	reveal_army_line_of_sight	wh3_main_ritual_tze_cotw_track_army	5.0
2041946634	treasury_change	wh3_main_mis_gen_raid_region	800.0
2058094448	display_faction_armies_current_tasks	wh3_main_ritual_tze_cotw_show_ai_intentions	5.0
2068890802	treasury_change	wh3_main_mis_gen_assassinate_character_agent	600.0
2088185947	treasury_change	wh3_main_mis_gen_engage_force_army	1000.0
231772580	grant_character_ranks	wh3_dlc20_payload_eye_of_the_gods_xp_target	3.0
371911457	treasury_change	wh3_main_mis_gen_raise_force_army	1000.0
462059839	treasury_change	wh3_main_mis_gen_eliminate_character_in_battle_faction_leader	1000.0
502130730	treasury_change	wh3_main_mis_gen_eliminate_character_in_battle_high_rank	1000.0
63675555	action_points_percentage_change	wh3_main_ritual_kho_gg_2	50.0
787774226	reveal_faction_regions_shroud	wh3_main_ritual_tze_cotw_reveal_shroud	5.0
794596823	open_gates	wh3_main_ritual_tze_cotw_open_gates	5.0
898143365	action_points_percentage_change	wh3_main_ritual_kho_gg_2_upgraded	100.0
953242183	action_points_percentage_change	wh3_main_ritual_ogr_great_maw_come_and_get_it	20.0
