stat	size	single_entity_value	multi_entity_value
#unit_stat_to_size_scaling_values_tables;1;db/unit_stat_to_size_scaling_values_tables/data__			
scalar_missile_damage_ap	large	0.7500	1.0000
scalar_missile_damage_ap	medium	0.5000	1.0000
scalar_missile_damage_ap	small	0.2500	1.0000
scalar_missile_damage_ap	ultra	1.0000	1.0000
scalar_missile_damage_base	large	0.7500	1.0000
scalar_missile_damage_base	medium	0.5000	1.0000
scalar_missile_damage_base	small	0.2500	1.0000
scalar_missile_damage_base	ultra	1.0000	1.0000
scalar_missile_explosion_damage_ap	large	0.7500	1.0000
scalar_missile_explosion_damage_ap	medium	0.5000	1.0000
scalar_missile_explosion_damage_ap	small	0.2500	1.0000
scalar_missile_explosion_damage_ap	ultra	1.0000	1.0000
scalar_missile_explosion_damage_base	large	0.7500	1.0000
scalar_missile_explosion_damage_base	medium	0.5000	1.0000
scalar_missile_explosion_damage_base	small	0.2500	1.0000
scalar_missile_explosion_damage_base	ultra	1.0000	1.0000
stat_melee_damage_ap	large	0.7500	1.0000
stat_melee_damage_ap	medium	0.5000	1.0000
stat_melee_damage_ap	small	0.2500	1.0000
stat_melee_damage_ap	ultra	1.0000	1.0000
stat_melee_damage_base	large	0.7500	1.0000
stat_melee_damage_base	medium	0.5000	1.0000
stat_melee_damage_base	small	0.2500	1.0000
stat_melee_damage_base	ultra	1.0000	1.0000
