quest_battle	quote
#loading_screen_quotes_to_quest_battles_tables;0;db/loading_screen_quotes_to_quest_battles_tables/data__	
wh2_dlc09_qb_skv_tretch_craventail_lucky_skullhelm_stage_5	wh2_dlc09_quest_item_lucky_skullhelm
wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5_staff_of_nagash	wh2_dlc09_quest_item_staff_of_nagash
wh2_dlc09_qb_tmb_settra_the_blessed_blade_of_ptra_stage_3_charnel_valley	wh2_dlc09_quest_item_the_blessed_blade_of_ptra
wh2_dlc09_qb_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay	wh2_dlc09_quest_item_the_crown_of_nehekhara
wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok	wh2_dlc09_quest_item_the_liche_staff
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4_mortuary_of_tzulaqua	wh2_dlc09_quest_item_the_tomb_blade_of_arkhan
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river	wh2_dlc09_quest_item_the_venom_staff
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness	wh2_main_quest_item_circlet_of_iron
wh2_main_qb_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_3_isle_of_the_crimson_skull	wh2_main_quest_item_cobra_mace_of_mazdamundi
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil	wh2_main_quest_item_destroyer
wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil	wh2_main_quest_item_dragon_armour_of_aenarion
wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully	wh2_main_quest_item_dwarf_gouger
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates	wh2_main_quest_item_hand_of_gods
wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim	wh2_main_quest_item_heartrender_and_the_darksword
wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps	wh2_main_quest_item_revered_spear_of_tlanxla
wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull	wh2_main_quest_item_rod_of_corruption
wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates	wh2_main_quest_item_sunburst_standard_of_hexoatl
wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth	wh2_main_quest_item_sunfang
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps	wh2_main_quest_item_supreme_spellshield
wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil	wh2_main_quest_item_sword_of_teclis
wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua	wh2_main_quest_item_the_liber_bubonicus
wh2_main_qb_hef_teclis_war_crown_of_saphery_stage_3_caverns_of_the_great_bat	wh2_main_quest_item_war_crown_of_saphery
wh2_main_qb_skv_queek_warp_shard_armour_stage_6_warp_shard_caverns	wh2_main_quest_item_warp_shard_armour
wh3_main_qb_kho_skarbrand_slaughter_and_carnage_brazen_altar	wh3_main_qb_kho_skarbrand_slaughter_and_carnage_brazen_altar
wh3_main_qb_ksl_katarin_boris_unlock	wh3_main_qb_ksl_katarin_boris_unlock
wh3_main_qb_ksl_katarin_the_crystal_cloak_the_fractal_labyrinth	wh3_main_qb_ksl_katarin_the_crystal_cloak_the_fractal_labyrinth
wh3_main_qb_ksl_kostaltyn_boris_unlock	wh3_main_qb_ksl_kostaltyn_boris_unlock
wh3_main_qb_ksl_kostaltyn_temple_of_ursun	wh3_main_qb_ksl_kostaltyn_temple_of_ursun
wh3_main_qb_nur_kugath_necrotic_missiles_dwarf_underway	wh3_main_qb_nur_kugath_necrotic_missiles_dwarf_underway
wh3_main_qb_ogr_greasus_overtyrants_crown_fire_mouth_volcano	wh3_main_qb_ogr_greasus_overtyrants_crown_fire_mouth_volcano
wh3_main_qb_ogr_skrag_cauldron_of_the_great_maw_caverns_of_mourn	wh3_main_qb_ogr_skrag_cauldron_of_the_great_maw_caverns_of_mourn
wh3_main_qb_sla_nkari_sword_sea_of_dreams	wh3_main_qb_sla_nkari_sword_sea_of_dreams
wh3_main_qb_tze_kairos_staff_of_tomorrow_floating_chaos_island	wh3_main_qb_tze_kairos_staff_of_tomorrow_floating_chaos_island
wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_auric_armour	wh_dlc01_quest_item_auric_armour
wh_dlc01_qb_chs_prince_sigvald_sliverslash_stage_4_sliverslash	wh_dlc01_quest_item_sliverslash
wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_todtheim	wh_dlc01_quest_item_starcrusher
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_5_the_stir_river_grandcampaign	wh_dlc03_quest_item_icons_of_vilification
wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_slaughter_at_grimminhagen_grandcampaign	wh_dlc03_quest_item_scourge
wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_ashes_of_kelp_and_koldust_grandcampaign	wh_dlc03_quest_item_the_dark_mail
wh_dlc04_qb_vmp_vlad_von_carstein_blood_drinker_stage_4_devastation_of_ostermark	wh_dlc04_quest_item_blood_drinker
wh_dlc04_qb_vmp_vlad_von_carstein_the_von_carstein_ring_stage_4_ruins_of_ostermark	wh_dlc04_quest_item_carstein_ring
wh_dlc04_qb_emp_volkmar_the_grim_jade_griffon_stage_4_mordheim_ruin	wh_dlc04_quest_item_jade_griffon
wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_4_glacial_lake	wh_dlc04_quest_item_liber_noctus
wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_4_altdorf_outskirt	wh_dlc04_quest_item_staff_command
wh_main_qb_emp_balthasar_gelt_amulet_of_sea_gold_stage_4.1_estalian_tomb	wh_main_quest_item_amulet_of_sea_gold
wh_main_qb_dwf_thorgrim_grudgebearer_armour_of_skaldour_stage_4_troll_country	wh_main_quest_item_armour_of_skaldour
wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_6_burial_mound_of_grudsnik_da_magnificent	wh_main_quest_item_armour_of_templehof
wh_main_qb_dwf_ungrim_ironfist_axe_of_dargo_stage_4_battle_of_high_pass	wh_main_quest_item_axe_of_dargo
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_the_pillar_of_bone	wh_main_quest_item_axe_of_grimnir
wh_main_qb_grn_azhag_the_slaughterer_azhags_ard_armour_stage_4_burial_mound_of_grudsnik_da_magnificent	wh_main_quest_item_azhags_ard_armour
wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_4_battle_of_high_pass	wh_main_quest_item_blood_forged_armour
wh_main_qb_dwf_thorgrim_grudgebearer_book_of_grudges_stage_3_battle_of_hel_fenn	wh_main_quest_item_book_of_grudges
wh_main_qb_vmp_heinrich_kemmler_chaos_tomb_blade_stage_4_glacial_lake	wh_main_quest_item_chaos_tomb_blade
wh_main_qb_vmp_heinrich_kemmler_cloak_of_mists_stage_3_marbads_tomb	wh_main_quest_item_cloak_of_mists_and_shadows
wh_main_qb_emp_balthasar_gelt_cloak_of_molten_metal_stage_5_ancient_dragon_cave	wh_main_quest_item_cloak_of_molten_metal
wh_dlc01_qb_chs_archaon_crown_of_domination_stage_2_the_crown_of_domination	wh_main_quest_item_crown_of_domination
wh_main_qb_grn_azhag_the_slaughterer_crown_of_sorcery_stage_3_todtheim	wh_main_quest_item_crown_of_sorcery
wh_main_qb_dwf_ungrim_ironfist_dragon_cloak_of_fyrskar_stage_4_battle_of_broken_leg_gully	wh_main_quest_item_dragon_cloak_of_fyrskar
wh_main_qb_dwf_thorgrim_grudgebearer_dragon_crown_of_karaz_stage_3_black_fire_pass	wh_main_quest_item_dragon_crown_of_karaz
wh_dlc01_qb_chs_archaon_eye_of_sheerian_stage_3_cliff_of_beasts	wh_main_quest_item_eye_of_sheerian
wh_main_qb_emp_karl_franz_ghal_maraz_stage_4_black_fire_pass	wh_main_quest_item_ghal_maraz
wh_main_qb_grn_grimgor_ironhide_gitsnik_stage_4_black_fire_pass	wh_main_quest_item_gitsnik
wh_main_qb_vmp_heinrich_kemmler_skull_staff_stage_3_la_maisontaal_abbey	wh_main_quest_item_skull_staff
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_4_barrier_idols	wh_main_quest_item_slaggas_slashas
wh_main_qb_dwf_ungrim_ironfist_slayer_crown_stage_5_6_ancient_dragon_cave	wh_main_quest_item_slayer_crown
wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_the_slayer_of_kings	wh_main_quest_item_slayers_of_kings
wh_main_qb_emp_balthasar_gelt_staff_of_volans_stage_3_battle_of_bloodpine_woods	wh_main_quest_item_staff_of_volans
wh_main_qb_vmp_mannfred_von_carstein_sword_of_unholy_power_stage_4_the_pillar_of_bone	wh_main_quest_item_sword_of_unholy_power
wh_dlc01_qb_chs_archaon_armour_of_morkar_stage_3_the_armour_of_morkar	wh_main_quest_item_the_armour_of_morkar
wh_main_qb_emp_karl_franz_reikland_runefang_stage_3_the_threat_from_the_north	wh_main_quest_item_the_reikland_runefang
wh_main_qb_emp_karl_franz_silver_seal_stage_3.1_shrine_of_ill_omen	wh_main_quest_item_the_silver_seal
