key	value
#_kv_fire_values_tables;0;db/_kv_fire_values_tables/data__	
building_ignition_damp_modifier	0.25
custom_firestarter_ignite_range	6.0
escalation_buildings_on_fire	0.020000001
fire_damage_building_modifier	5.0
fire_damage_deployable_modifier	5.0
fire_damage_siege_vehicle_modifier	5.0
fire_intensity_increase	0.1
fire_propagation_distance	9.0
ground_ignition_damp_modifier	0.5
max_distance_of_firestarters_from_main_squad	50.0
max_firestarter_search_after_no_targets_found_cooldown_ticks	300.0
max_firestarter_search_radius	40.0
max_firestarter_spawn_after_recall_cooldown_ticks	300.0
max_firestarter_spawn_cooldown_ticks	50.0
max_num_firestarter_squads	3.0
max_num_firestarters_unit_percentage	0.4
min_firestarter_search_after_no_targets_found_cooldown_ticks	150.0
min_firestarter_search_radius	4.0
min_firestarter_spawn_after_recall_cooldown_ticks	150.0
min_firestarter_spawn_cooldown_ticks	10.0
min_num_firestarters	3.0
num_firestarters_unit_percentage	0.050000004
smoking_hit_point_percentage	0.33
vegetation_catch_fire_chance	0.002
