achievement_key	condition_key
#achievement_technology_condition_junctions_tables;0;db/achievement_technology_condition_junctions_tables/data__	
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW	WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_1
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW	WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_2
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW	WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_3
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW	WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_4
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW	WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_5
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW	WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_6
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW	WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_7
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW	WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_8
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW	WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_9
