m_character_trait_level_key	choice_key
#character_training_dilemma_choice_traits_tables;0;db/character_training_dilemma_choice_traits_tables/data__	
wh3_main_trait_ice_court_ice_charioteer_hero	wh3_main_character_training_dilemma_frost_maiden_bolster_who_first
wh3_main_trait_ice_court_artillerist_hero	wh3_main_character_training_dilemma_frost_maiden_bolster_who_second
wh3_main_trait_ice_court_quiet_warrior	wh3_main_character_training_dilemma_frost_maiden_envoy_of_ice_first
wh3_main_trait_ice_court_magical_warrior_hero	wh3_main_character_training_dilemma_frost_maiden_envoy_of_ice_second
wh3_main_trait_ice_court_better_swords_for_shielders_hero	wh3_main_character_training_dilemma_frost_maiden_guardians_of_the_ice_first
wh3_main_trait_ice_court_better_bows_for_bodyguards_hero	wh3_main_character_training_dilemma_frost_maiden_guardians_of_the_ice_second
wh3_main_trait_ice_court_fighter	wh3_main_character_training_dilemma_frost_maiden_ice_fightress_first
wh3_main_trait_ice_court_martial_magician	wh3_main_character_training_dilemma_frost_maiden_ice_fightress_second
wh3_main_trait_ice_court_stalker	wh3_main_character_training_dilemma_frost_maiden_iron_maiden_first
wh3_main_trait_ice_court_unbreakable	wh3_main_character_training_dilemma_frost_maiden_iron_maiden_second
wh3_main_trait_ice_court_glacial_blaster	wh3_main_character_training_dilemma_frost_maiden_manifest_power_first
wh3_main_trait_ice_court_ice_shard_wielder	wh3_main_character_training_dilemma_frost_maiden_manifest_power_second
wh3_main_trait_ice_court_perfect_vigour	wh3_main_character_training_dilemma_frost_maiden_not_yet_accomplished_first
wh3_main_trait_ice_court_vanguard_deployer	wh3_main_character_training_dilemma_frost_maiden_not_yet_accomplished_second
wh3_main_trait_ice_court_province_protector	wh3_main_character_training_dilemma_frost_maiden_protector_first
wh3_main_trait_ice_court_eldritch_defender	wh3_main_character_training_dilemma_frost_maiden_protector_second
wh3_main_trait_ice_court_growth_is_great	wh3_main_character_training_dilemma_frost_maiden_provincial_aid_first
wh3_main_trait_ice_court_economist	wh3_main_character_training_dilemma_frost_maiden_provincial_aid_second
wh3_main_trait_ice_court_scourge_of_the_corrupt	wh3_main_character_training_dilemma_frost_maiden_provincial_matters_first
wh3_main_trait_ice_court_court_controller	wh3_main_character_training_dilemma_frost_maiden_provincial_matters_second
wh3_main_trait_ice_court_campaigner	wh3_main_character_training_dilemma_frost_maiden_selfless_defence_first
wh3_main_trait_ice_court_battler	wh3_main_character_training_dilemma_frost_maiden_selfless_defence_second
wh3_main_trait_ice_court_infantry_focused_hero	wh3_main_character_training_dilemma_frost_maiden_the_frost_moons_boon_first
wh3_main_trait_ice_court_cavalry_focused_hero	wh3_main_character_training_dilemma_frost_maiden_the_frost_moons_boon_second
wh3_main_trait_ice_court_wounder	wh3_main_character_training_dilemma_frost_maiden_the_heroine_first
wh3_main_trait_ice_court_ownership_is_theft	wh3_main_character_training_dilemma_frost_maiden_the_heroine_second
wh3_main_trait_ice_court_martial_encouragement_hero	wh3_main_character_training_dilemma_frost_maiden_the_visit_first
