climate_type	season	weather_type	key	probability	heat_fatigue	cold_fatigue	spotting_scalar
#battle_climate_weather_descriptions_tables;1;db/battle_climate_weather_descriptions_tables/data__							
brt_chs	season_autumn	dry	wh_brt_chs_autumn	100	0	0	1.0
brt_chs	season_spring	dry	wh_brt_chs_spring	100	0	0	1.0
brt_chs	season_summer	dry	wh_brt_chs_summer	100	0	0	1.0
brt_chs	season_winter	dry	wh_brt_chs_winter	100	0	0	1.0
brt_moorlands	season_autumn	dry	wh_brt_moorlands_autumn	100	0	0	1.0
brt_moorlands	season_spring	dry	wh_brt_moorlands_spring	100	0	0	1.0
brt_moorlands	season_summer	dry	wh_brt_moorlands_summer	100	0	0	1.0
brt_moorlands	season_winter	dry	wh_brt_moorlands_winter	100	0	0	1.0
brt_vmp	season_autumn	dry	wh_brt_vmp_autumn	100	0	0	1.0
brt_vmp	season_spring	dry	wh_brt_vmp_spring	100	0	0	1.0
brt_vmp	season_summer	dry	wh_brt_vmp_summer	100	0	0	1.0
brt_vmp	season_winter	dry	wh_brt_vmp_winter	100	0	0	1.0
bst_paths	season_autumn	dry	wh_bst_paths_autumn	100	0	0	1.0
bst_paths	season_spring	dry	wh_bst_paths_spring	100	0	0	1.0
bst_paths	season_summer	dry	wh_bst_paths_summer	100	0	0	1.0
bst_paths	season_winter	dry	wh_bst_paths_winter	100	0	0	1.0
bst	season_autumn	dry	wh_brt_autumn	100	0	0	1.0
bst	season_spring	dry	wh_brt_spring	100	0	0	1.0
bst	season_summer	dry	wh_brt_summer	100	0	0	1.0
bst	season_winter	dry	wh_brt_winter	100	0	0	1.0
chs_wastes	season_autumn	dry	wh_chs_wastes_autumn	100	0	0	1.0
chs_wastes	season_spring	dry	wh_chs_wastes_spring	100	0	0	1.0
chs_wastes	season_summer	dry	wh_chs_wastes_summer	100	0	0	1.0
chs_wastes	season_winter	dry	wh_chs_wastes_winter	100	0	0	1.0
cth	season_autumn	dry	wh_cth_autumn	100	0	0	1.0
cth	season_spring	dry	wh_cth_spring	100	0	0	1.0
cth	season_summer	dry	wh_cth_summer	100	0	0	1.0
cth	season_winter	dry	wh_cth_winter	100	0	0	1.0
def_bleak	season_autumn	dry	def_bleak_autumn	100	0	0	1.0
def_bleak	season_spring	dry	def_bleak_spring	100	0	0	1.0
def_bleak	season_summer	dry	def_bleak_summer	100	0	0	1.0
def_bleak	season_winter	dry	def_bleak_winter	100	0	0	1.0
def_desert	season_autumn	dry	def_desert_autumn	100	0	0	1.0
def_desert	season_spring	dry	def_desert_spring	100	0	0	1.0
def_desert	season_summer	dry	def_desert_summer	100	0	0	1.0
def_desert	season_winter	dry	def_desert_winter	100	0	0	1.0
def_petrified	season_autumn	dry	def_petrified_autumn	100	0	0	1.0
def_petrified	season_spring	dry	def_petrified_spring	100	0	0	1.0
def_petrified	season_summer	dry	def_petrified_summer	100	0	0	1.0
def_petrified	season_winter	dry	def_petrified_winter	100	0	0	1.0
default	season_autumn	dry	wh_default_autumn	100	0	0	1.0
default	season_spring	dry	wh_default_spring	100	0	0	1.0
default	season_summer	dry	wh_default_summer	100	0	0	1.0
default	season_winter	dry	wh_default_winter	100	0	0	1.0
def	season_autumn	dry	wh_def_autumn	100	0	0	1.0
def	season_spring	dry	wh_def_spring	100	0	0	1.0
def	season_summer	dry	wh_def_summer	100	0	0	1.0
def	season_winter	dry	wh_def_winter	100	0	0	1.0
dkl	season_autumn	dry	wh_dkl_autumn	100	0	0	1.0
dkl	season_spring	dry	wh_dkl_spring	100	0	0	1.0
dkl	season_summer	dry	wh_dkl_summer	100	0	0	1.0
dkl	season_winter	dry	wh_dkl_winter	100	0	0	1.0
dwf_subterranean	season_autumn	dry	wh_dwf_subterranean_autumn	100	0	0	1.0
dwf_subterranean	season_spring	dry	wh_dwf_subterranean_spring	100	0	0	1.0
dwf_subterranean	season_summer	dry	wh_dwf_subterranean_summer	100	0	0	1.0
dwf_subterranean	season_winter	dry	wh_dwf_subterranean_winter	100	0	0	1.0
emp_chs	season_autumn	dry	wh_emp_chs_autumn	100	0	0	1.0
emp_chs	season_spring	dry	wh_emp_chs_spring	100	0	0	1.0
emp_chs	season_summer	dry	wh_emp_chs_summer	100	0	0	1.0
emp_chs	season_winter	dry	wh_emp_chs_winter	100	0	0	1.0
emp_highlands	season_autumn	dry	wh_emp_highlands_autumn	100	0	0	1.0
emp_highlands	season_spring	dry	wh_emp_highlands_spring	100	0	0	1.0
emp_highlands	season_summer	dry	wh_emp_highlands_summer	100	0	0	1.0
emp_highlands	season_winter	dry	wh_emp_highlands_winter	100	0	0	1.0
emp_lowlands	season_autumn	dry	wh_emp_lowlands_autumn	100	0	0	1.0
emp_lowlands	season_spring	dry	wh_emp_lowlands_spring	100	0	0	1.0
emp_lowlands	season_summer	dry	wh_emp_lowlands_summer	100	0	0	1.0
