key	auto_target	camera_offset_x	camera_offset_y	camera_offset_z	half_accuracy_arc	half_horizontal_fire_arc	half_vertical_fire_arc_elevation	near_clipping_plane	reload_time	track_projectile_distance	turn_delay	half_vertical_fire_arc_declination	allow_direct_control	show_trajectory
#first_person_engines_tables;3;db/first_person_engines_tables/data__														
Generic_2_Crew_Rotate	false	0.0	8.0	-12.0	1.0	10.0	1.0	-1.0	10.0	7.0	0.5	-1.0	false	true
Generic_3_Crew	false	0.0	8.0	-12.0	1.0	10.0	1.0	-1.0	10.0	7.0	0.5	-1.0	false	true
Generic_3_Crew_Rotate	false	0.0	8.0	-12.0	1.0	10.0	1.0	-1.0	10.0	7.0	0.5	-1.0	false	true
brt_field_trebuchet	false	0.0	10.0	-11.0	1.0	10.0	25.0	-1.0	20.0	8.0	0.5	-15.0	true	false
chs_hellcannon	false	0.0	5.0	-10.0	1.0	10.0	1.0	-1.0	12.0	6.0	0.5	-1.0	true	false
cst_queen_bess	false	0.0	15.0	-17.0	1.0	10.0	60.0	-1.0	18.0	7.0	0.5	-6.0	true	false
dwf_cannon	false	0.0	2.2	-5.0	1.0	10.0	15.0	-1.0	22.0	6.0	0.5	-6.0	true	false
dwf_flame_cannon	false	0.0	2.2	-5.0	1.0	10.0	17.0	-1.0	10.0	9.0	0.5	-5.0	true	false
dwf_grudge_thrower	false	0.0	2.2	-5.0	1.0	10.0	40.0	-1.0	20.0	8.0	0.5	-5.0	true	false
dwf_organ_gun	false	0.0	2.2	-5.0	1.0	10.0	15.0	-1.0	12.0	4.0	0.5	-5.0	true	false
emp_great_cannon	false	0.0	2.2	-5.0	1.0	10.0	14.0	-1.0	22.0	6.0	0.5	-6.0	true	false
emp_helblaster_volley_gun	false	0.0	2.3	-5.0	1.0	10.0	15.0	-1.0	10.0	4.0	0.5	-6.0	true	false
emp_helstorm_rocket_battery	false	0.0	2.2	-5.0	1.0	10.0	40.0	-1.0	17.0	8.0	0.5	-5.0	true	false
emp_mortar	false	0.0	2.2	-5.0	1.0	10.0	46.0	-1.0	20.0	8.0	0.5	3.0	true	false
emp_steamtank	false	1.9	4.7	-9.0	1.0	10.0	14.0	-1.0	11.0	8.0	0.5	-6.0	true	false
grn_doom_diver	false	0.0	4.0	-7.0	1.0	10.0	1.0	-1.0	18.0	7.0	0.5	-1.0	true	false
grn_goblin_rock_lobber	false	0.0	5.5	-11.0	1.0	10.0	30.0	-1.0	18.0	8.0	0.5	-15.0	true	false
wh2_main_skv_art_plagueclaw_catapult	false	0.0	11.0	-6.0	1.0	10.0	30.0	-1.0	18.0	14.0	0.5	-30.0	true	false
wh2_main_skv_art_warp_lightning_cannon	false	0.0	6.0	-6.0	1.0	10.0	15.0	-1.0	21.0	2.0	0.5	-20.0	true	false
wh3_main_cth_art_fire_rain_rocket_battery	false	0.0	3.2	-4.0	1.0	15.0	40.0	-1.0	20.0	8.0	0.5	-5.0	true	false
wh3_main_cth_art_grand_cannon	false	0.0	3.2	-4.0	1.0	15.0	15.0	-1.0	22.0	6.0	0.5	-5.0	true	false
wh3_main_cth_veh_sky_junk	false	0.5	3.0	1.7	1.0	15.0	40.0	-1.0	20.0	8.0	0.5	-40.0	true	false
wh3_main_kho_veh_skullcannon	false	0.5	5.0	-9.0	1.0	15.0	15.0	-1.0	11.0	8.0	0.5	-5.0	true	false
wh3_main_ksl_art_little_grom	false	0.0	6.2	-10.0	1.0	15.0	40.0	-1.0	16.0	8.0	0.5	-2.0	true	false
wh3_main_ogr_veh_gnoblar_scraplauncher	false	0.5	10.0	-8.0	1.0	15.0	40.0	-1.0	17.0	8.0	0.5	-3.0	true	false
wh3_main_ogr_veh_ironblaster	false	0.5	8.0	-5.0	1.0	15.0	15.0	-1.0	16.0	8.0	0.5	-5.0	true	false
wh_dlc06_dwf_art_bolt_thrower	false	0.0	1.8	-2.3	1.0	10.0	22.0	-1.0	12.0	4.0	0.5	-7.0	true	false
