modifier_type	threshold	battle_type	modifier_value	unitary_delta_value
#battle_currency_modifiers_thresholds_tables;0;db/battle_currency_modifiers_thresholds_tables/data__				
Campaign_buildings	1.0000		1.0000	0.0000
Capture_point_Number_held	1.0000	domination	1.0500	0.0000
Capture_point_Number_held	2.0000	domination	1.1000	0.0000
Capture_point_Number_held	3.0000	domination	1.1500	0.0000
Capture_point_score_Time_held	0.0000	domination	1.0000	0.0000
Capture_point_score_Time_held	300.0000	domination	1.1500	0.0000
Capture_point_score_Time_held	360.0000	domination	1.3000	0.0000
Capture_point_score_Time_held	420.0000	domination	1.5000	0.0000
Settlements_Ticket_score	1000.0000	siege	1.0000	0.0000
Settlements_Ticket_score	200.0000	siege	0.2000	0.0000
Settlements_Ticket_score	400.0000	siege	0.4000	0.0000
Settlements_Ticket_score	600.0000	siege	0.6000	0.0000
Settlements_Ticket_score	800.0000	siege	0.8000	0.0000
