texture_group	ground_type
#ground_type_to_texture_groups_tables;0;db/ground_type_to_texture_groups_tables/data__	
brtcity	burnt
dwfcity	grass
empcity	grass
forest01	forest
forest02	forest
grass0	grass
grass01	grass
grass02	grass
grncity	grass
groundrock01	rock
lava01	rock
lava02	rock
lava03	rock
mineral01	grass
mud01	mud
mud02	mud
mud03	mud
outforest01	grass
outrock01	rock
river01	mud
river02	mud
rock01	rock
rock02	rock
sand01	sand
sand02	sand
sand03	sand
scree01	sharp_stones
scree02	sharp_stones
snow01	snow
snow02	snow
snow03	snow
system_default	grass
tiles01	road
tiles02	road
vmpcity	grass
wetmud01	mud
