ability	hide_description	order	collection
#ability_to_ui_collection_junctions_tables;0;db/ability_to_ui_collection_junctions_tables/data__			
wh2_dlc09_unit_passive_unstable_mark_ii_sand	true	2	wh_ability_collection_undead
wh2_dlc09_unit_passive_unstable_sand	true	1	wh_ability_collection_undead
wh3_main_unit_passive_daemonic_instability_daemon	true	1	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_daemon_ii	true	2	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_khorne	true	1	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_khorne_ii	true	2	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_nurgle	true	1	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_nurgle_ii	true	2	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_slaanesh	true	1	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_slaanesh_ii	true	2	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_tzeentch	true	1	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_tzeentch_ii	true	2	wh3_ability_collection_daemonic
wh_main_unit_passive_unstable	true	1	wh_ability_collection_undead
wh_main_unit_passive_unstable_mark_ii	true	2	wh_ability_collection_undead
