key	default_strategic_component
#cai_personality_strategic_profiles_tables;0;db/cai_personality_strategic_profiles_tables/data__	
default	wh3_strategic_component_default
strategic_profile_aggressive	wh3_strategic_component_prologue_bellicose
strategic_profile_default	wh3_strategic_component_prologue
strategic_profile_ignore_threat	wh3_strategic_component_prologue_ignore_threat
wh3_strategic_profile_aggressive	wh3_strategic_component_aggressive
wh3_strategic_profile_aggressive_opportunistic	wh3_strategic_component_aggressive_opportunistic
wh3_strategic_profile_chaos	wh3_strategic_component_chaos
wh3_strategic_profile_chaos_aggressive	wh3_strategic_component_chaos_aggressive
wh3_strategic_profile_chaos_vengeful	wh3_strategic_component_chaos_vengeful
wh3_strategic_profile_cowardly	wh3_strategic_component_cowardly
wh3_strategic_profile_default	wh3_strategic_component_default
wh3_strategic_profile_frenzied	wh3_strategic_component_frenzied
wh3_strategic_profile_nurgle	wh3_strategic_component_nurgle
wh3_strategic_profile_opportunistic	wh3_strategic_component_opportunistic
wh3_strategic_profile_rift_spawned	wh3_strategic_component_rift_spawned
wh3_strategic_profile_vampire	wh3_strategic_component_vampire
wh3_strategic_profile_vengeful	wh3_strategic_component_vengeful
