effect_bundle	payload	duration
#ritual_payload_effect_bundles_tables;1;db/ritual_payload_effect_bundles_tables/data__		
wh2_dlc09_ritual_crafting_tmb_army_capacity	wh2_dlc09_ritual_crafting_tmb_army_capacity	0
wh2_dlc09_ritual_skv_thirteen_rictus	wh2_dlc09_ritual_skv_thirteen_rictus	13
wh2_dlc09_ritual_tmb_geheb	wh2_dlc09_ritual_tmb_geheb	10
wh2_dlc09_ritual_tmb_khsar	wh2_dlc09_ritual_tmb_khsar	5
wh2_dlc09_ritual_tmb_tahoth	wh2_dlc09_ritual_tmb_tahoth	5
wh2_dlc10_ritual_def_drakira	wh2_dlc10_ritual_def_drakira	10
wh2_dlc10_ritual_hef_lileath	wh2_dlc10_ritual_hef_lileath	5
wh2_dlc11_ritual_cst_eternal_service	wh2_dlc11_ritual_cst_eternal_service	5
wh2_dlc11_ritual_cst_queens_cannon	wh2_dlc11_ritual_cst_queens_cannon	10
wh2_dlc11_ritual_cst_sea_mist	wh2_dlc11_ritual_cst_sea_mist	5
wh2_dlc11_ritual_def_anath_raema	wh2_dlc11_ritual_def_anath_raema	10
wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_bundle_01	wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_01	0
wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_bundle_02	wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_02	0
wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_bundle_03	wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_03	0
wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_bundle_01	wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_01	0
wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_bundle_02	wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_02	0
wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_bundle_03	wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_03	0
wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_bundle_01	wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_01	0
wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_bundle_02	wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_02	0
wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_bundle_03	wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_03	0
wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_bundle_01	wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_01	0
wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_bundle_02	wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_02	0
wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_bundle_03	wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_03	0
wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_bundle_01	wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_01	0
wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_bundle_02	wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_02	0
wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_bundle_03	wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_03	0
wh2_dlc12_ikit_workshop_doomflayer_part_0	wh2_dlc12_ikit_workshop_doomflayer_part_0	0
wh2_dlc12_ikit_workshop_doomflayer_part_1	wh2_dlc12_ikit_workshop_doomflayer_part_1	0
wh2_dlc12_ikit_workshop_doomflayer_part_2	wh2_dlc12_ikit_workshop_doomflayer_part_2	0
wh2_dlc12_ikit_workshop_doomflayer_part_3	wh2_dlc12_ikit_workshop_doomflayer_part_3	0
wh2_dlc12_ikit_workshop_doomflayer_part_4	wh2_dlc12_ikit_workshop_doomflayer_part_4	0
wh2_dlc12_ikit_workshop_doomflayer_part_5	wh2_dlc12_ikit_workshop_doomflayer_part_5	0
wh2_dlc12_ikit_workshop_doomflayer_part_6	wh2_dlc12_ikit_workshop_doomflayer_part_6	0
wh2_dlc12_ikit_workshop_doomflayer_part_7	wh2_dlc12_ikit_workshop_doomflayer_part_7	0
wh2_dlc12_ikit_workshop_doomflayer_part_8	wh2_dlc12_ikit_workshop_doomflayer_part_8	0
wh2_dlc12_ikit_workshop_doomflayer_part_9	wh2_dlc12_ikit_workshop_doomflayer_part_9	0
wh2_dlc12_ikit_workshop_doomwheel_part_0	wh2_dlc12_ikit_workshop_doomwheel_part_0	0
wh2_dlc12_ikit_workshop_doomwheel_part_1	wh2_dlc12_ikit_workshop_doomwheel_part_1	0
wh2_dlc12_ikit_workshop_doomwheel_part_2	wh2_dlc12_ikit_workshop_doomwheel_part_2	0
wh2_dlc12_ikit_workshop_doomwheel_part_3	wh2_dlc12_ikit_workshop_doomwheel_part_3	0
wh2_dlc12_ikit_workshop_doomwheel_part_4	wh2_dlc12_ikit_workshop_doomwheel_part_4	0
wh2_dlc12_ikit_workshop_doomwheel_part_5	wh2_dlc12_ikit_workshop_doomwheel_part_5	0
wh2_dlc12_ikit_workshop_doomwheel_part_6	wh2_dlc12_ikit_workshop_doomwheel_part_6	0
wh2_dlc12_ikit_workshop_doomwheel_part_7	wh2_dlc12_ikit_workshop_doomwheel_part_7	0
wh2_dlc12_ikit_workshop_doomwheel_part_8	wh2_dlc12_ikit_workshop_doomwheel_part_8	0
wh2_dlc12_ikit_workshop_doomwheel_part_9	wh2_dlc12_ikit_workshop_doomwheel_part_9	0
wh2_dlc12_ikit_workshop_gatling_part_0	wh2_dlc12_ikit_workshop_gatling_part_0	0
wh2_dlc12_ikit_workshop_gatling_part_1	wh2_dlc12_ikit_workshop_gatling_part_1	0
wh2_dlc12_ikit_workshop_gatling_part_2	wh2_dlc12_ikit_workshop_gatling_part_2	0
wh2_dlc12_ikit_workshop_jezail_part_0	wh2_dlc12_ikit_workshop_jezail_part_0	0
wh2_dlc12_ikit_workshop_jezail_part_1	wh2_dlc12_ikit_workshop_jezail_part_1	0
wh2_dlc12_ikit_workshop_jezail_part_2	wh2_dlc12_ikit_workshop_jezail_part_2	0
wh2_dlc12_ikit_workshop_nuke_part_0	wh2_dlc12_ikit_workshop_nuke_part_0	0
wh2_dlc12_ikit_workshop_nuke_part_1	wh2_dlc12_ikit_workshop_nuke_part_1	0
wh2_dlc12_ikit_workshop_nuke_part_2	wh2_dlc12_ikit_workshop_nuke_part_2	0
wh2_dlc12_ikit_workshop_nuke_part_3	wh2_dlc12_ikit_workshop_nuke_part_3	0
wh2_dlc12_ikit_workshop_nuke_part_4	wh2_dlc12_ikit_workshop_nuke_part_4	0
wh2_dlc12_ikit_workshop_nuke_part_5	wh2_dlc12_ikit_workshop_nuke_part_5	0
wh2_dlc12_ikit_workshop_poison_wind_globaldier_0	wh2_dlc12_ikit_workshop_poison_wind_globaldier_0	0
wh2_dlc12_ikit_workshop_poison_wind_globaldier_1	wh2_dlc12_ikit_workshop_poison_wind_globaldier_1	0
wh2_dlc12_ikit_workshop_poison_wind_globaldier_2	wh2_dlc12_ikit_workshop_poison_wind_globaldier_2	0
wh2_dlc12_ikit_workshop_poison_wind_mortar_0	wh2_dlc12_ikit_workshop_poison_wind_mortar_0	0
wh2_dlc12_ikit_workshop_poison_wind_mortar_1	wh2_dlc12_ikit_workshop_poison_wind_mortar_1	0
wh2_dlc12_ikit_workshop_poison_wind_mortar_2	wh2_dlc12_ikit_workshop_poison_wind_mortar_2	0
wh2_dlc12_ikit_workshop_warpfire_part_0	wh2_dlc12_ikit_workshop_warpfire_part_0	0
wh2_dlc12_ikit_workshop_warpfire_part_1	wh2_dlc12_ikit_workshop_warpfire_part_1	0
wh2_dlc12_ikit_workshop_warpfire_part_2	wh2_dlc12_ikit_workshop_warpfire_part_2	0
wh2_dlc12_ikit_workshop_warpgrinder_0	wh2_dlc12_ikit_workshop_warpgrinder_0	0
wh2_dlc12_ikit_workshop_warpgrinder_1	wh2_dlc12_ikit_workshop_warpgrinder_1	0
wh2_dlc12_ikit_workshop_warpgrinder_2	wh2_dlc12_ikit_workshop_warpgrinder_2	0
wh2_dlc12_lzd_tiktaqto_ritual_persistence	wh2_dlc12_lzd_tiktaqto_ritual_persistence	1
wh2_dlc12_tehenhauin_sacrifice_tier1_banner	wh2_dlc12_tehenhauin_sacrifice_tier1_banner	10
wh2_dlc12_tehenhauin_sacrifice_tier1_follower	wh2_dlc12_tehenhauin_sacrifice_tier1_follower	10
wh2_dlc12_tehenhauin_sacrifice_tier1_jungle_swarm	wh2_dlc12_tehenhauin_sacrifice_tier1_jungle_swarm	10
wh2_dlc12_tehenhauin_sacrifice_tier1_replenishment	wh2_dlc12_tehenhauin_sacrifice_tier1_replenishment	10
wh2_dlc12_tehenhauin_sacrifice_tier2_recruitment	wh2_dlc12_tehenhauin_sacrifice_tier2_recruitment	10
wh2_dlc12_tehenhauin_sacrifice_tier3_banner	wh2_dlc12_tehenhauin_sacrifice_tier3_banner	10
