key	max_value	min_value	sort_order	step_size	display_as_percentage	default_value
#lab_settings_tables;2;db/lab_settings_tables/data__						
ability_cooldown	1.0000	0.0000	11	0.0100	true	0.0000
ability_radius	3.0000	1.0000	10	0.0100	true	1.0000
ammunition	3.0000	1.0000	7	0.0100	true	1.0000
blood	3.0000	1.0000	14	0.0100	true	1.0000
charge_duration	3.0000	1.0000	12	0.0100	true	1.0000
damage	3.0000	0.2500	0	0.0100	true	1.0000
entity_scale	2.5000	0.5000	13	0.0100	true	1.0000
explosions	1.5000	1.0000	4	0.0100	true	1.0000
gravity	1.0000	0.1000	9	0.0100	true	1.0000
impact	10.0000	1.0000	1	0.0100	true	1.0000
morale	2.0000	1.0000	2	0.0100	true	1.0000
projectile_penetration	3.0000	1.0000	8	0.0100	true	1.0000
reload_time	0.5000	0.0000	6	0.0100	true	0.0000
unit_size	10.0000	1.0000	-1	1.0000	false	1.0000
vigour	1.0000	0.0000	5	0.0100	true	0.0000
winds_of_magic	2.0000	1.0000	3	0.0500	true	1.0000
