culture	bmd	port_bmd
#campaign_settlement_display_building_culture_overlays_tables;0;db/campaign_settlement_display_building_culture_overlays_tables/data__		
wh2_dlc09_tmb_tomb_kings	prefabs/campaign/tmb_city_banners.bmd	
wh2_dlc11_cst_vampire_coast	prefabs/campaign/cst_city_banners.bmd	
wh2_main_def_dark_elves	prefabs/campaign/def_city_banners.bmd	
wh2_main_hef_high_elves	prefabs/campaign/hef_city_banners.bmd	
wh2_main_lzd_lizardmen	prefabs/campaign/lzd_city_banners.bmd	
wh2_main_rogue	prefabs/campaign/gen_city_banners.bmd	
wh2_main_skv_skaven	prefabs/campaign/skv_city_banners.bmd	
wh3_main_cth_cathay	prefabs/campaign/cth_city_banners.bmd	
wh3_main_dae_daemons	prefabs/campaign/dae_city_banners.bmd	
wh3_main_kho_khorne	prefabs/campaign/kho_city_banners.bmd	prefabs/campaign/kho_port_banners.bmd
wh3_main_ksl_kislev	prefabs/campaign/ksl_city_banners.bmd	
wh3_main_nur_nurgle	prefabs/campaign/nur_city_banners.bmd	prefabs/campaign/nur_port_banners.bmd
wh3_main_ogr_ogre_kingdoms	prefabs/campaign/ogr_city_banners.bmd	
wh3_main_pro_ksl_kislev	prefabs/campaign/ksl_city_banners.bmd	
wh3_main_sla_slaanesh	prefabs/campaign/sla_city_banners.bmd	prefabs/campaign/sla_port_banners.bmd
wh3_main_tze_tzeentch	prefabs/campaign/tze_city_banners.bmd	prefabs/campaign/tze_port_banners.bmd
wh_dlc03_bst_beastmen	prefabs/campaign/bst_city_banners.bmd	
wh_dlc05_wef_wood_elves	prefabs/campaign/wef_city_banners.bmd	
wh_dlc08_nor_norsca	prefabs/campaign/nor_city_banners.bmd	
wh_main_brt_bretonnia	prefabs/campaign/brt_city_banners.bmd	
wh_main_chs_chaos	prefabs/campaign/chs_city_banners.bmd	
wh_main_dwf_dwarfs	prefabs/campaign/dwf_city_banners.bmd	
wh_main_emp_empire	prefabs/campaign/emp_city_banners.bmd	
wh_main_grn_greenskins	prefabs/campaign/grn_city_banners.bmd	
wh_main_vmp_vampire_counts	prefabs/campaign/vmp_city_banners.bmd	
