culture	tree_type
#campaign_tree_type_cultures_tables;1;db/campaign_tree_type_cultures_tables/data__	
wh_dlc03_bst_beastmen	BEASTMEN
wh_main_brt_bretonnia	BRETONNIA
wh3_main_cth_cathay	CATHAY
wh3_main_dae_daemons	CHAOS
wh_dlc08_nor_norsca	CHAOS
wh_main_chs_chaos	CHAOS
wh2_main_def_dark_elves	DARKELVES
wh_main_dwf_dwarfs	DWARFS
wh2_main_rogue	EMPIRE
wh_main_emp_empire	EMPIRE
wh_main_grn_greenskins	GREENSKINS
wh2_main_hef_high_elves	HIGHELVES
wh3_main_kho_khorne	KHORNE
wh3_main_ksl_kislev	KISLEV
wh3_main_pro_ksl_kislev	KISLEV
wh2_main_lzd_lizardmen	LIZARDMEN
wh3_main_nur_nurgle	NURGLE
wh3_main_ogr_ogre_kingdoms	OGRE_KINGDOMS
wh2_main_skv_skaven	SKAVEN
wh3_main_sla_slaanesh	SLAANESH
wh3_main_tze_tzeentch	TZEENTCH
wh_main_vmp_vampire_counts	VAMPIRE
wh_dlc05_wef_wood_elves	WOODELVES
