group_key	personality_key	starting_weight	turn1	turn2	turn3	turn4	weight1	weight2	weight3	weight4
#cai_personality_group_junctions_tables;0;db/cai_personality_group_junctions_tables/data__										
default	default	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh2_group_greenskins_waaagh	wh2_greenskin_waaagh	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh2_group_rogue_default	wh2_rogue	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh3_combi_personality_group_beastmen_khazrak	wh3_combi_beastmen_khazrak	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh3_combi_personality_group_beastmen_malagor	wh3_combi_beastmen_malagor	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh3_combi_personality_group_beastmen_minor	wh3_combi_beastmen_minor	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh3_combi_personality_group_beastmen_morghur	wh3_combi_beastmen_morghur	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh3_combi_personality_group_beastmen_taurox	wh3_combi_beastmen_taurox	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh3_combi_personality_group_bretonnia_alberic	wh3_combi_bretonnia_alberic	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh3_combi_personality_group_bretonnia_fayenchantress	wh3_combi_bretonnia_fayenchantress	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh3_combi_personality_group_bretonnia_louen	wh3_combi_bretonnia_louen	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh3_combi_personality_group_bretonnia_minor	wh3_combi_bretonnia_minor	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh3_combi_personality_group_bretonnia_repanse	wh3_combi_bretonnia_repanse	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh3_combi_personality_group_cathay_miao_ying	wh3_combi_cathay_miao_ying	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
wh3_combi_personality_group_cathay_minor	wh3_combi_cathay_minor	1.0000	50	100	150	200	1.0000	1.0000	1.0000	1.0000
