key	order	icon_file_path
#agent_recruitment_categories_tables;1;db/agent_recruitment_categories_tables/data__		
brt_lord	1	UI\Common UI\unit_category_icons\infantry_sword.png
brt_prophetess	2	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png
bst_beastlord	1	UI\Common UI\unit_category_icons\infantry_axe.png
bst_doombull	2	UI\Common UI\unit_category_icons\wh_dlc03_bst_gorebull.png
bst_great_bray_shaman	3	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png
chs_daemon_princes	4	UI\Common UI\unit_category_icons\commander.png
chs_lord	1	UI\Common UI\unit_category_icons\infantry_sword.png
chs_lord_of_change	3	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png
chs_sorcerer_lord	2	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png
cst_legendary_admirals	3	UI\Common UI\unit_category_icons\commander.png
cst_vampire_fleet_admiral	1	UI\Common UI\unit_category_icons\wh2_dlc15_cst_fleet_admiral_male.png
cst_vampire_fleet_admiral_female	2	UI\Common UI\unit_category_icons\wh2_dlc15_cst_fleet_admiral_female.png
def_dreadlord	1	UI\Common UI\unit_category_icons\wh2_dlc15_hef_hybrid_weapon.png
def_dreadlord_female	2	UI\Common UI\unit_category_icons\infantry_sword.png
def_high_beastmaster	3	UI\Common UI\unit_category_icons\wh2_dlc14_lord_spear_whip.png
def_supreme_sorceress	4	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png
dwf_lord	1	UI\Common UI\unit_category_icons\infantry_axe.png
dwf_runelord	2	UI\Common UI\unit_category_icons\wh_main_dwf_runesmith.png
emp_arch_lector	1	UI\Common UI\unit_category_icons\infantry_hammer_great.png
emp_general	2	UI\Common UI\unit_category_icons\infantry_sword.png
emp_huntsmarshal	3	UI\Common UI\unit_category_icons\hybrid_weapon.png
grn_goblin_great_shaman	1	UI\Common UI\unit_category_icons\wh_main_lore_lil_waaagh.png
grn_night_goblin_war_boss	2	UI\Common UI\unit_category_icons\night_goblin_warboss.png
grn_orc_war_boss	3	UI\Common UI\unit_category_icons\wh_main_grn_greenskins\infantry_sword.png
grn_workshop	4	UI\Common UI\unit_category_icons\wh_main_grn_greenskins\infantry_sword.png
hef_archmage	1	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png
hef_prince	2	UI\Common UI\unit_category_icons\infantry_sword.png
hef_princess	3	UI\Common UI\unit_category_icons\wh2_dlc15_hef_hybrid_weapon.png
legendary_lords	0	UI\Common UI\unit_category_icons\commander.png
lzd_kroxigor_ancient	1	UI\Common UI\unit_category_icons\monstrous_infantry.png
lzd_red_crested_skink_chief	2	UI\Common UI\unit_category_icons\infantry_axe_great.png
lzd_saurus_old_blood	3	UI\Common UI\unit_category_icons\wh2_main_lzd_infantry_mace.png
lzd_slann_mage_priest	4	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png
nor_lord_of_change	1	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png
nor_marauder_chieftain	3	UI\Common UI\unit_category_icons\infantry_axe.png
nor_sorcerer_lord	2	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png
skv_grey_seer	1	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png
skv_master_assassin	2	UI\Common UI\unit_category_icons\wh2_dlc15_hef_hybrid_weapon.png
skv_warlock_master	3	UI\Common UI\unit_category_icons\wh2_main_lore_ruin.png
skv_warlord	4	UI\Common UI\unit_category_icons\wh2_main_skaven\infantry_sword.png
teb_lord	0	UI\Common UI\unit_category_icons\commander.png
tmb_dynasties	1	UI\Common UI\unit_category_icons\commander.png
tmb_tomb_king	2	UI\Common UI\unit_category_icons\commander.png
vmp_bloodlines	1	UI\Common UI\unit_category_icons\commander.png
vmp_lord	4	UI\Common UI\unit_category_icons\wh_main_lore_vampires.png
vmp_master_necromancer	2	UI\Common UI\unit_category_icons\necromancer.png
vmp_strigoi_ghoul_king	3	UI\Common UI\unit_category_icons\war_beast.png
wef_ancient_treeman	1	UI\Common UI\unit_category_icons\wh_dlc05_wef_treeman.png
wef_glade_lord	2	UI\Common UI\unit_category_icons\wh_dlc05_wef_waystalker.png
wef_glade_lord_female	3	UI\Common UI\unit_category_icons\wh_dlc05_wef_waystalker_alt.png
wef_spellweaver	1	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png
wh3_main_cth_dragon_blooded_shugengan	2	UI\Common UI\unit_category_icons\commander.png
wh3_main_cth_lord_caravan_master	3	UI\Common UI\unit_category_icons\commander.png
wh3_main_cth_lord_magistrate	1	UI\Common UI\unit_category_icons\commander.png
wh3_main_kho_exalted_bloodthirster	5	UI\Common UI\unit_category_icons\commander.png
wh3_main_kho_herald_of_khorne	1	UI\Common UI\unit_category_icons\commander.png
wh3_main_ksl_ataman	3	UI\Common UI\unit_category_icons\commander.png
