campaign group	ingredient
#campaign_group_cooking_ingredients_tables;0;db/campaign_group_cooking_ingredients_tables/data__	
wh2_dlc15_feature_grom	wh2_dlc15_ale
wh2_dlc15_feature_grom	wh2_dlc15_bat
wh2_dlc15_feature_grom	wh2_dlc15_boar
wh2_dlc15_feature_grom	wh2_dlc15_clams
wh2_dlc15_feature_grom	wh2_dlc15_crab
wh2_dlc15_feature_grom	wh2_dlc15_discharge
wh2_dlc15_feature_grom	wh2_dlc15_dragon
wh2_dlc15_feature_grom	wh2_dlc15_eagle
wh2_dlc15_feature_grom	wh2_dlc15_ectoplasm
wh2_dlc15_feature_grom	wh2_dlc15_glowing
wh2_dlc15_feature_grom	wh2_dlc15_goblin
wh2_dlc15_feature_grom	wh2_dlc15_gold_fish
wh2_dlc15_feature_grom	wh2_dlc15_green
wh2_dlc15_feature_grom	wh2_dlc15_harpy
wh2_dlc15_feature_grom	wh2_dlc15_indigo
wh2_dlc15_feature_grom	wh2_dlc15_lion
wh2_dlc15_feature_grom	wh2_dlc15_lizard
wh2_dlc15_feature_grom	wh2_dlc15_milk
wh2_dlc15_feature_grom	wh2_dlc15_pepper
wh2_dlc15_feature_grom	wh2_dlc15_phoenix
wh2_dlc15_feature_grom	wh2_dlc15_puffer_fish
wh2_dlc15_feature_grom	wh2_dlc15_stinky
wh2_dlc15_feature_grom	wh2_dlc15_tentacle
wh2_dlc15_feature_grom	wh2_dlc15_troll
wh2_dlc15_feature_grom	wh2_dlc15_yolk
