action_results_additional_outcome_record	bonus_value_id	effect
#effect_bonus_value_id_action_results_additional_outcomes_junctions_tables;0;db/effect_bonus_value_id_action_results_additional_outcomes_junctions_tables/data__		
wh2_dlc17_agent_action_assist_army_cannot_fail_harden_armour_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_dlc17_effect_agent_action_assist_army_harden_armour_buff
wh2_dlc17_agent_action_assist_army_cannot_fail_sharpen_weapons_generic_bonus_value_1	action_results_additional_outcome_record_value_addition	wh2_dlc17_effect_agent_action_assist_army_sharpen_weapons_buff
wh2_dlc17_agent_action_assist_army_cannot_fail_sharpen_weapons_generic_bonus_value_2	action_results_additional_outcome_record_value_addition	wh2_dlc17_effect_agent_action_assist_army_sharpen_weapons_buff
wh2_main_agent_action_assist_army_cannot_fail_increase_mobility_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_assist_army_increase_mobility_buff
wh2_main_agent_action_assist_army_cannot_fail_replenish_troops_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_assist_army_replenish_troops_buff
wh2_main_agent_action_assist_army_cannot_fail_scavenge_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_assist_army_scavenge_buff
wh2_main_agent_action_assist_army_cannot_fail_scouting_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_assist_army_scouting_buff
wh2_main_agent_action_assist_army_cannot_fail_training_containing_army_unit_xp_gain	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_assist_army_training_buff
wh2_main_agent_action_hinder_army_success_assault_unit_target_army_damage_single_unit	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_hinder_army_assault_unit_buff
wh2_main_agent_action_hinder_army_success_assault_units_target_army_damage_units	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_hinder_army_assault_units_buff
wh2_main_agent_action_hinder_army_success_block_army_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_hinder_army_block_army_buff
wh2_main_agent_action_hinder_army_success_hinder_replenishment_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_hinder_army_hinder_replenishment_buff
wh2_main_agent_action_hinder_settlement_success_assault_garrison_target_settlement_garrison_units_damaged	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_hinder_settlement_assault_garrison_buff
wh2_main_agent_action_hinder_settlement_success_damage_building_target_settlement_single_building_damaged	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_hinder_settlement_damage_building_buff
wh2_main_agent_action_hinder_settlement_success_damage_walls_damage_walls	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_hinder_settlement_damage_walls_buff
wh2_main_agent_action_hinder_settlement_success_gain_influence_gain_influence	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_hinder_settlement_gain_influence_buff
wh2_main_agent_action_hinder_settlement_success_gain_influence_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_hinder_settlement_gain_influence_buff
wh2_main_agent_action_hinder_settlement_success_steal_technology_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_hinder_settlement_steal_technology_buff
wh2_main_agent_action_passive_cannot_fail_boost_income_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_boost_income_buff
wh2_main_agent_action_passive_cannot_fail_increase_slave_income_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_increase_slave_income_buff
wh2_main_agent_action_champion_passive_cannot_fail_increase_trade_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_increase_trade_buff
wh2_main_agent_action_passive_cannot_fail_spread_corruption_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_spread_corruption_buff_chs
wh2_main_agent_action_passive_cannot_fail_spread_corruption_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_spread_corruption_buff_kho
wh2_main_agent_action_passive_cannot_fail_spread_corruption_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_spread_corruption_buff_nur
wh2_main_agent_action_passive_cannot_fail_spread_corruption_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_spread_corruption_buff_skv
wh2_main_agent_action_passive_cannot_fail_spread_corruption_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_spread_corruption_buff_sla
wh2_main_agent_action_passive_cannot_fail_spread_corruption_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_spread_corruption_buff_tze
wh2_main_agent_action_passive_cannot_fail_spread_corruption_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_spread_corruption_buff_vmp
wh2_main_agent_action_passive_cannot_fail_spread_corruption_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_spread_corruption_buff
wh2_main_agent_action_champion_passive_cannot_fail_spread_public_order_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_spread_public_order_buff
wh2_main_agent_action_champion_passive_cannot_fail_spread_public_order_horde_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_spread_public_order_horde_buff
wh2_main_agent_action_champion_passive_cannot_fail_stimulate_growth_generic_bonus_value	action_results_additional_outcome_record_value_addition	wh2_main_effect_agent_action_passive_stimulate_growth_buff
