key	location	ownership	source	target	territory
#campaign_effect_scopes_tables;2;db/campaign_effect_scopes_tables/data__					
agent_to_parent_army_general_own	forcewide	yours	character	character_when_commanding	any
agent_to_parent_army_own	forcewide	yours	character	force	any
army_to_army_enemy	regionwide	enemy	force	force	any
army_to_army_own	forcewide	yours	army	army	any
army_to_army_own_unseen	forcewide	yours	army	army	any
building_to_army_own_provincewide	provincewide	yours	building	army	any
building_to_building_own	buildingwide	yours	faction	building	any
building_to_character_in_adjacent_regions	neighbour_region	yours	building	character_when_commanding	any
building_to_character_in_adjacent_regions_enemy	neighbour_region	enemy	building	force	any
building_to_faction_own	factionwide	yours	building	faction	any
building_to_force_bloodgroundwide_dummy	regionwide	any	building	force	any
building_to_force_own_factionwide	factionwide	yours	building	force	any
building_to_force_own_in_adjacent_province_unseen	neighbour_faction_province	yours	building	force	any
building_to_force_own_in_adjacent_provinces	neighbour_faction_province	yours	building	force	any
building_to_force_own_in_adjacent_regions	neighbour_region	yours	building	force	any
building_to_force_own_in_region_and_adjacent_regions_dummy	regionwide	yours	building	force	any
building_to_force_own_provincewide_unseen	provincewide	yours	building	force	any
building_to_forces_enemy_regionwide	regionwide	enemy	building	force	any
building_to_forces_in_adjacent_regions_unseen	neighbour_region	yours	building	force	any
building_to_forces_own_regionwide	regionwide	yours	building	force	any
building_to_region_adjacent_enemy	neighbour_region	enemy	building	region	any
building_to_region_provincewide	provincewide	yours	building	region	any
building_to_regions_in_adjacent_regions	neighbour_region	any	building	region	any
character_to_any_province	provincewide	any	character	province	any
character_to_army_general_own	forcewide	yours	character	character_when_commanding_army	any
character_to_character_own	character	yours	character	character	any
character_to_character_own_armytext	character	yours	character	character	any
character_to_character_own_banner	character	yours	character	character	any
character_to_character_own_banner_black_orcs	character	yours	character	character	any
character_to_character_own_banner_bowmen	character	yours	character	character	any
character_to_character_own_banner_fimir	character	yours	character	character	any
character_to_character_own_banner_goblins	character	yours	character	character	any
character_to_character_own_banner_knights_errants	character	yours	character	character	any
character_to_character_own_banner_minotaurs	character	yours	character	character	any
character_to_character_own_banner_not_character	character	yours	character	character	any
character_to_character_own_banner_skin_wolf	character	yours	character	character	any
character_to_character_own_banner_skink_ranged	character	yours	character	character	any
character_to_character_own_banner_spearmen	character	yours	character	character	any
character_to_character_own_banner_spell_caster	character	yours	character	character	any
character_to_character_own_banner_trolls	character	yours	character	character	any
character_to_character_own_banner_war_machine	character	yours	character	character	any
character_to_character_own_factionwide	factionwide	yours	character	character	any
character_to_character_own_factionwide_heroes	factionwide	yours	character	character	any
character_to_character_own_factionwide_unseen	factionwide	yours	character	character	any
character_to_character_own_grom_text	character	yours	character	character	any
character_to_character_own_human_form	character	yours	character	character	any
character_to_character_own_malus	character	yours	character	character	any
character_to_character_own_provincetext	character	yours	character	character	any
character_to_character_own_taurox_text	character	yours	character	character	any
character_to_character_own_tzarkan	character	yours	character	character	any
character_to_character_provincewide	provincewide	yours	character	character	any
character_to_character_regionwide	regionwide	yours	character	character	any
character_to_character_regionwide_local_region	regionwide	yours	character	character	any
character_to_enemy_character_in_region	regionwide	enemy	character	character	any
character_to_enemy_province	provincewide	enemy	character	province	enemy
character_to_enemy_region_provincewide	provincewide	enemy	character	region	any
character_to_faction	factionwide	yours	character	faction	any
character_to_faction_leader_force_if_faction_leader	factionwide	yours	character_if_faction_leader	force_if_commanded_by_faction_leader	any
character_to_faction_unseen	factionwide	yours	character	faction	any
character_to_faction_when_on_map_unseen	factionwide_when_on_map	yours	character	faction	any
character_to_force_enemy_provincewide	provincewide	enemy	character	force	any
character_to_force_enemy_regionwide	regionwide	enemy	character	force	any
character_to_force_enemy_regionwide_slaanesh	regionwide	enemy	character	force	any
character_to_force_own	forcewide	yours	character	force	any
character_to_force_own_alt_text	forcewide	yours	character	force	any
character_to_force_own_banner	character	yours	character	force	any
character_to_force_own_dragon_form	forcewide	yours	character	force	any
character_to_force_own_enemy_territory	forcewide	yours	character	force	enemy
character_to_force_own_factionwide	factionwide	yours	character	force	any
character_to_force_own_grom_text	forcewide	yours	character	force	any
character_to_force_own_neutral_territory_armytext	forcewide	yours	character	force	neutral
character_to_force_own_owned_territory	forcewide	yours	character	force	yours
character_to_force_own_provincewide	provincewide	yours	character	force	any
character_to_force_own_provincewide_governor	provincewide_when_governor	yours	character	force	any
character_to_force_own_taurox_text	forcewide	yours	character	force	any
character_to_force_own_unseen	forcewide	yours	character	force	any
character_to_force_regionwide_own	regionwide	yours	character	force	yours
character_to_general_own_factionwide	factionwide	yours	character	character	any
character_to_province_adjacent_any	neighbour_faction_province	any	character	province	any
character_to_province_any	provincewide	any	character	province	any
character_to_province_any_unseen	provincewide	any	character	province	any
character_to_province_enemy	provincewide	enemy	character	province	enemy
character_to_province_own	provincewide	yours	character	province	any
character_to_province_own_factionwide	factionwide	yours	character	province	any
character_to_province_own_governor	provincewide_when_governor	yours	character	province	any
character_to_province_own_specific	provincewide	yours	character	province	any
character_to_province_own_unseen	provincewide	yours	character	province	any
character_to_region_any_local_province_text	regionwide	any	character	region	any
character_to_region_enemy_provincewide	provincewide	enemy	character	region	any
character_to_region_enemy_text	regionwide	enemy	character	region	any
character_to_region_own	regionwide	yours	character	region	any
character_to_region_own_factionwide	factionwide	yours	character	region	any
character_to_region_own_factionwide_unseen	factionwide	yours	character	region	any
character_to_region_own_provincewide	provincewide	yours	character	region	any
character_to_region_own_provincewide_governor	provincewide_when_governor	yours	character	region	any
character_to_region_own_pseudo_provincewide	regionwide	yours	character	region	any
character_to_region_own_text	regionwide	yours	character	region	any
character_to_region_own_when_on_map	factionwide_when_on_map	yours	character	region	any
character_to_sea_region_own_factionwide	factionwide	yours	character	sea_region	any
character_when_commanding_to_force_own_unseen	forcewide_when_commanding	yours	character_when_commanding	force	any
faction_to_army_own	factionwide	yours	faction	army	any
faction_to_army_own_unseen	factionwide	yours	faction	army	any
faction_to_character_non_functional	factionwide	enemy	faction	character	enemy
faction_to_character_own	factionwide	yours	faction	character	any
faction_to_character_own_agents	factionwide	yours	faction	character	any
faction_to_character_own_champion_only_unseen	factionwide	yours	faction	character	any
faction_to_character_own_dignitary_only	factionwide	yours	faction	character	any
faction_to_character_own_engineer_only	factionwide	yours	faction	character	any
faction_to_character_own_factionwide_armytext	factionwide	yours	faction	character_when_commanding	any
faction_to_character_own_unseen	factionwide	yours	faction	character	any
faction_to_character_own_unseen_heroes_only	factionwide	yours	faction	character	any
faction_to_character_own_unseen_lords_only	factionwide	yours	faction	character	any
faction_to_character_own_wizard_only	factionwide	yours	faction	character	any
faction_to_faction_leader	factionwide	yours	faction	character_if_faction_leader	any
faction_to_faction_leader_unseen	factionwide	yours	faction	character_if_faction_leader	any
faction_to_faction_non_functional	factionwide	enemy	faction	faction	neutral
faction_to_faction_own	factionwide	yours	faction	faction	any
faction_to_faction_own_decreasing	factionwide	yours	faction	faction	any
faction_to_faction_own_increasing	factionwide	yours	faction	faction	any
faction_to_faction_own_taurox_army_text_dummy	factionwide	yours	faction	faction	any
faction_to_faction_own_taurox_local_region_text_dummy	factionwide	yours	faction	faction	any
faction_to_faction_own_unseen	factionwide	yours	faction	faction	any
faction_to_force_enemy	factionwide	enemy	faction	force	any
faction_to_force_enemy_mists_of_yvresse_dummy	factionwide	enemy	faction	force	any
faction_to_force_faction_leader	factionwide	yours	faction	force_if_commanded_by_faction_leader	any
faction_to_force_faction_leader_unseen	factionwide	yours	faction	force_if_commanded_by_faction_leader	any
faction_to_force_non_functional	factionwide	enemy	faction	force	neutral
faction_to_force_own	factionwide	yours	faction	force	any
faction_to_force_own_friendly_territory	factionwide	yours	faction	force	yours
faction_to_force_own_increasing	factionwide	yours	faction	force	any
faction_to_force_own_taurox_army_text_dummy	factionwide	enemy	faction	character_when_commanding	any
faction_to_force_own_unseen	factionwide	yours	faction	force	any
faction_to_foreign_building_unseen	factionwide	yours	faction	foreign_building	any
faction_to_navy_own	factionwide	yours	faction	navy	any
faction_to_province_non_functional	factionwide	enemy	faction	province	neutral
faction_to_province_own	factionwide	yours	faction	province	any
faction_to_province_own_alt_text	factionwide	yours	faction	province	any
faction_to_province_own_decreasing	factionwide	yours	faction	province	any
faction_to_province_own_factionwide	factionwide	yours	faction	province	any
faction_to_province_own_increasing	factionwide	yours	faction	province	any
faction_to_province_own_unseen	factionwide	yours	faction	province	any
faction_to_region_local	regionwide	yours	faction	region	any
faction_to_region_non_functional	factionwide	enemy	faction	region	neutral
faction_to_region_own	factionwide	yours	faction	region	any
faction_to_region_own_decreasing	factionwide	yours	faction	region	any
faction_to_region_own_increasing	factionwide	yours	faction	region	any
faction_to_region_own_unseen	factionwide	yours	faction	region	any
faction_to_sea_region_own	factionwide	yours	faction	sea_region	any
faction_to_tor_yvresse_region_dummy	factionwide	enemy	faction	force	enemy
force_building_to_characters_in_sphere_of_influence_own	force_sphere_of_influencewide	yours	force_building	character	any
force_building_to_force_in_sphere_of_influence_own	force_sphere_of_influencewide	yours	force_building	force	any
force_to_character_in_sphere_of_influence_own	force_sphere_of_influencewide	yours	force	character	any
force_to_character_own	forcewide	yours	force	character	any
force_to_character_own_provincetext	forcewide	yours	force	character	any
force_to_faction_own_factionwide	factionwide	yours	force	faction	any
force_to_force_building	force_buildingwide	yours	faction	force_building	any
force_to_force_in_sphere_of_influence_own	force_sphere_of_influencewide	yours	force	force	any
force_to_force_own	forcewide	yours	force	force	any
force_to_force_own_all_units	forcewide	yours	force	force	any
force_to_force_own_all_units_camp	forcewide	yours	force	force	any
force_to_force_own_black_ark	forcewide	yours	force	force	any
force_to_force_own_enemy_territory	forcewide	yours	force	force	enemy
force_to_force_own_factionwide	factionwide	yours	force	force	any
force_to_force_own_lords_army	forcewide	yours	force	force	any
force_to_force_own_provincewide	provincewide	any	force	force	any
force_to_force_region	regionwide	yours	force	force	any
force_to_general_own	forcewide	yours	force	character_when_commanding	any
force_to_general_own_enemy_territory	forcewide	yours	force	character_when_commanding	enemy
force_to_general_own_taurox_text	forcewide	yours	force	character_when_commanding	any
force_to_province_any	provincewide	any	force	province	any
force_to_province_enemy	provincewide	enemy	force	province	any
force_to_province_own	provincewide	yours	force	province	any
force_to_region_any	regionwide	any	force	region	any
force_to_region_own	regionwide	yours	force	region	any
force_to_region_own_factionwide	factionwide	yours	force	region	any
force_to_region_own_provincewide	provincewide	yours	force	region	any
force_to_region_own_raiding	regionwide	yours	force	region	yours
foreign_building_to_adjacent_province	provincewide	any	foreign_building	province	any
foreign_building_to_adjacent_province_unseen	provincewide	any	foreign_building	province	any
foreign_building_to_character_in_adjacent_provinces	neighbour_region	any	foreign_building	character_when_commanding_army	any
foreign_building_to_character_in_adjacent_regions_hidden	neighbour_region	yours	foreign_building	character	any
foreign_building_to_character_in_region_and_adjacent_regions_dummy	regionwide	yours	foreign_building	character	any
foreign_building_to_character_own	regionwide	yours	foreign_building	character	any
foreign_building_to_character_own_regionwide	regionwide	yours	foreign_building	character	any
foreign_building_to_faction_own	factionwide	yours	foreign_building	faction	any
foreign_building_to_faction_own_unseen	factionwide	yours	foreign_building	faction	any
foreign_building_to_force_own_factionwide	factionwide	yours	foreign_building	force	any
foreign_building_to_force_own_in_adjacent_province_unseen	neighbour_faction_province	yours	foreign_building	force	any
foreign_building_to_force_own_provincewide	provincewide	any	foreign_building	force	any
foreign_building_to_force_own_provincewide_unseen	provincewide	yours	foreign_building	force	any
foreign_building_to_forces_in_adjacent_regions_hidden	neighbour_region	yours	foreign_building	force	any
foreign_building_to_forces_in_region_and_adjacent_regions_dummy	regionwide	yours	foreign_building	force	any
foreign_building_to_forces_own_regionwide	regionwide	yours	foreign_building	force	any
foreign_building_to_foreign_building_own	foreign_buildingwide	yours	foreign_building	foreign_building	any
foreign_building_to_host_faction	foreign_host_factionwide	any	foreign_building	faction	any
foreign_building_to_host_faction_ally	foreign_host_factionwide	allied	foreign_building	faction	any
foreign_building_to_host_faction_armies	foreign_host_factionwide	any	foreign_building	army	any
foreign_building_to_host_faction_enemy	foreign_host_factionwide	enemy	foreign_building	faction	any
foreign_building_to_province_adjacent_any	neighbour_faction_province	any	foreign_building	province	any
foreign_building_to_province_unseen	provincewide	any	foreign_building	province	any
foreign_building_to_region_own	regionwide	any	foreign_building	region	any
foreign_building_to_region_own_dummy_adjacency	regionwide	any	foreign_building	region	any
foreign_building_to_region_own_factionwide	factionwide	yours	foreign_building	region	any
foreign_building_to_regions_in_adjacent_regions	neighbour_region	any	foreign_building	region	any
general_to_character_own_forcewide_heroes_only	forcewide_when_commanding	yours	character_when_commanding	character	any
general_to_force_enemy_regionwide	regionwide	enemy	character	force	any
general_to_force_enemy_regionwide_taurox_text	regionwide	enemy	character	force	any
general_to_force_own	forcewide_when_commanding	yours	character	force	any
general_to_force_own_taurox_text	forcewide_when_commanding	yours	character	force	any
general_to_force_own_unseen	forcewide_when_commanding	yours	character	force	any
grombrindal_faction_to_force	factionwide	yours	faction	force	any
grombrindal_faction_to_province	factionwide	yours	faction	province	any
grombrindal_faction_to_region	factionwide	yours	faction	region	any
grombrindal_force_to_faction	factionwide	yours	force	faction	any
grombrindal_force_to_force	forcewide	yours	force	force	any
grombrindal_force_to_province	provincewide	yours	force	province	any
grombrindal_force_to_region	regionwide	yours	force	region	any
navy_to_navy_own	forcewide	yours	navy	navy	any
province_to_army_own	provincewide	yours	faction	army	any
province_to_character_enemy	provincewide	enemy	province	character	any
province_to_character_own	provincewide	yours	province	character	any
province_to_character_own_text	provincewide	yours	province	character	any
province_to_character_when_commanding_army_own_unseen	provincewide	yours	province	character_when_commanding	any
province_to_faction	factionwide	yours	province	faction	any
province_to_faction_unseen	factionwide	yours	province	faction	any
province_to_force_any_provincewide	provincewide	any	province	force	any
province_to_force_enemy_provincewide	provincewide	enemy	province	force	any
province_to_force_own_factionwide	factionwide	yours	province	force	any
province_to_force_own_provincewide	provincewide	yours	province	force	any
province_to_force_own_provincewide_unseen	provincewide	yours	province	force	any
province_to_province_adjacent	neighbour_faction_province	yours	province	province	any
province_to_province_adjacent_any	neighbour_faction_province	any	province	province	any
province_to_province_adjacent_unseen	neighbour_faction_province	yours	province	province	any
province_to_province_allied	provincewide	allied	province	province	any
province_to_province_own	provincewide	yours	province	province	any
province_to_province_own_factionwide	factionwide	yours	province	province	any
province_to_province_own_unseen	provincewide	yours	province	province	any
province_to_region_own	provincewide	yours	province	region	any
province_to_region_own_factionwide	factionwide	yours	province	region	any
province_to_region_own_provincewide	provincewide	yours	province	region	any
province_to_region_own_unseen	provincewide	yours	province	region	any
province_to_region_provincewide_settlementtext	provincewide	any	province	region	any
province_to_regions_own_in_adjacent_province	neighbour_faction_province	yours	province	region	any
province_to_sea_region_own	sea_regionwide	yours	province	sea_region	any
region_to_character_ally_unseen	regionwide	allied	region	character	any
region_to_character_any	regionwide	any	region	character	any
region_to_character_enemy	regionwide	enemy	faction	character	any
region_to_character_enemy_text	regionwide	enemy	region	character	any
region_to_character_own	regionwide	yours	region	character	any
region_to_character_own_text	regionwide	allied	region	character	any
region_to_faction_own	factionwide	yours	region	faction	any
region_to_force_ally_unseen	regionwide	allied	region	force	any
region_to_force_any	regionwide	any	region	force	any
region_to_force_enemy	regionwide	enemy	region	force	any
region_to_force_enemy_unseen	regionwide	enemy	region	force	any
region_to_force_own	regionwide	yours	region	force	any
region_to_force_own_factionwide	factionwide	yours	region	force	any
region_to_force_own_unseen	regionwide	yours	region	force	any
region_to_force_own_unseen_provincewide	provincewide	yours	region	force	any
region_to_province_any	provincewide	any	region	province	any
region_to_province_own	provincewide	yours	region	province	any
region_to_region_adjacent_allied	neighbour_region	allied	building	region	neutral
region_to_region_own	regionwide	yours	region	region	any
region_to_region_own_factionwide	factionwide	yours	region	region	any
region_to_region_own_neighbour_region	neighbour_region	yours	region	region	any
region_to_region_own_provincewide	provincewide	yours	region	region	any
region_to_region_own_text	regionwide	yours	region	region	any
region_to_region_own_unseen_provincewide	provincewide	yours	region	region	any
this_building	factionwide	yours	building	building	any
tretch_faction_to_force	factionwide	yours	faction	force	any
