campaign_group	faction
#campaign_group_settlement_occupation_gift_factions_tables;0;db/campaign_group_settlement_occupation_gift_factions_tables/data__	
wh2_dlc13_sc_lzd_nakai_occupation_decision_region_handover	wh2_dlc13_lzd_defenders_of_the_great_plan
wh2_main_sc_emp_empire_occupation_decision_gift_averland	wh_main_emp_averland
wh2_main_sc_emp_empire_occupation_decision_gift_hochland	wh_main_emp_hochland
wh2_main_sc_emp_empire_occupation_decision_gift_middenland	wh_main_emp_middenland
wh2_main_sc_emp_empire_occupation_decision_gift_nordland	wh_main_emp_nordland
wh2_main_sc_emp_empire_occupation_decision_gift_ostermark	wh_main_emp_ostermark
wh2_main_sc_emp_empire_occupation_decision_gift_ostland	wh_main_emp_ostland
wh2_main_sc_emp_empire_occupation_decision_gift_reikland	wh_main_emp_empire
wh2_main_sc_emp_empire_occupation_decision_gift_stirland	wh_main_emp_stirland
wh2_main_sc_emp_empire_occupation_decision_gift_talabecland	wh_main_emp_talabecland
wh2_main_sc_emp_empire_occupation_decision_gift_wissenland	wh_main_emp_wissenland
