unit_record	height_offset	campaign_height_offset
#unit_banner_unit_height_offsets_tables;2;db/unit_banner_unit_height_offsets_tables/data__		
wh2_dlc09_tmb_art_casket_of_souls_0	2.0000	0.0000
wh2_dlc09_tmb_cha_arkhan_2	3.0000	0.0000
wh2_dlc09_tmb_cha_khalida_1	0.0000	-4.0000
wh2_dlc09_tmb_cha_khalida_2	1.0000	0.0000
wh2_dlc09_tmb_cha_khatep_2	1.0000	0.0000
wh2_dlc09_tmb_cha_khatep_3	1.5000	0.0000
wh2_dlc09_tmb_cha_necrotect_1	1.0000	0.0000
wh2_dlc09_tmb_cha_settra_2	1.0000	0.0000
wh2_dlc09_tmb_cha_tomb_king_2	1.0000	0.0000
wh2_dlc09_tmb_cha_tomb_prince_2	1.0000	0.0000
wh2_dlc09_tmb_mon_carrion_0	2.0000	0.0000
wh2_dlc09_tmb_mon_carrion_ror	2.0000	0.0000
wh2_dlc09_tmb_mon_heirotitan_0	3.0000	0.0000
wh2_dlc09_tmb_mon_necrosphinx_0	1.0000	0.0000
wh2_dlc09_tmb_mon_necrosphinx_ror	1.0000	0.0000
wh2_dlc09_tmb_veh_skeleton_archer_chariot_0	1.0000	0.0000
wh2_dlc09_tmb_veh_skeleton_chariot_0	1.0000	0.0000
wh2_dlc10_def_cav_doomfire_warlocks_0	1.0000	0.0000
wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0	1.0000	0.0000
wh2_dlc10_def_cav_raven_heralds_ror_0	2.0000	0.0000
wh2_dlc10_def_cav_slaanesh_harvesters_ror_0	1.0000	0.0000
wh2_dlc10_def_cha_crone_4	6.0000	0.0000
wh2_dlc10_def_cha_crone_5	2.0000	0.0000
wh2_dlc10_def_cha_sorceress_beasts_3	2.0000	0.0000
wh2_dlc10_def_cha_sorceress_death_3	2.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_beasts_3	2.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_beasts_4	2.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_beasts_5	6.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_dark_3	2.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_dark_4	2.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_dark_5	6.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_death_3	2.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_death_4	2.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_death_5	6.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_fire_3	2.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_fire_4	2.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_fire_5	6.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_shadow_3	2.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_shadow_4	2.0000	0.0000
wh2_dlc10_def_cha_supreme_sorceress_shadow_5	6.0000	0.0000
wh2_dlc10_def_inf_blades_of_the_blood_queen_ror_0	0.5000	0.0000
wh2_dlc10_def_inf_the_bolt_fiends_ror_0	0.5000	0.0000
wh2_dlc10_def_inf_the_hellebronai_ror_0	0.5000	0.0000
wh2_dlc10_def_mon_chill_of_sontar_ror_0	4.0000	0.0000
wh2_dlc10_def_mon_feral_manticore_0	2.0000	0.0000
wh2_dlc10_def_mon_kharibdyss_0	4.0000	0.0000
wh2_dlc10_dwf_cha_thane_ghost_summoned_0	1.0000	0.0000
wh2_dlc10_dwf_inf_giant_slayers	0.5000	0.0000
wh2_dlc10_hef_cav_the_fireborn_ror_0	2.0000	0.0000
wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0	2.0000	0.0000
wh2_dlc10_hef_cha_alarielle_the_radiant_3	1.0000	0.0000
wh2_dlc10_hef_inf_dryads_0	1.0000	0.0000
wh2_dlc10_hef_inf_everqueens_court_guards_ror_0	1.0000	0.0000
wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0	1.0000	0.0000
wh2_dlc10_hef_inf_shadow_walkers_0	1.0000	0.0000
wh2_dlc10_hef_inf_shadow_warriors_0	1.0000	0.0000
wh2_dlc10_hef_inf_sisters_of_avelorn_0	1.0000	0.0000
wh2_dlc10_hef_inf_the_grey_ror_0	1.0000	0.0000
wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0	1.0000	0.0000
wh2_dlc10_hef_inf_the_silverpelts_ror_0	1.0000	0.0000
wh2_dlc10_hef_inf_the_storm_riders_ror_0	1.0000	0.0000
wh2_dlc10_hef_mon_treekin_0	1.0000	0.0000
wh2_dlc11_cst_cav_deck_droppers_0	1.0000	0.0000
wh2_dlc11_cst_cav_deck_droppers_1	1.0000	0.0000
wh2_dlc11_cst_cav_deck_droppers_2	1.0000	0.0000
wh2_dlc11_cst_cav_knights_errant_0	1.0000	0.0000
wh2_dlc11_cst_cav_knights_errant_1	1.0000	0.0000
wh2_dlc11_cst_cav_knights_errant_2	1.0000	0.0000
wh2_dlc11_cst_cha_aranessa_0	1.0000	0.0000
wh2_dlc11_cst_cha_aranessa_1	1.0000	0.0000
wh2_dlc11_cst_cha_cylostra_direfin_0	2.0000	0.0000
wh2_dlc11_cst_cha_cylostra_direfin_1	2.0000	0.0000
wh2_dlc11_cst_cha_damned_paladin_0	0.5000	0.0000
wh2_dlc11_cst_cha_damned_paladin_1	1.0000	0.0000
wh2_dlc11_cst_cha_gunnery_wight_0	1.0000	0.0000
wh2_dlc11_cst_cha_gunnery_wight_1	1.0000	0.0000
wh2_dlc11_cst_cha_luthor_harkon_0	1.0000	0.0000
wh2_dlc11_cst_cha_luthor_harkon_1	3.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_admiral_0	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_admiral_1	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_admiral_death_0	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_admiral_death_1	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_0	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_1	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_0	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_1	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_0	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_1	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_0	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_1	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_captain_0	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_captain_1	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_captain_death_0	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_captain_death_1	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_captain_deeps_0	1.0000	0.0000
wh2_dlc11_cst_cha_vampire_fleet_captain_deeps_1	1.0000	0.0000
wh2_dlc11_cst_inf_count_noctilus_0	1.0000	0.0000
wh2_dlc11_cst_inf_count_noctilus_1	2.0000	0.0000
wh2_dlc11_cst_inf_deck_gunners_0	0.5000	0.0000
wh2_dlc11_cst_inf_deck_gunners_ror_0	0.5000	0.0000
wh2_dlc11_cst_inf_depth_guard_0	0.7000	0.0000
wh2_dlc11_cst_inf_depth_guard_1	0.7000	0.0000
wh2_dlc11_cst_inf_depth_guard_ror_0	0.7000	0.0000
wh2_dlc11_cst_inf_sartosa_free_company_0	0.5000	0.0000
wh2_dlc11_cst_inf_sartosa_militia_0	0.5000	0.0000
wh2_dlc11_cst_inf_syreens	0.5000	0.0000
wh2_dlc11_cst_inf_zombie_deckhands_mob_0	0.5000	0.0000
wh2_dlc11_cst_inf_zombie_deckhands_mob_1	0.5000	0.0000
wh2_dlc11_cst_inf_zombie_deckhands_mob_ror_0	0.5000	0.0000
wh2_dlc11_cst_inf_zombie_gunnery_mob_0	0.5000	0.0000
wh2_dlc11_cst_inf_zombie_gunnery_mob_1	0.5000	0.0000
wh2_dlc11_cst_inf_zombie_gunnery_mob_2	0.5000	0.0000
wh2_dlc11_cst_mon_animated_hulks_0	1.0000	0.0000
wh2_dlc11_cst_mon_bloated_corpse_0	1.0000	0.0000
wh2_dlc11_cst_mon_necrofex_colossus_0	2.0000	0.0000
wh2_dlc11_cst_mon_necrofex_colossus_ror_0	2.0000	0.0000
wh2_dlc11_cst_mon_rotting_leviathan_0	1.0000	0.0000
wh2_dlc11_cst_mon_rotting_prometheans_0	1.0000	0.0000
wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_0	1.0000	0.0000
wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_ror	1.0000	0.0000
wh2_dlc11_cst_mon_scurvy_dogs	1.0000	0.0000
wh2_dlc11_cst_mon_terrorgheist	3.0000	0.0000
wh2_dlc11_def_cha_lokhir_fellheart_1	6.0000	0.0000
wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_3	6.0000	0.0000
wh2_dlc11_vmp_cha_bloodline_lahmian_lord_3	6.0000	0.0000
wh2_dlc11_vmp_cha_bloodline_necrarch_lord_3	6.0000	0.0000
wh2_dlc11_vmp_cha_bloodline_strigoi_lord_1	3.0000	0.0000
wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_3	6.0000	0.0000
