resource_cost	trade_resource
#resource_cost_trade_resource_junctions_tables;0;db/resource_cost_trade_resource_junctions_tables/data__	
wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	res_gems
wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	res_rom_marble
wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	res_medicine
wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	res_rom_textiles
wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	res_rom_timber
wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	res_obsidian
wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	res_rom_timber
wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll	res_obsidian
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	res_rom_furs
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	res_rom_timber
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	res_rom_wine
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	res_dyes
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	res_rom_furs
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	res_spices
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	res_spices
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	res_rom_textiles
wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	res_rom_lead
wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	res_rom_wine
wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes	res_dyes
wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	res_animals
wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	res_spices
wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra	res_rom_timber
wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	res_rom_furs
wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	res_dyes
wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	res_gems
wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	res_dyes
wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might	res_rom_wine
wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar	res_rom_textiles
wh2_dlc09_ritual_crafting_tmb_enchanted_item_icon_of_rulership	res_rom_marble
wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	res_animals
wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	res_obsidian
wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	res_rom_marble
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_foolhardiness	res_rom_lead
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed	res_animals
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength	res_spices
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness	res_medicine
wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth	res_obsidian
wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth	res_rom_furs
wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	res_gems
wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	res_obsidian
wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	res_rom_wine
wh2_dlc09_ritual_crafting_tmb_necropolis_knights	res_animals
wh2_dlc09_ritual_crafting_tmb_necropolis_knights	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_necropolis_knights	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	res_dyes
wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	res_gems
wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	res_rom_marble
wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	res_gems
wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	res_rom_wine
wh2_dlc09_ritual_crafting_tmb_talisman_dawnstone	res_rom_marble
wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra	res_rom_furs
wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt	res_rom_timber
wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone	res_obsidian
wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone	res_rom_lead
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak	res_rom_lead
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak	res_rom_marble
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire	res_rom_lead
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire	res_spices
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep	res_obsidian
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	res_gems
wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	res_obsidian
wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities	res_medicine
wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities	res_obsidian
wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	res_rom_marble
wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace	res_gems
wh2_dlc09_ritual_crafting_tmb_weapon_fang_of_quaph	res_medicine
