issuer_key	default_rounds_between	icon_path
#mission_issuers_tables;3;db/mission_issuers_tables/data__		
BLACK_TOOF	0	ui/campaign ui/mission_issuers/blacktoof.png
BLESSED_SPAWNING	0	ui/campaign ui/mission_issuers/mission_issuer_blessed_spawning.png
BOOK_NAGASH	0	ui/campaign ui/mission_issuers/book_nagash_generic.png
CHRISTOPH	0	ui/campaign ui/mission_issuers/christoph.png
CLAN_ELDERS	0	ui/campaign ui/mission_issuers/grey_seer_vulscreek.png
FELICION	0	ui/campaign ui/mission_issuers/felicion.png
GREY_SEER_VULSCREEK	0	ui/campaign ui/mission_issuers/grey_seer_vulscreek.png
HARBINGER	0	ui/campaign ui/mission_issuers/harbinger.png
KING_KAZADOR	0	ui/campaign ui/mission_issuers/king_kazador.png
LOREMASTER_TALARIAN	0	ui/campaign ui/mission_issuers/loremaster_talarian.png
MUFFIN_MAN	0	ui/campaign ui/mission_issuers/muffin_man.png
NIBLET	0	ui/campaign ui/mission_issuers/niblet.png
PRIEST_NERUTEP	0	ui/campaign ui/mission_issuers/priest_nerutep.png
PROPHETESS_NAIETH	0	ui/campaign ui/mission_issuers/prophetess_naieth.png
SNEEK_SCRATCHETT	0	ui/campaign ui/mission_issuers/sneek_scratchett.png
SQUIRE_GALIFREIUS	0	ui/campaign ui/mission_issuers/squire_galifreius.png
SYMBOLS	0	ui/campaign ui/mission_issuers/symbols.png
YUKANNADOOZAT	0	ui/campaign ui/mission_issuers/yukannadoozat.png
_DEFAULT_	0	
