advice_info_text	advice_level
#advice_levels_info_text_juncs_tables;0;db/advice_levels_info_text_juncs_tables/data__	
wh2_dlc15.camp.advice.scrap.info_001	1013561330
wh2_dlc15.camp.advice.scrap.info_002	1013561330
wh2_dlc15.camp.advice.scrap.info_003	1013561330
wh2_dlc15.camp.advice.dragon_taming.info_001	108327780
wh2_dlc15.camp.advice.dragon_taming.info_002	108327780
wh2_dlc15.camp.advice.dragon_taming.info_003	108327780
wh2_dlc15.camp.advice.dragon_taming.info_001	1134140195
wh2_dlc15.camp.advice.dragon_taming.info_002	1134140195
wh2_dlc15.camp.advice.dragon_taming.info_003	1134140195
wh2_dlc15.camp.advice.athel_tamarha.info_001	1206969124
wh2_dlc15.camp.advice.athel_tamarha.info_002	1206969124
wh2_dlc15.camp.advice.athel_tamarha.info_003	1206969124
wh2_dlc15.camp.advice.groms_cauldron.info_001	1393523724
wh2_dlc15.camp.advice.groms_cauldron.info_002	1393523724
wh2_dlc15.camp.advice.groms_cauldron.info_003	1393523724
wh2_dlc15.camp.advice.groms_cauldron.info_001	1475465367
wh2_dlc15.camp.advice.groms_cauldron.info_002	1475465367
wh2_dlc15.camp.advice.groms_cauldron.info_003	1475465367
wh2_dlc15.camp.advice.dragon_taming.info_001	1854426562
wh2_dlc15.camp.advice.dragon_taming.info_002	1854426562
wh2_dlc15.camp.advice.dragon_taming.info_003	1854426562
wh2_dlc15.camp.advice.athel_tamarha.info_001	443752476
wh2_dlc15.camp.advice.athel_tamarha.info_002	443752476
wh2_dlc15.camp.advice.athel_tamarha.info_003	443752476
wh2_dlc15.camp.advice.scrap.info_001	790442121
wh2_dlc15.camp.advice.scrap.info_002	790442121
wh2_dlc15.camp.advice.scrap.info_003	790442121
war.camp.hp.dread_panel.001	878745850
war.camp.hp.dread_panel.002	878745850
war.camp.hp.dread_panel.003	878745850
wh2_dlc15.camp.advice.athel_tamarha.info_001	957281164
wh2_dlc15.camp.advice.athel_tamarha.info_002	957281164
wh2_dlc15.camp.advice.athel_tamarha.info_003	957281164
