priority	profile	default_variable_group
#cai_personalities_personality_variable_profile_context_overrides_tables;0;db/cai_personalities_personality_variable_profile_context_overrides_tables/data__		
1	wh3_chaos_personality_profile_chaos	wh3_chaos_personality_variables_chaos_easy
2	wh3_chaos_personality_profile_chaos	wh3_chaos_personality_variables_chaos_hard
3	wh3_chaos_personality_profile_chaos	wh3_chaos_personality_variables_chaos_vhard
4	wh3_chaos_personality_profile_chaos	wh3_chaos_personality_variables_chaos_legendary
1	wh3_chaos_personality_profile_default	wh3_chaos_personality_variables_default_easy
2	wh3_chaos_personality_profile_default	wh3_chaos_personality_variables_default_hard
3	wh3_chaos_personality_profile_default	wh3_chaos_personality_variables_default_vhard
4	wh3_chaos_personality_profile_default	wh3_chaos_personality_variables_default_legendary
1	wh3_chaos_personality_profile_ogre	wh3_chaos_personality_variables_ogre_easy
2	wh3_chaos_personality_profile_ogre	wh3_chaos_personality_variables_ogre_hard
3	wh3_chaos_personality_profile_ogre	wh3_chaos_personality_variables_ogre_vhard
4	wh3_chaos_personality_profile_ogre	wh3_chaos_personality_variables_ogre_legendary
1	wh3_combi_personality_profile_chaos	wh3_combi_personality_variables_chaos_easy
2	wh3_combi_personality_profile_chaos	wh3_combi_personality_variables_chaos_hard
3	wh3_combi_personality_profile_chaos	wh3_combi_personality_variables_chaos_vhard
4	wh3_combi_personality_profile_chaos	wh3_combi_personality_variables_chaos_legendary
1	wh3_combi_personality_profile_default	wh3_combi_personality_variables_default_easy
2	wh3_combi_personality_profile_default	wh3_combi_personality_variables_default_hard
3	wh3_combi_personality_profile_default	wh3_combi_personality_variables_default_vhard
4	wh3_combi_personality_profile_default	wh3_combi_personality_variables_default_legendary
1	wh3_combi_personality_profile_ogre	wh3_combi_personality_variables_ogre_easy
2	wh3_combi_personality_profile_ogre	wh3_combi_personality_variables_ogre_hard
3	wh3_combi_personality_profile_ogre	wh3_combi_personality_variables_ogre_vhard
4	wh3_combi_personality_profile_ogre	wh3_combi_personality_variables_ogre_legendary
