key	expression	display_only_active_effects
#building_effect_context_expressions_tables;1;db/building_effect_context_expressions_tables/data__		
DEFSlavesGreaterThan100	Owner.ModelPooledResourceContext("def_slaves").Total >= 100	false
DEFSlavesGreaterThan150	Owner.ModelPooledResourceContext("def_slaves").Total >= 150	false
DEFSlavesGreaterThan50	Owner.ModelPooledResourceContext("def_slaves").Total >= 50	false
FactionIsSeducible	Region.Owner.IsInFactionSet("slaanesh_seducible_factions")	false
FavouredCorruptionKhorne	Owner.IsInFactionSet("FavouredCorruptionKhorne") == true	true
FavouredCorruptionNone	Owner.IsInFactionSet("FavouredCorruptionNone") == true	true
FavouredCorruptionNurgle	Owner.IsInFactionSet("FavouredCorruptionNurgle") == true	true
FavouredCorruptionSkaven	Owner.IsInFactionSet("FavouredCorruptionSkaven") == true	true
FavouredCorruptionSlaanesh	Owner.IsInFactionSet("FavouredCorruptionSlaanesh") == true	true
FavouredCorruptionTzeentch	Owner.IsInFactionSet("FavouredCorruptionTzeentch") == true	true
FavouredCorruptionUndivided	Owner.IsInFactionSet("FavouredCorruptionUndivided") == true	true
FavouredCorruptionVampiric	Owner.IsInFactionSet("FavouredCorruptionVampiric") == true	true
GDPGreaterThan300	Region.GDP >= 300	false
GrowthGreaterThan200	Region.Growth >= 200	false
GrowthGreaterThan200DPare5	Region.Growth >= 200 || Region.DevelopmentPoints >= 5	false
GrowthPerTurnGreaterThan200	Region.GrowthPerTurn >= 200	false
HasAzazelUpgradeTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_sla_azazel_buildings")	true
HasFestusUpgradeTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_nur_festus_buildings")	true
HasKhoCorruptionTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_kho_shared_gift_upgrade_corruption")	true
HasMarkedHeroesTech	 Owner.IsTechnologyResearched("wh3_dlc20_chs_kho_valkia_heroes_lords") ||  Owner.IsTechnologyResearched("wh3_dlc20_chs_nur_festus_heroes_lords")  || Owner.IsTechnologyResearched("wh3_dlc20_chs_sla_azazel_heroes_lords") || Owner.IsTechnologyResearched("wh3_dlc20_chs_tze_vilitch_heroes_lords")	true
HasNurCorruptionTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_nur_shared_gift_upgrade_corruption")	true
HasSlaCorruptionTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_sla_shared_gift_upgrade_corruption")	true
HasTzeCorruptionTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_tze_shared_gift_upgrade_corruption")	true
HasUndCorruptionTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_und_shared_corruption")	true
HasValkiaUpgradeTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_kho_valkia_buildings")	true
HasVilitchUpgradeTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_tze_vilitch_buildings")	true
HasWoCGenBuildingTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_und_shared_building")	false
IsAgentPresentOwn	Region.IsAnyOwnAgentPresent	false
IsBretonnia	Owner.CultureKey == "wh_main_brt_bretonnia"	true
IsChampionsFaction	Owner.IsInFactionSet("champions_factions")	true
IsChaosCampaign	CampaignModelRoot.CampaignKey == "wh3_main_chaos"	true
IsFactionAzazel	Owner.RecordKeyIsOneOf("wh3_dlc20_chs_azazel")	true
IsFactionFestus	Owner.RecordKeyIsOneOf("wh3_dlc20_chs_festus")	true
IsFactionMalus	Owner.RecordKeyIsOneOf("wh2_main_def_hag_graef")	true
IsFactionMorathi	Owner.RecordKeyIsOneOf("wh2_main_def_cult_of_pleasure")	true
IsFactionNotMorathi	Owner.RecordKeyIsOneOf("wh2_main_def_cult_of_pleasure") == false	true
IsFactionRogueChaos	Owner.RecordKeyIsOneOf("wh2_dlc09_rogue_dwellers_of_zardok", "wh2_main_rogue_abominations", "wh2_dlc11_cst_rogue_the_churning_gulf_raiders", "wh2_main_rogue_hung_warband", "wh3_main_rogue_shadow_legion", "wh3_main_rogue_kurgan_warband", "wh3_main_rogue_the_challenge_stone_pact")	true
IsFactionRogueKhorne	Owner.RecordKeyIsOneOf("wh3_main_rogue_doombreeds_followers", "wh3_main_rogue_legion_of_gorehath", "wh3_main_rogue_the_bloody_harvest")	true
IsFactionRogueNurgle	Owner.RecordKeyIsOneOf("wh3_main_rogue_scaberaxs_gluttons", "wh3_main_rogue_the_glothal_brood", "wh3_main_rogue_the_putrid_swarm")	true
IsFactionRogueSkaven	Owner.RecordKeyIsOneOf("wh2_dlc11_cst_rogue_grey_point_scuttlers", "wh2_main_rogue_morrsliebs_howlers")	true
IsFactionRogueSlaanesh	Owner.RecordKeyIsOneOf("wh3_main_rogue_the_baleful_princes_muses", "wh3_main_rogue_the_convent", "wh3_main_rogue_the_pleasure_tide")	true
IsFactionRogueTzeentch	Owner.RecordKeyIsOneOf("wh3_main_rogue_scriveners_of_fate", "wh3_main_rogue_argfluxs_pyrocasters", "wh3_main_rogue_the_fluxion_host")	true
IsFactionRogueVampiric	Owner.RecordKeyIsOneOf("wh2_dlc11_cst_shanty_shark_straight_seadogs", "wh2_dlc11_cst_rogue_terrors_of_the_dark_straights", "wh2_main_rogue_vmp_heirs_of_mourkain", "wh2_main_rogue_scourge_of_aquitaine", "wh2_main_rogue_the_wandering_dead")	true
IsFactionValkia	Owner.RecordKeyIsOneOf("wh3_dlc20_chs_valkia")	true
IsFactionVilitch	Owner.RecordKeyIsOneOf("wh3_dlc20_chs_vilitch")	true
IsFactionYvresse	Owner.RecordKeyIsOneOf("wh2_main_hef_yvresse")	true
IsGeneralPresentEnemy	Region.IsAnyEnemyMilitaryForcePresent	false
IsGeneralPresentInProvince	Province.IsAnyMilitaryForcePresent	false
IsGeneralPresentOwn	Region.IsOwnMilitaryForcePresent	false
IsKholek	Owner.RecordKeyIsOneOf("wh3_dlc20_chs_kholek")	true
IsKroqGar	Owner.RecordKeyIsOneOf("wh2_main_lzd_last_defenders")	true
IsNotChampionsFaction	Owner.IsInFactionSet("champions_factions") == false	true
IsNotFactionFestus	Owner.RecordKeyIsOneOf("wh3_dlc20_chs_festus") == false	true
IsRegionNorsca	Region.Owner.CultureKey == "wh_dlc08_nor_norsca"	false
NotDwarf	Owner.CultureKey != "wh_main_dwf_dwarfs"	false
PublicOrder100	Region.PublicOrder > 99	false
PublicOrderGreaterThan0	Region.PublicOrder > 0	false
PublicOrderGreaterThan50	Region.PublicOrder > 25	false
PublicOrderLessThan-50	Region.PublicOrder < -50	false
PublicOrderLessThan0	Region.PublicOrder < 0	false
PublicOrderLessThan25	Region.PublicOrder <= 25	false
TreasuryGreaterThan5000	Owner.Treasury >=5000	false
WallEffect	Region.IsOriginatingSubcultureOneOf("wh_dlc05_sc_wef_wood_elves","wh3_main_sc_ogr_ogre_kingdoms","wh_dlc08_sc_nor_norsca") == false	false
WoMGreaterThan3	Region.WindsOfMagicStrengthLevel >= 3	false
WoMGreaterThan4	Region.WindsOfMagicStrengthLevel >= 4	false
