id	component_type	payload	unit	amount	xp
#campaign_payload_unit_components_tables;0;db/campaign_payload_unit_components_tables/data__					
1020242353	add_mercenaries_to_faction	wh3_dlc20_nur_plague_drones_death_x1_chosen_mnur_gw_x1	wh3_dlc20_chs_inf_chosen_mnur_greatweapons	1	0
104054423	add_mercenaries_to_faction	wh3_dlc20_chariot_mnur_x1_pox_riders_x1	wh3_dlc20_chs_cav_chaos_chariot_mnur	1	0
1051260623	add_mercenaries_to_faction	wh3_dlc20_warshrine_tze_x1	wh3_dlc20_chs_mon_warshrine_mtze	1	0
1067573015	add_mercenaries_to_faction	wh3_dlc20_warhounds_poison_x1	wh_main_chs_mon_chaos_warhounds_1	1	0
1102580830	add_mercenaries_to_faction	wh3_dlc20_nur_plague_drones_death_x1_chosen_mnur_gw_x1	wh3_main_nur_cav_plague_drones_1	1	0
1126723949	add_mercenaries_to_faction	wh3_dlc20_shaggoth_x1	wh_dlc01_chs_mon_dragon_ogre_shaggoth	1	0
116641125	add_mercenaries_to_faction	wh3_main_nur_chaos_furies_x1	wh3_main_nur_inf_chaos_furies_0	1	0
1169560040	add_mercenaries_to_faction	wh3_main_nur_great_unclean_one_x1	wh3_main_nur_mon_great_unclean_one_0	1	0
118519741	add_mercenaries_to_faction	wh3_dlc20_nur_plague_toads_x1_marauder_horsmen_mnur_x1	wh3_main_nur_mon_plague_toads_0	1	0
1188651052	add_mercenaries_to_faction	wh3_main_nur_plague_toads_x1_warhounds_x1	wh_main_chs_mon_chaos_warhounds_1	1	0
1223370601	add_mercenaries_to_faction	wh3_main_nur_plaguebearer_x2	wh3_main_nur_inf_plaguebearers_0	1	0
1250112665	add_mercenaries_to_faction	wh3_main_nur_nurglings_x1	wh3_main_nur_inf_nurglings_0	1	0
1263939097	add_mercenaries_to_faction	wh3_dlc20_payload_eye_of_the_gods_units_und_2	wh3_dlc20_chs_mon_warshrine	2	0
1268007205	add_mercenaries_to_faction	wh3_dlc20_payload_eye_of_the_gods_units_tze_1	wh3_main_tze_inf_pink_horrors_0	4	0
1270667941	add_mercenaries_to_faction	wh3_dlc20_soul_grinder_nur_x1	wh3_main_nur_mon_soul_grinder_0	1	0
130684940	add_mercenaries_to_faction	wh3_dlc20_payload_eye_of_the_gods_units_kho_2	wh3_main_kho_inf_bloodletters_0	4	0
1307683610	add_mercenaries_to_faction	wh3_main_nur_plaguebearer_exalted_x1	wh3_main_nur_inf_plaguebearers_1	1	0
1314530260	add_mercenaries_to_faction	wh3_dlc20_marauders_mnur_greatweapons_x1_forsaken_mnur_x1	wh3_main_nur_inf_forsaken_0	1	0
1340037601	add_mercenaries_to_faction	wh3_dlc20_payload_eye_of_the_gods_units_tze_1	wh3_main_tze_mon_flamers_0	2	0
