key	steam_app_id	release_order	is_flc	is_twa	store_page_id
#ownership_products_tables;4;db/ownership_products_tables/data__					
TW_WH1_BASE_GAME	364360	1	false	false	364360
TW_WH1_BEASTMEN	1834022	3	false	false	404012
TW_WH1_BRETONNIA_FREE	1834030	11	true	false	534330
TW_WH1_CHAOS	1834020	2	false	false	404010
TW_WH1_GREY_WIZARD_FREE	1834036	10	true	false	551821
TW_WH1_GROMBRINDAL	1834026	7	true	false	506190
TW_WH1_ISABELLA_FREE	1834031	12	true	false	455041
TW_WH1_JADE_WIZARD_FREE	1834035	9	true	false	551820
TW_WH1_KRELL_FREE	1834032	13	true	false	455042
TW_WH1_LORDS_AND_UNITS_1	1834023	4	false	false	404013
TW_WH1_LORDS_AND_UNITS_2	1834025	6	false	false	404014
TW_WH1_LORDS_AND_UNITS_2_FREE	1834024	6	true	false	404015
TW_WH1_NORSCA	1834033	14	false	false	455040
TW_WH1_REGIMENTS_OF_RENOWN_FREE	1834034	15	true	false	635350
TW_WH1_WOOD_ELVES	1834027	8	false	false	534331
TW_WH2_AMETHYST_WIZARD_FREE	1834047	27	true	false	1036390
TW_WH2_BASE_GAME	594570	16	false	false	594570
TW_WH2_BLACK_ORC_BIG_BOSS_FREE	1834055	35	true	false	1244670
TW_WH2_BONE_GIANT_FREE	1834042	22	true	false	794111
TW_WH2_DLC10_ALITH_ANAR_FREE	1834041	21	true	false	794110
TW_WH2_DLC10_QUEEN_CRONE	1834039	19	false	false	779880
TW_WH2_DLC11_LOKHIR_FREE	1834044	24	true	false	835671
TW_WH2_DLC11_VAMPIRE_COAST	1834043	23	false	false	835670
TW_WH2_DLC12_PROPHET	1834045	25	false	false	965220
TW_WH2_DLC12_TIKTAQTO_FREE	1834046	26	true	false	1003160
TW_WH2_DLC13_GOR_ROK_FREE	1834049	28	true	false	1074321
TW_WH2_DLC13_HUNTER	1834048	29	false	false	1074320
TW_WH2_DLC14_REPANSE_FREE	1834052	32	true	false	1158181
TW_WH2_DLC14_SHADOW	1834051	31	false	false	1158180
TW_WH2_DLC15_IMRIK_FREE	1834054	34	true	false	1209121
TW_WH2_DLC15_WARDEN	1834053	33	false	false	1209120
TW_WH2_DLC16_CHIEFTAIN_FREE	1834058	38	true	false	1315751
TW_WH2_DLC16_TWILIGHT	1834057	37	false	false	1315750
TW_WH2_DLC17_SILENCE	1834062	41	false	false	1556110
TW_WH2_DLC17_THOREK_FREE	1834064	42	true	false	1576390
TW_WH2_GOTREK_FELIX	1834050	30	true	false	1083060
TW_WH2_MWNL_18_FREE	1834040	20	true	false	781190
TW_WH2_TOMB_KINGS	1834037	17	false	false	617870
TW_WH2_TRETCH_FREE	1834038	18	true	false	735420
TW_WH2_TWA_01_SPIDER_SHRINE	1834056	36	true	true	1264270
TW_WH2_TWA_02_GLADE_CAPTAIN	1834060	39	true	true	1423860
TW_WH2_TWA_03_RAKARTH	1834061	40	true	true	1517260
TW_WH2_TWA_04_GREAT_BRAY_SHAMAN	1834065	43	true	true	1576450
TW_WH3_BASE_GAME	1142710	44	false	false	1142710
TW_WH3_BLOODPACK	1374300	46	false	false	1374300
TW_WH3_CHAOS_WARRIORS_FREE	1962500	48	true	false	1962500
TW_WH3_DLC20_CHAMPIONS	1824060	47	false	false	1824060
TW_WH3_IMMORTAL_EMPIRES	1826180	-1	false	false	1826180
TW_WH3_OGRE_KINGDOMS	1670540	45	false	false	1670540
