campaign_group	cdir_config_key	value
#cdir_configs_tables;0;db/cdir_configs_tables/data__		
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_BIG_LOSER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_BIG_WINNER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_LOSER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_WINNER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_BIG_LOSER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_BIG_WINNER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_LOSER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_WINNER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_BIG_LOSER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_BIG_WINNER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_LOSER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_WINNER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_BIG_LOSER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_BIG_WINNER	1.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_LOSER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_WINNER	0.5
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_BIG_LOSER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_BIG_WINNER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_LOSER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_WINNER	0.0
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_BIG_LOSER	0.2
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_BIG_WINNER	0.8
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_LOSER	0.8999999
wh_main_feature_all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_WINNER	1.5
wh_main_feature_all	CDIR_CVN_BOOST_PLAYER_RIVALS_AMOUNT	500.0
wh_main_feature_all	CDIR_CVN_BOOST_PLAYER_RIVALS_MAX	5.0
wh_main_feature_all	CDIR_CVN_BOOST_PLAYER_RIVALS_MIN	5.0
wh_main_feature_all	CDIR_CVN_BOOST_PLAYER_RIVALS_PERCENTAGE	0.125
wh_main_feature_all	CDIR_CVN_PLAYER_RIVAL_SCORE_DIPLOMATIC_RELATION_PCT	0.1
wh_main_feature_all	CDIR_CVN_PLAYER_RIVAL_SCORE_FAME_PCT	0.5
wh_main_feature_all	CDIR_CVN_PLAYER_RIVAL_SCORE_MINOR_FACTION_WEIGHT	0.33
wh_main_feature_all	CDIR_CVN_PLAYER_RIVAL_SCORE_PROXIMITY_PCT	0.2
wh_main_feature_all	CDIR_CVN_PLAYER_RIVAL_SCORE_VICTORY_REGIONS_PCT	0.2
wh_main_feature_all	CDIR_CVN_UBER_FACTION	0.0
