parameter	template	weighting
#battle_ai_abilities_usage_templates_to_params_tables;0;db/battle_ai_abilities_usage_templates_to_params_tables/data__		
bool_flying_currently	always_use_only_land	0.0
bool_ammo_under_threshold	ammo_replenish	10.0
bool_missile_unit	ammo_replenish	1.0
value_missle_cp	ammo_replenish	1.0
bool_flying_currently	aoe_ap	0.0
value_armour	aoe_ap	1.5
value_enemy_units_in_area	aoe_ap	2.0
value_friendly_units_in_area_inverse	aoe_ap	1.0
value_num_men	aoe_ap	2.5
value_speed_current_inverse	aoe_ap	1.0
value_total_cp	aoe_ap	2.5
bool_flying_currently	aoe_bombardment	0.0
bool_standing_still	aoe_bombardment	1.0
value_enemy_units_in_area	aoe_bombardment	2.0
value_num_men	aoe_bombardment	2.0
value_total_cp	aoe_bombardment	3.0
bool_in_melee	aoe_centred_on_self	6.0
value_enemy_units_in_area	aoe_centred_on_self	1.5
bool_flying_currently	aoe	0.0
value_armour_inverse	aoe	1.0
value_enemy_units_in_area	aoe	2.0
value_friendly_units_in_area_inverse	aoe	1.0
value_num_men	aoe	2.5
value_speed_current_inverse	aoe	1.0
value_total_cp	aoe	2.5
value_enemy_units_in_area_inverse	artillery_opportunity	1.0
bool_in_melee	assault_opportunity	2.0
value_enemy_units_in_area_inverse	assault_opportunity	5.0
bool_charging	augment_charge_self	1.0
bool_charging	augment_charge	1.0
bool_charged_at	augment_charged_at_area	1.0
value_friendly_units_in_area	augment_charged_at_area	2.0
bool_charged_at	augment_charged_at	1.0
value_melee_attack	augment_charge	1.0
value_total_cp	augment_charge	1.0
bool_in_melee	augment_defense_melee_area	1.0
value_friendly_units_in_area	augment_defense_melee_area	1.5
value_total_cp	augment_defense_melee_area	1.5
bool_in_melee	augment_defense_melee	1.0
value_total_cp	augment_defense_melee	2.0
bool_under_fire	augment_defense_ranged_area	1.0
value_friendly_units_in_area	augment_defense_ranged_area	1.0
bool_under_fire	augment_defense_ranged	1.0
bool_flying_unit	augment_flying_area	1.0
value_friendly_units_in_area	augment_flying_area	1.0
bool_flying_unit	augment_flying	1.0
bool_in_melee	augment_melee_area	1.0
value_friendly_units_in_area	augment_melee_area	2.0
value_melee_attack	augment_melee_area	1.0
value_melee_cp	augment_melee_area	1.0
bool_in_melee	augment_melee_healing_single_use	1.0
value_hitpoint_damage_taken	augment_melee_healing_single_use	8.0
value_total_cp	augment_melee_healing_single_use	2.0
bool_in_melee	augment_melee_healing	1.0
value_hitpoint_damage_taken	augment_melee_healing	4.0
value_total_cp	augment_melee_healing	2.0
bool_in_melee	augment_melee_morale_area	1.0
value_friendly_units_in_area	augment_melee_morale_area	1.0
value_morale_score_inverse	augment_melee_morale_area	10.0
value_total_cp	augment_melee_morale_area	2.0
bool_in_melee	augment_melee_morale	1.0
value_morale_score_inverse	augment_melee_morale	10.0
value_total_cp	augment_melee_morale	2.0
bool_in_melee	augment_melee_self	1.0
bool_in_melee	augment_melee	1.0
value_melee_attack	augment_melee	1.0
value_melee_cp	augment_melee	2.0
bool_in_melee	augment_morale_area	0.5
value_friendly_units_in_area	augment_morale_area	1.0
value_morale_score_inverse	augment_morale_area	2.0
bool_in_melee	augment_morale_self_area	0.5
value_friendly_units_in_area	augment_morale_self_area	1.0
value_morale_score_inverse	augment_morale_self_area	2.0
bool_in_melee	augment_morale	0.5
value_morale_score_inverse	augment_morale	2.0
bool_shooting	augment_ranged_area	1.0
value_friendly_units_in_area	augment_ranged_area	1.0
value_missle_cp	augment_ranged_area	1.0
bool_shooting	augment_ranged	1.0
value_missle_cp	augment_ranged	1.0
bool_in_melee	augment_self_area	1.0
value_friendly_units_in_area	augment_self_area	1.0
value_winds_of_magic_recharge_inverse	augment_spellcasting	1.2
bool_charged_at	being_charged	4.0
value_enemy_units_in_area	direct_damage_multi_entity_area	2.0
value_num_men	direct_damage_multi_entity_area	1.0
value_armour	direct_damage_multi_entity	1.0
value_num_men	direct_damage_multi_entity	2.0
value_total_cp	direct_damage_multi_entity	1.0
value_enemy_units_in_area	direct_damage_single_entity_area	1.0
value_num_men_inverse	direct_damage_single_entity_area	1.5
value_total_cp	direct_damage_single_entity_area	1.0
value_num_men_inverse	direct_damage_single_entity	3.0
value_total_cp	direct_damage_single_entity	1.5
value_friendly_units_in_area	flanking_opportunity	5.0
bool_in_melee	full_hide	0.0
bool_under_fire	full_hide	1.0
value_total_cp	full_hide	10.0
value_friendly_units_in_area	healing_area	1.0
value_hitpoint_damage_taken	healing_area	6.0
value_total_cp	healing_area	1.0
bool_ability_final_use	healing_single_use	0.6
value_hitpoint_damage_taken	healing_single_use	10.0
value_total_cp	healing_single_use	1.0
value_hitpoint_damage_taken	healing	6.0
value_melee_attack	healing	2.0
value_morale_score	healing	2.0
value_total_cp	healing	1.0
bool_in_melee	hex_armour_area	1.0
value_armour	hex_armour_area	30.0
value_enemy_units_in_area	hex_armour_area	1.5
bool_in_melee	hex_armour	1.0
value_armour	hex_armour	30.0
bool_flying_unit	hex_flying_area	1.0
value_enemy_units_in_area	hex_flying_area	1.5
bool_flying_unit	hex_flying	1.0
bool_in_melee	hex_melee_area_self	1.0
value_enemy_units_in_area	hex_melee_area_self	1.0
bool_in_melee	hex_melee_area	1.0
value_enemy_units_in_area	hex_melee_area	2.0
value_melee_attack	hex_melee_area	1.2
value_total_cp	hex_melee_area	1.0
bool_in_melee	hex_melee	1.0
value_melee_attack	hex_melee	1.7
value_total_cp	hex_melee	1.5
bool_in_melee	hex_morale_area	0.5
value_enemy_units_in_area	hex_morale_area	1.0
value_morale_score_inverse	hex_morale_area	2.0
bool_in_melee	hex_morale	0.5
value_morale_score_inverse	hex_morale	2.0
bool_missile_unit_inverse	hex_ranged_area	0.0
bool_shooting	hex_ranged_area	2.0
value_enemy_units_in_area	hex_ranged_area	3.0
bool_in_melee	hex_ranged_melee_area	60.0
bool_shooting	hex_ranged_melee_area	80.0
value_enemy_units_in_area	hex_ranged_melee_area	10.0
value_melee_attack	hex_ranged_melee_area	0.15
bool_flying_currently_inverse	hex_ranged_summon	1.0
value_missle_cp	hex_ranged_summon	5.0
bool_missile_unit_inverse	hex_ranged	0.0
bool_shooting	hex_ranged	5.0
bool_under_fire	hex_speed_area	2.0
value_enemy_units_in_area	hex_speed_area	2.0
value_speed_current	hex_speed_area	2.0
bool_charged_at	hex_speed_charging_at	4.0
value_speed_current	hex_speed_charging_at	2.0
bool_under_fire	hex_speed_under_fire	4.0
value_speed_current	hex_speed_under_fire	2.0
bool_out_of_melee	hex_speed	1.0
value_speed_current	hex_speed	2.0
bool_has_abilities_costing_mana	hex_spellcaster	1.0
value_winds_of_magic_recharge	hex_spellcasting	1.2
value_num_men	power_of_darkness	1.0
value_winds_of_magic_recharge_inverse	power_of_darkness	2.0
value_armour	projectile_explosive_ap	1.0
value_num_men	projectile_explosive_ap	1.0
value_total_cp	projectile_explosive_ap	5.0
value_armour_inverse	projectile_explosive	1.0
value_num_men	projectile_explosive	1.0
value_total_cp	projectile_explosive	5.0
value_homing_projectile_ratio	projectile_homing	10.0
bool_out_of_melee	projectile_single_ap	1.0
value_armour	projectile_single_ap	1.0
value_homing_projectile_ratio	projectile_single_ap	1.0
value_num_men_inverse	projectile_single_ap	2.0
value_total_cp	projectile_single_ap	2.0
bool_out_of_melee	projectile_single	1.0
value_armour_inverse	projectile_single	1.0
value_homing_projectile_ratio	projectile_single	1.0
value_num_men_inverse	projectile_single	2.0
value_total_cp	projectile_single	2.0
value_hitpoint_damage_taken	qb_master_of_souls	30.0
bool_in_melee	threatened	1.5
value_hitpoint_damage_taken	tzarkan	2.0
value_armour	upgrade_armour	1.0
value_melee_cp	upgrade_armour	1.0
value_missle_cp	upgrade_missiles	1.0
value_num_men	upgrade_missiles	2.0
bool_under_fire	upgrade_shields	1.0
value_melee_cp	upgrade_weapons	2.0
bool_flying_currently	vortex_ap	0.0
value_armour	vortex_ap	1.0
value_enemy_units_in_area	vortex_ap	4.0
value_num_men	vortex_ap	2.0
value_total_cp	vortex_ap	1.0
bool_flying_currently	vortex_breath_ap	0.0
value_armour	vortex_breath_ap	1.5
value_enemy_units_in_cone	vortex_breath_ap	4.0
value_num_men	vortex_breath_ap	3.0
value_total_cp	vortex_breath_ap	1.5
bool_flying_currently	vortex_breath	0.0
value_armour_inverse	vortex_breath	1.5
value_enemy_units_in_cone	vortex_breath	4.0
value_num_men	vortex_breath	3.0
value_total_cp	vortex_breath	1.5
bool_flying_currently_inverse	vortex_flying_only	0.0
value_enemy_units_in_area	vortex_flying_only	5.0
bool_flying_currently	vortex_low_morale	0.0
value_enemy_units_in_area	vortex_low_morale	2.0
value_morale_score_inverse	vortex_low_morale	2.0
value_num_men	vortex_low_morale	2.5
value_total_cp	vortex_low_morale	2.0
bool_flying_currently	vortex_wind_ap	0.0
value_armour	vortex_wind_ap	1.5
value_enemy_units_in_cone	vortex_wind_ap	4.0
value_num_men	vortex_wind_ap	1.0
bool_flying_currently	vortex_wind	0.0
value_armour_inverse	vortex_wind	1.5
value_enemy_units_in_cone	vortex_wind	4.0
value_num_men	vortex_wind	1.0
bool_flying_currently	vortex	0.0
value_armour_inverse	vortex	1.0
value_enemy_units_in_area	vortex	4.0
value_num_men	vortex	2.0
value_total_cp	vortex	1.0
