agent_subtype	clan_name	forename	other_name	surname	agent_type	spawn_behaviour	spawn_via_ui
#unique_agents_tables;3;db/unique_agents_tables/data__							
wh2_dlc12_lzd_lord_kroak	2147360514	2147360514	2147360514	894850662	wizard	FACTION_LEADER	false
wh2_dlc13_emp_hunter_doctor_hertwig_van_hal	2147358913	2147344037	2147358913	1353890747	spy	FACTION_LEADER	false
wh2_dlc13_emp_hunter_jorek_grimm	2147358913	1226380347	2147358913	2147354469	engineer	FACTION_LEADER	false
wh2_dlc13_emp_hunter_kalara_of_wydrioth	2147358913	159761477	2147358913	2147358913	spy	FACTION_LEADER	false
wh2_dlc13_emp_hunter_rodrik_l_anguille	2147358913	2013931711	2147358913	1021442703	champion	FACTION_LEADER	false
wh2_dlc14_brt_henri_le_massif	2147358913	1774059156	2147358913	2147358913	champion	FACTION_LEADER	false
wh2_dlc16_skv_ghoritch	2147360732	1646918554	2147360732	2147360732	champion	FACTION_LEADER	false
wh2_dlc16_wef_ariel	2147359013	2060780146	2147359013	2147359013	wizard	FACTION_LEADER	false
wh2_dlc16_wef_coeddil	2147359013	1821577682	2147359013	2147359013	champion	FACTION_LEADER	false
wh2_dlc17_dwf_thane_ghost_artifact	2147358935	748551046	2147358935	1941370922	champion	FACTION_LEADER	false
wh2_dlc17_lzd_mon_dread_saurian_qb_boss	2147360514	1156052869	2147360514	2147360514	champion	FACTION_LEADER	false
wh2_pro08_neu_felix	2147358913	2147355015	2147358913	2147358913	champion	FACTION_LEADER	false
wh3_main_ie_nor_burplesmirk_spewpit	2147358949	2063127767	2147358949	603789142	general	FACTION_LEADER	false
wh3_main_ie_nor_killgore_slaymaim	2147358949	739309651	2147358949	889885632	champion	FACTION_LEADER	false
wh3_main_pro_ksl_frost_maiden_ice	967817108	1031025019	967817108	967817108	wizard	FACTION_LEADER	false
wh_dlc04_vmp_vlad_von_carstein_hero		2147345130		2147343895	runesmith	FACTION_LEADER	false
wh_dlc07_brt_green_knight	2147359018	2147358939	2147359018	2147359018	champion	FACTION_LEADER	true
wh_dlc08_nor_kihar	2147358949	1444005617	2147358949	1976469121	wizard	FACTION_LEADER	false
wh_pro02_vmp_isabella_von_carstein_hero		2147345124		2147343895	runesmith	FACTION_LEADER	false
