type	selection_cursor	standard_cursor	penalty_immune_attribute	burn_rate	audio_type	minimum_threshold	colour_hex
#ground_types_tables;8;db/ground_types_tables/data__							
burnt			strider	1.0	earth	55.0	400000
deep_water			strider	0.0	water	55.0	0000FF
forest	terrain_heavy	terrain_heavy_noselect	strider	1.0	earth	55.0	193300
grass			strider	1.0	earth	0.0	00FF00
mud			strider	1.0	earth	55.0	964B00
road			strider	1.0	sand	55.0	FF6000
rock			strider	1.0	rock	55.0	AAAAAA
sand			strider	1.0	sand	55.0	F4A460
scrub			strider	1.0	earth	55.0	ACE1AF
shallow_water	terrain_rough	terrain_rough_noselect	strider	0.0	water	55.0	5DFFFF
sharp_stones			strider	1.0	sand	55.0	FFFF00
snow			strider	1.0	sand	55.0	FFFFFF
wooden_floor			strider	1.0	wood	55.0	FF6464
