id	friendly_towards_enemy_multiplier	friendly_towards_friend_multiplier	hostile_towards_enemy_multiplier	hostile_towards_friend_multiplier	max_friendly_attitude	max_hostile_attitude	unknown_faction_multiplier	max_merc_proportion	min_merc_cap	enemy_strength_modifier	enemy_threat_strength_modifier	min_retreat_ratio	min_retreat_to_settlement_ratio	strategic_balance_opportunism_factor	fortified_settlement_assault_strength_modifier	fortified_settlement_defend_strength_modifier	short_description	long_description	last_settlement_modifier	min_refuse_tunneling_intercept_ratio	use_classic_stance_generation_mechanics	ai_threat_score_threat_treshold	strategic_context_local_strength_balance_weight	strategic_context_maximum_band_adjustment_reached_in_rounds	strategic_context_maximum_band_adjustment_proportion	strategic_context_global_strenth_balance_weight	strategic_context_default_band_value	sally_out_chance	war_coordination_assist_attack_force_max_distance	war_coordination_assist_attack_settlement_max_distance	dead_zone	call_to_arms_chance_defensive_war_with_human_players	call_to_arms_chance_offensive_war_with_ai_only	call_to_arms_chance_offensive_war_with_human_players	call_to_arms_chance_defensive_war_with_ai_only
#cai_personality_strategic_components_tables;17;db/cai_personality_strategic_components_tables/data__																																			
wh3_strategic_component_aggressive	-0.8	0.3	0.3	-0.8	100.0	-100.0	0.0	1.0	0	0.85	0.85	0.5	0.5	0.4	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	280.0	10.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_aggressive_opportunistic	-0.8	0.3	0.3	-0.8	100.0	-100.0	0.0	1.0	0	0.85	0.85	0.5	0.5	0.8999999	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	350.0	10.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_aloof	-0.5	0.2	0.2	-0.5	100.0	-100.0	0.0	1.0	0	0.95	0.95	0.7	0.7	0.4	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	280.0	5.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_chaos	-0.8	0.3	0.3	-0.8	100.0	-100.0	0.0	1.0	0	0.95	0.95	0.7	0.7	0.4	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	350.0	10.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_chaos_aggressive	-0.8	0.3	0.3	-0.8	100.0	-100.0	0.0	1.0	0	0.85	0.85	0.5	0.5	0.4	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	350.0	10.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_chaos_vengeful	-1.0	0.3	0.3	-1.0	100.0	-100.0	0.0	1.0	0	0.95	0.95	0.7	0.7	0.4	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	350.0	10.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_cowardly	-0.8	0.3	0.3	-0.8	100.0	-100.0	0.0	1.0	0	1.1	1.1	0.8999999	0.8999999	0.4	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	280.0	5.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_default	-0.8	0.3	0.3	-0.8	100.0	-100.0	0.0	1.0	0	0.95	0.95	0.7	0.7	0.4	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	280.0	5.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_defensive	-0.8	0.3	0.3	-0.8	100.0	-100.0	0.0	1.0	0	1.0	1.0	0.8	0.8	0.4	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	280.0	5.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_defensive_holds_grudges	-1.2	0.3	0.3	-1.5	100.0	-100.0	0.0	1.0	0	1.0	1.0	0.8	0.8	0.4	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	280.0	5.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_frenzied	-0.8	0.3	0.3	-0.8	100.0	-100.0	0.0	1.0	0	0.3	0.3	0.1	0.1	0.4	0.8999999	1.2			5.0	0.3	false	1.0	0.5	10	0.66	0.33	280.0	5.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_noretreat	-0.8	0.3	0.3	-0.8	100.0	-100.0	0.0	1.0	0	0.95	0.95	0.2	0.2	0.4	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	280.0	10.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_nurgle	-0.8	0.3	0.3	-0.8	100.0	-100.0	0.0	1.0	0	0.95	0.95	0.6	0.7	0.4	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	350.0	5.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_opportunistic	-0.8	0.3	0.3	-0.8	100.0	-100.0	0.0	1.0	0	0.95	0.95	0.7	0.7	0.8999999	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	280.0	5.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_prologue	-0.5	0.2	0.5	-0.2	100.0	-100.0	0.3	1.0	0	0.85	0.85	0.6	0.7	0.55	1.0	2.0			5.0	1.0	false	1.0	0.5	10	0.5	0.5	50.0	5.0	3.0	3.0	15.0	0.0	0.0	0.0	0.0
wh3_strategic_component_prologue_bellicose	-0.5	0.2	0.5	-0.2	100.0	-100.0	0.3	1.0	0	0.65	0.65	0.45	0.55	0.55	1.0	2.0			5.0	1.0	false	1.0	0.5	10	0.5	0.5	50.0	10.0	3.0	3.0	15.0	0.0	0.0	0.0	0.0
wh3_strategic_component_prologue_ignore_threat	-0.5	0.2	0.5	-0.2	100.0	-100.0	0.3	1.0	0	0.65	0.1	0.45	0.55	0.55	1.0	2.0			5.0	1.0	false	1.0	0.5	10	0.5	0.5	50.0	5.0	3.0	3.0	15.0	0.0	0.0	0.0	0.0
wh3_strategic_component_rift_spawned	-0.8	0.3	0.3	-0.8	100.0	-100.0	0.0	0.5	0	0.75	0.3	0.3	0.3	0.4	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	999.0	10.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_sentinel	-0.1	0.1	0.1	-0.1	100.0	-100.0	0.0	1.0	0	1.0	1.0	0.8	0.8	0.4	0.8999999	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	280.0	5.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
wh3_strategic_component_simple	-0.8	0.3	0.3	-0.8	100.0	-100.0	0.3	1.0	0	0.8999999	0.8999999	0.7	0.7	0.4	1.0	1.2			5.0	1.0	false	1.0	0.5	10	0.66	0.33	280.0	20.0	3.0	3.0	15.0	1.0	0.5	0.1	1.0
