armory_item_set	agent_subtype
#agent_subtypes_to_armory_item_sets_tables;0;db/agent_subtypes_to_armory_item_sets_tables/data__	
wh3_main_dae_daemon_prince_default	wh3_main_dae_daemon_prince
wh3_main_dae_daemon_prince_generic_weapon_set	wh3_main_dae_daemon_prince
wh3_main_dae_daemon_prince_khorne	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_khorne_fe	wh3_main_dae_daemon_prince_khorne_fe
wh3_main_dae_daemon_prince_khorne_weapon_set_1	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_khorne_weapon_set_2	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_nurgle	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_nurgle_fe	wh3_main_dae_daemon_prince_nurgle_fe
wh3_main_dae_daemon_prince_nurgle_weapon_set_1	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_nurgle_weapon_set_2	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_generic_body_2	wh3_main_dae_daemon_prince
wh3_main_dae_daemon_prince_set_generic_body_3	wh3_main_dae_daemon_prince
wh3_main_dae_daemon_prince_set_generic_body_4	wh3_main_dae_daemon_prince
wh3_main_dae_daemon_prince_set_generic_body_5	wh3_main_dae_daemon_prince
wh3_main_dae_daemon_prince_set_generic_body_6	wh3_main_dae_daemon_prince
wh3_main_dae_daemon_prince_set_generic_body_7	wh3_main_dae_daemon_prince
wh3_main_dae_daemon_prince_set_generic_body_8	wh3_main_dae_daemon_prince
wh3_main_dae_daemon_prince_set_khorne_body_1	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_set_khorne_body_10	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_set_khorne_body_11	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_set_khorne_body_12	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_set_khorne_body_13	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_set_khorne_body_2	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_set_khorne_body_3	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_set_khorne_body_4	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_set_khorne_body_5	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_set_khorne_body_6	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_set_khorne_body_7	wh3_main_dae_daemon_prince_khorne
