domain	query	query_variables	query_invert_result	query_weight
#cai_domain_scoring_junctions_tables;1;db/cai_domain_scoring_junctions_tables/data__				
abandoned_settlements_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_chaos	false	1.0000
abandoned_settlements_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_khorne	false	1.0000
abandoned_settlements_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_nurgle	false	1.0000
abandoned_settlements_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_slaanesh	false	1.0000
abandoned_settlements_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_tzeentch	false	1.0000
bordering_regions_owned_by_disliked_faction_scaled_by_po	faction_province_check_public_order	most_specific_value_between_25_100_scaled	false	1.0000
enemy_forces_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_chaos	false	1.0000
enemy_forces_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_khorne	false	1.0000
enemy_forces_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_nurgle	false	1.0000
enemy_forces_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_slaanesh	false	1.0000
enemy_forces_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_tzeentch	false	1.0000
enemy_military_forces_of_human_player_scaled_by_diff	world_check_difficulty	queried_domain_source_value_between_1_3_scaled	false	1.0000
enemy_military_forces_of_human_player	faction_to_locatable_check_distance_from_territory	queried_domain_source_to_target_scaled_50_300	true	0.8000
enemy_regions_near_our_agents_positions_with_low_corruption_exclude_rifts_any	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_khorne	true	1.0000
enemy_regions_near_our_agents_positions_with_low_corruption_exclude_rifts_any	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_nurgle	true	1.0000
enemy_regions_near_our_agents_positions_with_low_corruption_exclude_rifts_any	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_slaanesh	true	1.0000
enemy_regions_near_our_agents_positions_with_low_corruption_exclude_rifts_any	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_tzeentch	true	1.0000
enemy_regions_near_our_agents_positions_with_low_corruption_exclude_rifts_khorne	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_khorne	true	1.0000
enemy_regions_near_our_agents_positions_with_low_corruption_exclude_rifts_nurgle	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_nurgle	true	1.0000
enemy_regions_near_our_agents_positions_with_low_corruption_exclude_rifts_slaanesh	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_slaanesh	true	1.0000
enemy_regions_near_our_agents_positions_with_low_corruption_exclude_rifts_tzeentch	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_tzeentch	true	1.0000
enemy_settlements_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_chaos	false	1.0000
enemy_settlements_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_khorne	false	1.0000
enemy_settlements_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_nurgle	false	1.0000
enemy_settlements_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_slaanesh	false	1.0000
enemy_settlements_in_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_tzeentch	false	1.0000
enemy_settlements_in_corrupted_by_non_chaos_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_skaven	false	1.0000
enemy_settlements_in_corrupted_by_non_chaos_province	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_vampire	false	1.0000
enemy_settlements_in_corrupted_province_near_our_settlements_range2	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_chaos	false	1.0000
enemy_settlements_in_corrupted_province_near_our_settlements_range2	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_khorne	false	1.0000
enemy_settlements_in_corrupted_province_near_our_settlements_range2	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_nurgle	false	1.0000
