key	lookahead_time	max_target_angle_delta	start_time	steering_coefficient
#projectile_homing_params_tables;0;db/projectile_homing_params_tables/data__				
wh2_dlc11_army_abilities_wraith_storm	0.3000	100.0000	2.3000	1.0000
wh2_dlc13_lord_abilities_kill_shot	0.1000	90.0000	0.1000	0.7500
wh2_main_army_abilities_bolt_of_spite	0.0100	120.0000	0.0100	50000.0000
wh2_main_hero_abilities_doomrocket	1.0000	60.0000	2.0000	0.0500
wh2_main_spell_high_magic_soul_quench	0.5000	90.0000	0.4000	0.2500
wh3_main_tower_chs_hellcannon	0.5000	90.0000	1.0000	0.5000
wh3_spell_tzeentch_blue_fire	0.1000	120.0000	0.2000	2.0000
wh_chs_hellcannon	0.3000	120.0000	3.0000	0.5000
wh_dlc03_spell_beasts_amber_spear	0.3000	60.0000	1.0000	0.2500
wh_dlc05_spell_arrow_of_kurnous	0.2000	180.0000	0.2000	0.5000
wh_dlc05_wef_orion_spear	0.3000	60.0000	0.2000	0.2500
wh_dlc05_wef_trueflight_arrow	0.2000	90.0000	0.2000	0.5000
wh_grn_doomdiver_goblin	0.5000	120.0000	1.5000	0.3500
wh_main_bound_spell_solheims_bolt_of_illumination	0.5000	90.0000	0.3000	0.0500
wh_main_generic	0.5000	60.0000	1.0000	0.1500
wh_main_magic_missile	0.3000	120.0000	0.4000	0.5000
wh_main_spell_fire_fireball	0.3000	90.0000	0.2000	0.2500
