key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constant	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/data__																																																								
artillery_ballista_giant	artillery	1.0	1.1	1.0	2.0	1.1	30.0	20.0	20.0	6.8	capsule	0.65	5000.0	8.0	60.0	15.0	450	true	true	0.0	0.0	0.0	large	0.7	rotation	none	0.0	artillery_effects	0	0	0.0	false	1.0	0.8	4			0.5	1.4499999	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	20	wheeled_entity	false	1.0	1.0	1.0	1.0		false
artillery_ballista_medium	artillery	1.6	2.0	0.8999999	2.0	2.0	30.0	20.0	20.0	4.2	capsule	0.6	5000.0	4.8	360.0	15.0	425	true	true	0.0	0.0	0.0	large	0.7	rotation	none	0.0	artillery_effects	0	0	0.0	false	1.0	0.8	4			0.5	1.4499999	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	20	wheeled_entity	false	1.0	1.0	1.0	1.0		false
artillery_light	artillery	1.8	2.2	2.0	2.0	2.2	30.0	20.0	20.0	1.5	capsule	0.5	200.0	1.2	360.0	45.0	180	true	true	0.0	0.0	0.0	large	1.0	rotation	none	0.0	artillery_effects	0	0	0.0	false	1.0	0.8	4			0.5	1.4499999	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	20	wheeled_entity	false	1.0	1.0	1.0	1.0		false
artillery_onager	artillery	1.6	1.8	1.2	2.0	1.8	30.0	20.0	20.0	3.5	capsule	0.6	5000.0	3.2	360.0	25.0	425	true	true	0.0	0.0	0.0	large	0.7	rotation	none	0.0	artillery_effects	0	0	0.0	false	1.0	0.8	4			0.5	1.4499999	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	20	wheeled_entity	false	1.0	1.0	1.0	1.0		false
artillery_onager_large	artillery	1.4	1.3	0.2	1.0	1.3	30.0	20.0	20.0	5.8	capsule	0.65	5000.0	7.5	90.0	15.0	500	true	true	0.0	0.0	0.0	large	0.7	rotation	none	0.0	artillery_effects	0	0	0.0	false	1.0	0.8	4			0.5	1.4499999	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	20	wheeled_entity	false	1.0	1.0	1.0	1.0		false
battering_ram	artillery	3.0	1.8	5.0	5.0	2.0	30.0	25.0	25.0	6.0	capsule	0.6	2000.0	8.0	40.0	5.0	150	false	false	0.0	0.0	0.0	very_large	1.0	rotation	wh_war_machine_wood_large	0.0	artillery_effects	0	0	0.0	false	1.0	0.75	5			0.5	1.4499999	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	20	wheeled_entity	false	1.0	1.0	1.0	1.0		false
fauna_boar	fauna	0.5	2.0	1.0	1.0	4.0	10.0	10.0	10.0	1.0	ellipse	0.4	800.0	1.0	90.0	45.0	8	true	true	1.0	0.0	0.0	small	1.0	ignore	none	0.0	cavalry_effects	0	0	0.0	false	1.0	0.8999999	2			0.5	1.4499999	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	20	small_entity	false	1.0	1.0	1.0	1.0		false
fauna_camel	fauna	0.5	2.0	1.0	1.0	5.0	10.0	10.0	10.0	1.3	capsule	0.4	5000.0	3.0	90.0	45.0	8	true	true	0.5	0.0	0.0	small	1.0	ignore	none	0.0	cavalry_effects	0	0	0.0	false	1.0	0.8999999	2			0.5	1.4499999	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	20	small_entity	false	1.0	1.0	1.0	1.0		false
fauna_crow	fauna	4.0	14.0	2.0	2.0	6.0	35.0	35.0	35.0	0.5	ellipse	0.5	1000.0	0.5	90.0	120.0	8	true	true	0.0	14.0	14.0	small	2.0	ignore	none	0.0	cavalry_effects	0	0	0.0	false	1.0	0.8999999	2			0.0	1.4499999	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	20	small_entity	false	1.0	1.0	1.0	1.0		false
