key	category	ritual_sites_required	colour_hex
#ritual_chains_tables;4;db/ritual_chains_tables/data__			
wh2_dlc11_ritual_bloodlines_blood_dragon	BLOODLINE_RITUAL	0	FFFFFF
wh2_dlc11_ritual_bloodlines_lahmian	BLOODLINE_RITUAL	0	FFFFFF
wh2_dlc11_ritual_bloodlines_necrarch	BLOODLINE_RITUAL	0	FFFFFF
wh2_dlc11_ritual_bloodlines_strigoi	BLOODLINE_RITUAL	0	FFFFFF
wh2_dlc11_ritual_bloodlines_von_carstein	BLOODLINE_RITUAL	0	FFFFFF
wh2_dlc14_ritual_mortal_empires_eshin	ESHIN_VORTEX_RITUAL	0	FFFFFF
wh2_dlc15_athel_tamarha_influence	ATHEL_TAMARHA_RITUAL	0	FFFFFF
wh2_dlc15_athel_tamarha_interrogation	ATHEL_TAMARHA_RITUAL	0	FFFFFF
wh2_dlc15_athel_tamarha_melee_mistwalkers	ATHEL_TAMARHA_RITUAL	0	FFFFFF
wh2_dlc15_athel_tamarha_mist	ATHEL_TAMARHA_RITUAL	0	FFFFFF
wh2_dlc15_athel_tamarha_mistwalkers_recruitment	ATHEL_TAMARHA_RITUAL	0	FFFFFF
wh2_dlc15_athel_tamarha_mistwalkers_upgrades	ATHEL_TAMARHA_RITUAL	0	FFFFFF
wh2_dlc15_athel_tamarha_prison	ATHEL_TAMARHA_RITUAL	0	FFFFFF
wh2_dlc15_athel_tamarha_ranged_mistwalkers	ATHEL_TAMARHA_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_dragon_armour	DAITH_DRAGON_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_dragon_enchanted_item	DAITH_DRAGON_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_dragon_talisman	DAITH_DRAGON_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_dragon_weapon	DAITH_DRAGON_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_dreaming_armour	DAITH_DREAMING_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item	DAITH_DREAMING_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_dreaming_talisman	DAITH_DREAMING_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_dreaming_weapon	DAITH_DREAMING_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_eagle_armour	DAITH_EAGLE_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_eagle_enchanted_item	DAITH_EAGLE_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_eagle_talisman	DAITH_EAGLE_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_eagle_weapon	DAITH_EAGLE_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_twilight_armour	DAITH_TWILIGHT_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_twilight_enchanted_item	DAITH_TWILIGHT_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_twilight_talisman	DAITH_TWILIGHT_ITEM_RITUAL	0	FFFFFF
wh2_dlc16_ritual_wef_forge_twilight_weapon	DAITH_TWILIGHT_ITEM_RITUAL	0	FFFFFF
wh2_dlc17_ritual_character_upgrades	BEASTMEN_RITUAL_UPGRADES_GLOBAL_LORD_HERO	0	FFFFFF
wh2_dlc17_ritual_herdstone_upgrades	BEASTMEN_RITUAL_UPGRADES_HERDSTONE	0	FFFFFF
wh2_dlc17_ritual_unit_experience_upgrades	BEASTMEN_RITUAL_UPGRADES_GLOBAL_UNIT	0	FFFFFF
