effect	faction_potential_max	faction_potential_min	applied_to	campaign_key	effect_scope	value_max	value_min
#faction_potential_handicap_effects_tables;0;db/faction_potential_handicap_effects_tables/data__							
wh_main_effect_building_construction_cost_mod	-1	-75	AI_ONLY		faction_to_region_own	0	0
wh_main_effect_force_all_campaign_recruitment_cost_all	-1	-75	AI_ONLY		faction_to_force_own	0	0
wh_main_effect_force_all_campaign_replenishment_rate	-1	-75	AI_ONLY		faction_to_force_own	0	0
wh_main_effect_force_all_campaign_upkeep	-1	-75	AI_ONLY		faction_to_force_own	0	30
wh_main_effect_province_growth_building	-1	-75	AI_ONLY		faction_to_province_own	0	0
wh_main_effect_building_construction_cost_mod	-76	-999	AI_ONLY		faction_to_region_own	0	0
wh_main_effect_force_all_campaign_recruitment_cost_all	-76	-999	AI_ONLY		faction_to_force_own	0	0
wh_main_effect_force_all_campaign_replenishment_rate	-76	-999	AI_ONLY		faction_to_force_own	0	0
wh_main_effect_force_all_campaign_upkeep	-76	-999	AI_ONLY		faction_to_force_own	30	30
wh_main_effect_province_growth_building	-76	-999	AI_ONLY		faction_to_province_own	0	0
wh_main_effect_building_construction_cost_mod	500	0	AI_ONLY		faction_to_region_own	-80	0
wh_main_effect_force_all_campaign_recruitment_cost_all	500	0	AI_ONLY		faction_to_force_own	-60	0
wh_main_effect_force_all_campaign_replenishment_rate	500	0	AI_ONLY		faction_to_force_own	12	0
wh_main_effect_force_all_campaign_upkeep	500	0	AI_ONLY		faction_to_force_own	-50	0
wh_main_effect_province_growth_building	500	0	AI_ONLY		faction_to_province_own	120	0
wh_main_effect_building_construction_cost_mod	999	501	AI_ONLY		faction_to_region_own	-80	-80
wh_main_effect_force_all_campaign_recruitment_cost_all	999	501	AI_ONLY		faction_to_force_own	-60	-60
wh_main_effect_force_all_campaign_replenishment_rate	999	501	AI_ONLY		faction_to_force_own	12	12
wh_main_effect_force_all_campaign_upkeep	999	501	AI_ONLY		faction_to_force_own	-50	-50
wh_main_effect_province_growth_building	999	501	AI_ONLY		faction_to_province_own	120	120
