operation_set	operation_effect_bundle
#campaign_operation_set_effect_bundle_elements_tables;0;db/campaign_operation_set_effect_bundle_elements_tables/data__	
wh3_dlc20_operation_set_champions_progress_1	wh3_dlc20_operation_set_champions_progress_1
wh3_dlc20_operation_set_champions_progress_2	wh3_dlc20_operation_set_champions_progress_2
wh3_dlc20_operation_set_champions_progress_3	wh3_dlc20_operation_set_champions_progress_3
wh3_main_operation_set_dae_khorne_140	wh3_main_bundle_lock_recruitment_wh3_main_kho_inf_flesh_hounds_of_khorne_0
wh3_main_operation_set_dae_khorne_1680	wh3_main_bundle_lock_recruitment_wh3_main_kho_cav_gorebeast_chariot
wh3_main_operation_set_dae_khorne_1820	wh3_main_bundle_dae_khorne_03
wh3_main_operation_set_dae_khorne_2240	wh3_main_bundle_lock_recruitment_wh3_main_kho_inf_bloodletters_1
wh3_main_operation_set_dae_khorne_2660	wh3_main_bundle_lock_recruitment_wh3_main_kho_veh_skullcannon_0
wh3_main_operation_set_dae_khorne_2800	wh3_main_bundle_dae_khorne_04
wh3_main_operation_set_dae_khorne_280	wh3_main_bundle_dae_khorne_01
wh3_main_operation_set_dae_khorne_3080	wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_khornataurs_0
wh3_main_operation_set_dae_khorne_3500	wh3_main_bundle_lock_recruitment_wh3_main_kho_cav_bloodcrushers_0
wh3_main_operation_set_dae_khorne_3780	wh3_main_bundle_dae_khorne_05
wh3_main_operation_set_dae_khorne_4060	wh3_main_bundle_dae_khorne_06
wh3_main_operation_set_dae_khorne_420	wh3_main_bundle_lock_recruitment_wh3_main_kho_inf_bloodletters_0
wh3_main_operation_set_dae_khorne_4340	wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_khornataurs_1
wh3_main_operation_set_dae_khorne_4480	wh3_main_bundle_dae_khorne_07
wh3_main_operation_set_dae_khorne_4760	wh3_main_bundle_lock_recruitment_wh3_main_kho_cav_skullcrushers_0
wh3_main_operation_set_dae_khorne_5040	wh3_main_bundle_dae_khorne_08
wh3_main_operation_set_dae_khorne_5320	wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_soul_grinder_0
wh3_main_operation_set_dae_khorne_5600	wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_bloodthirster_0
wh3_main_operation_set_dae_khorne_700	wh3_main_bundle_dae_khorne_02
wh3_main_operation_set_dae_khorne_70	wh3_main_bundle_lock_recruitment_wh3_main_kho_inf_chaos_warhounds_0
wh3_main_operation_set_dae_khorne_840	wh3_main_bundle_lock_recruitment_wh3_main_kho_veh_blood_shrine_0
wh3_main_operation_set_dae_khorne_980	wh3_main_bundle_dae_khorne_faction_feature
wh3_main_operation_set_dae_nurgle_1120	wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_rot_flies_0
wh3_main_operation_set_dae_nurgle_140	wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_plague_toads_0
wh3_main_operation_set_dae_nurgle_1540	wh3_main_bundle_lock_recruitment_wh3_main_nur_inf_plaguebearers_1
wh3_main_operation_set_dae_nurgle_1820	wh3_main_bundle_dae_nurgle_02
wh3_main_operation_set_dae_nurgle_2800	wh3_main_bundle_dae_nurgle_03
