key	building_level_key	building_model_id
#campaign_settlement_display_building_ids_tables;3;db/campaign_settlement_display_building_ids_tables/data__		
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_1	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_1	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_1
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_2	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_2	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_2
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_3	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_3	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_3
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_4	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_4	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_4
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_5	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_5	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_5
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_1	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_1	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_1
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_2	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_2	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_2
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_3	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_3	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_3
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_4	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_4	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_4
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_5	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_5	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_5
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin
wh2_dlc09_tmb_settlement_major_1	wh2_dlc09_tmb_settlement_major_1	wh2_dlc09_tmb_settlement_major_1
wh2_dlc09_tmb_settlement_major_2	wh2_dlc09_tmb_settlement_major_2	wh2_dlc09_tmb_settlement_major_2
wh2_dlc09_tmb_settlement_major_3	wh2_dlc09_tmb_settlement_major_3	wh2_dlc09_tmb_settlement_major_3
wh2_dlc09_tmb_settlement_major_4	wh2_dlc09_tmb_settlement_major_4	wh2_dlc09_tmb_settlement_major_4
wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_settlement_major_5
