ritual	order	tier
#sacrifices_to_sotek_rituals_tables;0;db/sacrifices_to_sotek_rituals_tables/data__		
wh2_dlc12_tehenhauin_sacrifice_of_amaxon	1	5
wh2_dlc12_tehenhauin_sacrifice_of_axlotl	1	2
wh2_dlc12_tehenhauin_sacrifice_of_aymara	0	2
wh2_dlc12_tehenhauin_sacrifice_of_capac	0	1
wh2_dlc12_tehenhauin_sacrifice_of_chaqua	3	4
wh2_dlc12_tehenhauin_sacrifice_of_chiquibol	1	3
wh2_dlc12_tehenhauin_sacrifice_of_gwakmol	4	5
wh2_dlc12_tehenhauin_sacrifice_of_gwangee	2	4
wh2_dlc12_tehenhauin_sacrifice_of_huanabic	1	4
wh2_dlc12_tehenhauin_sacrifice_of_incatol	2	3
wh2_dlc12_tehenhauin_sacrifice_of_malliente	1	1
wh2_dlc12_tehenhauin_sacrifice_of_oyxl	3	3
wh2_dlc12_tehenhauin_sacrifice_of_pahuax	5	5
wh2_dlc12_tehenhauin_sacrifice_of_pokhopak	4	4
wh2_dlc12_tehenhauin_sacrifice_of_quetza	0	4
wh2_dlc12_tehenhauin_sacrifice_of_quittax	0	3
wh2_dlc12_tehenhauin_sacrifice_of_qurveza	3	5
wh2_dlc12_tehenhauin_sacrifice_of_sotek	0	0
wh2_dlc12_tehenhauin_sacrifice_of_xahutec	0	5
wh2_dlc12_tehenhauin_sacrifice_of_xlaxgor	2	2
wh2_dlc12_tehenhauin_sacrifice_of_xuhua	2	5
