event	loyalty_change	loyalty_factor	percentage_chance	threshold
#loyalty_event_effects_tables;0;db/loyalty_event_effects_tables/data__				
ANCILLARY_GIVEN	1	ancillaries	40	0
ANCILLARY_TAKEN	-1	ancillaries	40	0
APPROPRIATE_TREATIES	1	diplomatic_behaviour	5	25
CLOSE_DEFEAT	-1	battle_results	100	0
CLOSE_VICTORY	1	battle_results	15	0
COMPLETE_MISSION	1	mission_results	40	0
CRUSHING_DEFEAT	-3	battle_results	100	0
DECISIVE_DEFEAT	-2	battle_results	100	0
DECISIVE_VICTORY	1	battle_results	25	0
FAIL_MISSION	-1	mission_results	50	0
HEROIC_VICTORY	2	battle_results	50	0
INAPPROPRIATE_TREATIES	-1	diplomatic_behaviour	50	-25
OTHER_DEFECTED	-2	other_defectors	25	0
RETIRED	-2	military_command	50	0
START_OF_TURN	0	passive	15	0
STRONGER_THAN_LEADER	-1	faction_leader_strength	10	0
UNIT_GIVEN	1	military_command	10	5
UNIT_TAKEN	-1	military_command	15	5
WEAKER_THAN_LEADER	1	faction_leader_strength	2	0
