existing_building_chain_key	existing_building_level_inclusive_end	existing_building_level_inclusive_start	potential_buiding_chain_key	potential_building_level_inclusive_end	potential_building_level_inclusive_start	synergy_policy_key	existing_building_instance	existing_building_super_chain	potential_building_instance	potential_building_super_chain	synergy_scope_key	synergy_level_key
#cai_construction_system_synergies_tables;1;db/cai_construction_system_synergies_tables/data__												
wh2_dlc09_tmb_settlement_major	wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_negative_level_high
wh2_dlc09_tmb_settlement_major	wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_negative_level_medium
wh2_dlc11_vampirecoast_settlement_major	wh2_dlc11_vampirecoast_settlement_major_5	wh2_dlc11_vampirecoast_settlement_major_1	wh2_dlc11_vampirecoast_infrastructure_growth	wh2_dlc11_vampirecoast_infrastructure_growth_3	wh2_dlc11_vampirecoast_infrastructure_growth_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_infrastructure_corruption	wh2_dlc11_vampirecoast_infrastructure_corruption_3	wh2_dlc11_vampirecoast_infrastructure_corruption_1	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_infrastructure4_energy	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_infrastructure_public_order	wh2_dlc11_vampirecoast_infrastructure_public_order_3	wh2_dlc11_vampirecoast_infrastructure_public_order_1	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_infrastructure3_order	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_military_barracks	wh2_dlc11_vampirecoast_military_barracks_4	wh2_dlc11_vampirecoast_military_barracks_1	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_military_flying	wh2_dlc11_vampirecoast_military_flying_4	wh2_dlc11_vampirecoast_military_flying_1	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_military3_warmachines	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_support_artillery	wh2_dlc11_vampirecoast_support_artillery_3	wh2_dlc11_vampirecoast_support_artillery_1	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_support1_smith	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_low
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_support_monsters	wh2_dlc11_vampirecoast_support_monsters_3	wh2_dlc11_vampirecoast_support_monsters_1	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_low
