key	far_inside	far_outside	max_distance_animation_driven	near_inside	near_outside	animation_uncapped	max_distance_code_driven	can_play_at_bone	code_uncapped	contains_unique_entity_switches	allow_focus
#audio_entity_type_limitations_tables;6;db/audio_entity_type_limitations_tables/data__											
Lord_Hero	15	10	500.0	5	2	true	400.0	true	true	false	false
buildings_lava	50	7	160.0	5	5	false	90.0	false	false	false	false
doomflayer	4	4	140.0	4	4	false	140.0	false	false	true	true
large	50	7	200.0	5	5	false	180.0	false	false	false	true
medium	50	7	160.0	5	5	false	90.0	false	false	false	false
medium_special	24	6	240.0	1	1	false	90.0	false	false	false	false
medium_warpgrinders	50	7	160.0	5	5	false	90.0	true	false	false	true
ratling_gun	50	7	500.0	5	5	false	90.0	false	false	false	false
small	50	7	120.0	5	5	false	90.0	false	false	false	false
veryloud	15	10	500.0	5	2	true	400.0	true	true	false	true
war_machine	30	15	500.0	10	5	true	250.0	true	true	false	true
war_machine_group	25	7	140.0	5	5	false	140.0	false	false	false	true
war_machine_group_chariots	3	3	140.0	3	3	false	140.0	true	false	false	true
war_machine_group_pump_wagons	12	4	400.0	1	1	false	400.0	true	false	false	true
