key	description_text	faction	header_text	image_path	priority_index
#campaign_ui_cheatsheet_items_tables;0;db/campaign_ui_cheatsheet_items_tables/data__					
wh2_dlc09_skv_clan_rictus_1	war.camp.hp.skaven_underworld.002	wh2_dlc09_skv_clan_rictus	war.camp.hp.skaven_underworld.001		1
wh2_dlc09_skv_clan_rictus_2	war.camp.hp.food.002	wh2_dlc09_skv_clan_rictus	war.camp.hp.food.001		2
wh2_dlc09_skv_clan_rictus_3	war.camp.hp.skaven_corruption.002	wh2_dlc09_skv_clan_rictus	war.camp.hp.skaven_corruption.001		3
wh2_dlc09_tmb_exiles_of_nehek_1	war.camp.hp.books_of_nagash.002	wh2_dlc09_tmb_exiles_of_nehek	war.camp.hp.books_of_nagash.001		1
wh2_dlc09_tmb_exiles_of_nehek_2	war.camp.hp.day_of_awakening.002	wh2_dlc09_tmb_exiles_of_nehek	war.camp.hp.day_of_awakening.001		2
wh2_dlc09_tmb_exiles_of_nehek_3	war.camp.hp.dynasties.002	wh2_dlc09_tmb_exiles_of_nehek	war.camp.hp.dynasties.001		3
wh2_dlc09_tmb_exiles_of_nehek_4	war.camp.hp.mortuary_cult.002	wh2_dlc09_tmb_exiles_of_nehek	war.camp.hp.mortuary_cult.001		4
wh2_dlc09_tmb_followers_of_nagash_1	war.camp.hp.books_of_nagash.002	wh2_dlc09_tmb_followers_of_nagash	war.camp.hp.books_of_nagash.001		1
wh2_dlc09_tmb_followers_of_nagash_2	war.camp.hp.day_of_awakening.002	wh2_dlc09_tmb_followers_of_nagash	war.camp.hp.day_of_awakening.001		2
wh2_dlc09_tmb_followers_of_nagash_3	war.camp.hp.dynasties.002	wh2_dlc09_tmb_followers_of_nagash	war.camp.hp.dynasties.001		3
wh2_dlc09_tmb_followers_of_nagash_4	war.camp.hp.mortuary_cult.002	wh2_dlc09_tmb_followers_of_nagash	war.camp.hp.mortuary_cult.001		4
wh2_dlc09_tmb_khemri_1	war.camp.hp.books_of_nagash.002	wh2_dlc09_tmb_khemri	war.camp.hp.books_of_nagash.001		1
wh2_dlc09_tmb_khemri_2	war.camp.hp.day_of_awakening.002	wh2_dlc09_tmb_khemri	war.camp.hp.day_of_awakening.001		2
