key	icon_path	priority
#ui_unit_statuses_tables;0;db/ui_unit_statuses_tables/data__		
braced	ui/skins/default/icon_status_braced.png	6
capturing	ui/skins/default/icon_status_capture_point.png	12
firing	ui/skins/default/icon_status_firing.png	13
hidden	ui/skins/default/icon_status_hidden.png	10
melee	ui/skins/default/icon_status_melee.png	7
moving	ui/skins/default/icon_status_walk.png	8
moving_fast	ui/skins/default/icon_status_run.png	9
obstructed	ui/skins/default/icon_status_obstructed.png	14
on_fire	ui/skins/default/icon_status_on_fire.png	10
routing	ui/skins/default/icon_status_route.png	20
shaken	ui/skins/default/icon_status_shaken.png	22
shattered	ui/skins/default/icon_status_shattered.png	23
taking_fire	ui/skins/default/icon_status_under_fire.png	15
terrified	ui/skins/default/icon_status_fight_to_death.png	21
unorderable	ui/skins/default/icon_status_rampage.png	11
wavering	ui/skins/default/icon_status_wavering.png	18
withdraw	ui/skins/default/icon_status_withdraw.png	17
