context_key	context_type_key
#cai_contexts_for_context_types_tables;0;db/cai_contexts_for_context_types_tables/data__	
cai_difficulty_context_type_easy	cai_difficulty_context
cai_difficulty_context_type_hard	cai_difficulty_context
cai_difficulty_context_type_legendary	cai_difficulty_context
cai_difficulty_context_type_normal	cai_difficulty_context
cai_difficulty_context_type_very_hard	cai_difficulty_context
cai_faction_script_context_alpha	cai_faction_script_context
cai_faction_script_context_beta	cai_faction_script_context
cai_faction_script_context_delta	cai_faction_script_context
cai_faction_script_context_gamma	cai_faction_script_context
cai_faction_script_context_special_1	cai_faction_script_context
cai_faction_script_context_special_2	cai_faction_script_context
cai_faction_status_context_type_hordeable_regioned	cai_faction_status_context
cai_faction_status_context_type_settleable_horde	cai_faction_status_context
cai_faction_status_context_type_standard_horde	cai_faction_status_context
cai_faction_status_context_type_standard_regioned	cai_faction_status_context
cai_faction_status_context_type_standard_regionless	cai_faction_status_context
cai_financial_context_type_crisis	cai_financial_context
cai_financial_context_type_normal	cai_financial_context
cai_financial_context_type_overspend	cai_financial_context
cai_global_script_context_alpha	cai_global_script_context
cai_global_script_context_beta	cai_global_script_context
cai_global_script_context_delta	cai_global_script_context
cai_global_script_context_gamma	cai_global_script_context
cai_global_script_context_special_1	cai_global_script_context
cai_global_script_context_special_2	cai_global_script_context
cai_strategic_context_type_last_stand	cai_strategic_context
cai_strategic_context_type_peace	cai_strategic_context
cai_strategic_context_type_tension	cai_strategic_context
cai_strategic_context_type_total_war	cai_strategic_context
cai_strategic_context_type_war	cai_strategic_context
