character_skill	unit_list_display
#character_skill_to_unit_list_display_junctions_tables;0;db/character_skill_to_unit_list_display_junctions_tables/data__	
wh3_main_skill_innate_cth_caravan_master_Dragon-Blooded	wh3_main_skill_innate_cth_caravan_master_Dragon-Blooded
wh3_main_skill_innate_cth_caravan_master_Former-Artillery-Officer	wh3_main_skill_innate_cth_caravan_master_Former-Artillery-Officer
wh3_main_skill_innate_cth_caravan_master_Humble-Born	wh3_main_skill_innate_cth_caravan_master_Humble-Born
wh3_main_skill_innate_cth_caravan_master_Longma-Whisperer	wh3_main_skill_innate_cth_caravan_master_Longma-Whisperer
wh3_main_skill_innate_cth_caravan_master_Nan-Gau	wh3_main_skill_innate_cth_caravan_master_Nan-Gau
wh3_main_skill_innate_cth_caravan_master_Ogre-Ally	wh3_main_skill_innate_cth_caravan_master_Ogre-Ally
wh3_main_skill_innate_cth_caravan_master_Shang-Yang	wh3_main_skill_innate_cth_caravan_master_Shang-Yang
wh3_main_skill_innate_cth_caravan_master_Western-Idealist	wh3_main_skill_innate_cth_caravan_master_Western-Idealist
wh3_main_skill_innate_cth_caravan_master_cavalry	wh3_main_skill_innate_cth_caravan_master_cavalry
wh3_main_skill_innate_cth_caravan_master_gunner	wh3_main_skill_innate_cth_caravan_master_gunner
wh3_main_skill_innate_cth_caravan_master_royalty	wh3_main_skill_innate_cth_caravan_master_royalty
wh3_main_skill_innate_cth_caravan_master_stealth	wh3_main_skill_innate_cth_caravan_master_stealth
