key	group	is_reversed	max_camera_distance	max_influence	max_influence_distance	max_visual_attenuation	min_camera_distance	min_influence_distance	priority
#audio_sphere_of_influences_tables;0;db/audio_sphere_of_influences_tables/data__									
Rogue_Idol_attack	combat	false	60.0	0.25	50.0	0.90000004	12.0	12.0	0.90000004
dread_saurian_attack	combat	false	60.0	0.45000002	50.0	0.90000004	12.0	12.0	0.90000004
dread_saurian_scream	combat	false	50.0	0.35000002	40.0	0.90000004	10.0	10.0	0.90000004
hero_combat	hero	false	25.0	0.1	40.0	1.0	10.0	20.0	0.1
hero_default	hero	false	15.0	0.050000004	40.0	1.0	8.0	20.0	0.25
huge_creature_combat	combat	false	22.5	0.3	45.0	1.0	12.0	15.0	0.5
kharibdyss_scream	combat	false	50.0	0.7	40.0	0.6	10.0	10.0	0.90000004
large_creature_combat	combat	false	15.0	0.15	30.0	1.0	8.0	10.0	0.25
large_explosion	explosion	false	50.0	0.15	20.0	0.6	30.0	10.0	0.7
magic_global_mute	magic	false	250.0	1.0	550.0	1.0	50.0	150.0	1.0
magic_total_mute	magic	false	500.0	1.0	1100.0	1.0	100.0	1000.0	1.0
magic_vortex_outside_mute	magic	true	20.0	1.0	16.0	1.0	14.0	15.0	1.0
matched_combat	combat	false	25.0	0.2	40.0	1.0	10.0	20.0	0.35000002
sphere_troglodon_primeval_roar_ability	combat	false	50.0	0.25	40.0	0.90000004	10.0	10.0	0.90000004
