primary_faction	secondary_faction	effect_bundle
#faction_civil_war_setups_tables;1;db/faction_civil_war_setups_tables/data__		
wh2_dlc09_skv_clan_rictus	wh2_dlc09_skv_clan_rictus_separatists	
wh2_dlc11_cst_noctilus	wh2_dlc11_cst_noctilus_separatists	
wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_pirates_of_sartosa_separatists	
wh2_dlc11_cst_the_drowned	wh2_dlc11_cst_the_drowned_separatists	
wh2_dlc11_cst_vampire_coast	wh2_dlc11_cst_vampire_coast_separatists	
wh2_dlc11_def_the_blessed_dread	wh2_dlc11_def_the_blessed_dread_separatists	
wh2_main_def_cult_of_pleasure	wh2_main_def_cult_of_pleasure_separatists	
wh2_main_def_hag_graef	wh2_main_def_hag_graef_separatists	
wh2_main_def_har_ganeth	wh2_main_def_har_ganeth_separatists	
wh2_main_def_naggarond	wh2_main_def_naggarond_separatists	
wh2_main_skv_clan_eshin	wh2_main_skv_clan_eshin_separatists	
wh2_main_skv_clan_mors	wh2_main_skv_clan_mors_separatists	
wh2_main_skv_clan_moulder	wh2_main_skv_clan_moulder_separatists	
wh2_main_skv_clan_pestilens	wh2_main_skv_clan_pestilens_separatists	
wh2_main_skv_clan_skryre	wh2_main_skv_clan_skryre_separatists	
wh2_twa03_def_rakarth	wh2_twa03_def_rakarth_separatists	
wh_main_emp_empire	wh_main_emp_empire_separatists	
